Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-11-2025,NSE:M&M,EQ,434066.17,3754.3,2507736,94147.93265,1.89,1.94,22.3,,0.14,4.61,4.67,4.13,7.97,16.25,18.66,15.06,22.77,47.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,2.82,1.34,4.22,1.6,5.91,11.56,19.75,0,0,0,0,0,0,0,0,0,0,0,0,-6.66,-3.81,-4.9,-0.69,-9.23,17.83,26.12,50.7,108.63,8.52,12.42,26.21,22.58,77.22,61.13,5.88,10.4,12.42,6.21,17.92,1.062414,83,8.52,12.42,-1.09,13.91,,,5.88,5.16,2.46,-7.21,13.46,1.022014,80
12-11-2025,NSE:SACHEEROME,SM,501.15,266.4,62220,165.75408,5.53,5.7,5.81,,20.00,19.63,18.17,17.85,21.62,31.79,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,17.18,2.54,20.23,2.87,23.78,,,0,0,0,0,0,0,0,0,NA,NA,NA,0,-12.71,NA,NA,NA,NA,50.85,NA,NA,NA,31.23,23.59,NA,NA,NA,NA,19.53,25.94,0,0,0,1.062386,83,27.77,-0.22,,,,,19.53,9.15,99.58,-2.78,4.38,1.045413,91
12-11-2025,NSE:STLTECH,EQ,5736.52,112.78,1671639,1885.27446,4.42,4.36,14.92,M,-0.67,-6.61,-3.42,-4.22,-3.49,-12.02,37.97,30.26,19.97,7.78,-1,-1,-1,HVY,-1,-1,-1,-1,-1,-1,-1,-2.68,-1.02,-3.66,-0.53,-4.16,20.48,20.51,0,0,0,0,0,0,-8.4,-18.03,-18.03,-18.03,-18.03,-8.4,-15.16,-1.67,-34.37,-28.89,-18.39,5.75,66.07,103.35,103.35,0.18,13.44,127.8,26.14,5.41,9.93,-5.58,-17.87,31.73,21.41,15.12,1.062242,83,-4.54,13.44,58.58,-34.37,,,-5.58,-12.07,44.21,-15.2,-10.38,1.029864,85
12-11-2025,NSE:UPL,EQ,60558.32,760.6,2353110,17897.75466,2.19,2.23,9.67,,1.10,3.85,7.63,10.49,10.43,9.45,15.48,16.26,29.5,40.16,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,-1,3.34,2.54,6.04,3.09,9.41,4.53,14.61,0,0,0,0,0,0,0,0,0,0,0,0,-6.65,-5.63,-6.56,0,-10,17.38,21.13,53.93,75.47,13.53,5.14,14.51,30.1,46.94,23.71,8.34,3.6,9.24,7.41,24.65,1.061648,83,12.88,4.37,6.71,22.59,,,8.34,-4.92,6.24,-1.85,20.19,1.026767,83
12-11-2025,NSE:HIRECT,EQ,3212.86,1597.7,41614,664.86688,3.69,3.94,5.3,,-1.07,-16.47,-7.05,0.19,-1.86,-14.82,35.69,30.42,23.74,52.52,-1,-1,-1,HV2Y,HVQ,-1,-1,-1,-1,-1,-1,-6.22,0.18,-6.05,1.69,-4.44,20.89,20.8,0,0,0,0,0,0,-14.58,-21.5,-21.5,-21.5,-21.5,-14.58,-20.05,-7.67,-33.83,-28.41,-0.02,5.79,59.23,91.96,180.54,0.19,24.87,120.4,30.84,97.78,116.77,-3.95,-20.67,29.45,21.57,18.89,1.061413,83,-0.15,21.97,63.09,22.53,,,-3.95,-16.55,43.56,-10.96,-5.22,1.031521,86
12-11-2025,NSE:SILVERCASE,EQ,406.21,15.91,10558165,1679.80405,6.45,6.45,2.5,,1.60,6.66,10.87,0.38,-3.83,25.96,37.4,NA,NA,NA,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,3.5,0.4,3.92,4.54,8.87,,,0,0,0,0,0,0,-14.65,-14.65,-14.65,NA,NA,-14.65,-4.29,-0.93,NA,NA,NA,39.93,63.85,NA,NA,12.2,47.11,27.35,NA,NA,NA,-5.92,20.11,31.16,0,0,1.06115,83,-11.32,45.94,,,,,-5.92,24.86,15.03,97.22,4.38,1.053894,93
12-11-2025,NSE:MARINE,EQ,3434.82,238.1,571883,1361.65342,5.56,5.67,4.26,S,0.38,-3.19,3.19,5.51,11.48,27.62,12.03,12.31,4.05,55.29,-1,-1,-1,HV2Y,HVQ,HV2Y,-1,-1,-1,-1,-1,1.27,1.83,3.16,6.98,10.91,8.3,20.95,0,0,0,0,0,0,-5.01,-5.01,-5.01,-27.32,-27.32,-5.01,-7.03,-28.51,-36.07,-36.27,-24.32,43.6,43.6,64.41,177.02,16.91,27.12,19,44.63,142.91,165.79,9.39,21.77,5.79,3.46,-0.8,1.061014,83,16.91,4.64,-19.12,-21.86,,,9.39,14.41,-21.96,-2.46,-5.04,1.014918,76
12-11-2025,NSE:RICOAUTO,EQ,1126.79,93.06,1338155,1245.28704,3.42,3.47,4.97,L,8.08,11.19,8.69,6.96,3.29,27.52,28.45,7.31,-2.89,-33.14,-1,-1,EEP,EEP,-1,HV2Q,-1,-1,-1,-1,-1,8.25,-0.98,7.2,-7.42,-0.21,16.12,18.98,0,0,0,0,0,0,0,-13.3,-13.3,-13.3,-39.02,0,-16.15,-21.92,-46.84,-43.47,-37.25,36.79,37.97,62.52,62.52,15.8,33.43,17.8,16.28,4.84,6.57,1.2,21.67,22.21,-1.54,-7.74,1.060977,83,4.82,15.46,-21.92,-46.31,,,1.2,21.23,0.87,-32.34,-6.62,1.012318,74
12-11-2025,NSE:BIOCON,EQ,49842,405.9,2913764,11826.96808,2.39,2.39,6.89,,5.40,6.26,9.89,10.25,12.92,15.41,18.74,8.59,22.22,32.52,-1,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,6.05,2.32,8.57,3.18,12.14,2.41,14.9,0,0,0,0,0,0,0,0,0,0,0,0,-11.36,-13.89,-17.86,-7.6,-19.3,19.77,22.98,34.2,65.17,16.17,4.29,13.52,9.06,50.99,28.46,10.83,9.56,12.5,-0.26,17.37,1.060821,83,16.17,-5.55,-12.02,-4.9,,,10.83,-0.97,3.51,-15.27,19.3,1.021703,80
12-11-2025,NSE:ASTRAMICRO,EQ,9918.43,1046.4,558688,5846.11123,2.93,2.89,7.22,2M,-0.25,-1.25,-0.56,-5.58,-4.22,8.73,14.22,33.1,26.03,41.31,-1,-1,HVQ,EEP,-1,-1,-1,-1,-1,-1,-1,-0.57,-0.78,-1.34,-0.75,-2.07,13.32,12.97,0,0,0,0,0,0,-5.29,-9.98,-11.22,-11.22,-11.22,-5.29,-6.17,-18.97,-3.95,-31.49,-24.25,6.58,13.92,72.92,100.59,0.96,15.42,57.82,48.32,34.2,48.38,-6.31,2.88,7.98,24.25,21.18,1.060768,83,-3.58,9.75,36.68,5.41,,,-6.31,8.6,5.6,19.22,-6.18,1.028214,84
