Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
31-12-2025,NSE:MVKAGRO,ST,3787.79,765.8,58470,447.76326,3.66,4.35,1.52,M,0.48,-1.62,2.74,-2.72,-0.2,31.44,35.13,79.84,93.73,94.72,93.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.38,1.38,2.8,8.7,12.59,51.6,132.61,80,80.95,82.54,91.27,0,23.81,55.56,77.78,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,0,0,0,-24.71,-36.55,51.15,386.53,2267.23,2267.23,8.47,119.83,990.56,377.13,48.38,6.31,0.01,30.39,78.77,82.85,88.68,3.97837,99,-2.14,119.83,965.99,205.64,,,,0.01,30.31,72.79,58.98,21.16,1.457049,99
31-12-2025,NSE:POLYSIL,ST,706.66,306.35,85110,260.73449,3.05,3.92,17.16,2L,-0.18,-3.15,2.17,-6.01,-14.2,17.94,21.38,76.97,93.06,90.76,85.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,0.62,-0.85,-0.23,2.08,1.89,49.9,103.37,0,33.33,63.49,81.75,0,14.29,44.44,72.22,-12.97,-12.97,-12.97,-12.97,-12.97,-12.97,0,0,0,-58.78,-45.1,24.71,325.78,1984.01,1984.01,6.59,115.09,1012.47,379.93,44.56,4.81,-13.99,16.64,75.9,82.18,84.72,3.151149,99,-12.42,115.09,1012.47,120.81,,,,-13.99,26.21,74.57,59.96,-27.75,1.424092,99
31-12-2025,NSE:CUPID,EQ,12742.79,518.1,3948738,20458.41158,3.69,3.74,3.22,,1.79,9.48,18.71,24.43,32.63,54.4,57.56,79.25,87.64,85.19,78.3,-1,-1,2,2,EP,EP,-1,-1,-1,-1,1,0,-1,-1,9.58,8.42,19.66,20.88,51.23,46.29,181.57,100,100,93.65,92.06,100,95.24,68.25,73.81,0,0,0,0,0,0,0,-0.92,-3.98,-52.08,-42.59,141.28,383.93,801.04,801.04,46.75,102.22,282.42,86.99,1.83,3.98,32.84,52.82,78.18,76.76,79.15,2.558592,99,46.75,102.22,245.9,26.4,,,,32.84,32.05,54.96,30.51,-14.37,1.261357,99
31-12-2025,NSE:TAKE,BE,576.35,39.94,2027726,809.87376,2.59,2.66,12.09,,0.76,2.53,12.47,15.65,18.58,44.02,72.58,77.54,81.42,59.54,42.04,-1,2,-1,2,-1,HV2Y,HV2Y,HV2Y,-1,-1,1,0,-1,-1,5.44,5.69,11.8,15.22,31.87,50.55,166.64,100,100,100,73.81,80,95.24,82.54,43.65,0,0,0,0,0,0,0,-5.44,-59.74,-69.02,-32.53,247.61,343.78,497.01,497.01,20.56,213.9,63.68,34.08,0,0.44,18.79,67.84,76.47,70.54,53.5,2.108198,99,20.56,208.83,55.32,-52.21,,,,18.79,61.38,21.94,7.36,-112.36,1.260745,99
31-12-2025,NSE:MAHASTEEL,BE,1526.76,1001,20616,206.36616,4.18,4.39,3.78,,4.32,9.18,18.25,22.58,24.85,39.59,58.77,65.13,73.96,80.72,89.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,10.43,6.04,17.53,12.65,34.54,41.21,128.85,100,100,100,85.71,80,61.9,63.49,50.79,0,0,0,0,0,0,-5.02,0,-0.57,-2.92,-14.07,141,204.63,440.99,941.62,31.71,114.93,76.71,88.62,171.28,100.82,25.06,54.03,64.06,63.08,74.68,1.902849,99,31.71,114.93,56.3,81.77,,,,25.06,40.19,19.29,15.38,31.4,1.205544,99
31-12-2025,NSE:BGRENERGY,BE,2265.87,373.9,196075,733.12443,5.42,5.66,5.46,2L,5.00,15.38,14.07,3.06,-14.67,-12.98,36.87,73.08,77.07,74.39,90.1,-1,-1,-1,-1,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,9.12,-2.55,6.4,-11.16,-4.28,47.95,83.91,0,9.52,69.84,57.94,0,0,22.22,25.4,-10.23,-20.01,-20.01,-20.01,-20.01,-10.23,-8.28,-10.97,-30.57,-40.86,0,56.76,286.22,423.67,973.5,22.17,137.98,218.64,189.03,146.2,174.91,-14.46,32.13,72.01,66.19,68.35,1.766822,99,-10.23,137.98,180.91,103.95,,,,-14.46,39.99,61.21,4.9,-6.23,1.200602,99
31-12-2025,NSE:SOMATEX,BE,408.62,143.9,25462,36.63982,2.06,3.76,1.28,,1.95,18.13,27.16,24.58,17.91,7.8,51.77,69.57,74.36,67.93,73.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.26,4.36,18.43,-0.86,17.42,37.95,89.25,0,0,34.92,36.51,0,0,12.7,13.49,0,-6.3,-6.3,-6.3,-6.3,0,-23.08,-33.77,-33.45,-43.92,-29.86,108.88,235.2,293.38,337.39,40.09,81.54,84.9,21.61,22.59,53.32,18.12,47.03,68.5,63.48,61.89,1.735174,99,24.31,48.83,84.9,21.3,,,,18.12,36.29,40.77,5.81,-19.64,1.157374,99
31-12-2025,NSE:KESORAMIND,BE,374.35,13.23,3771828,499.01284,4.8,7.88,4.03,,-4.96,13.23,31.9,40.06,58.65,60.47,58.65,54.57,62.81,20.79,37.58,-1,-1,EP,-1,-1,-1,HV2Y,HV2Y,HV2Y,-1,0,-1,-1,-1,11.77,15.02,31.53,31.1,90.9,16.29,128.06,100,76.19,25.4,12.7,80,66.67,22.22,11.11,-4.96,-4.96,-4.96,-4.96,-4.96,-4.96,-13.31,-21.75,-45.41,-55.31,-4.81,182.09,182.09,342.47,342.47,147.29,16.63,82.94,101,0,32.06,58.86,53.91,53.5,51.93,14.75,1.59161,99,145,6.84,23.76,-43.22,,,,58.86,-4.95,-6.01,8.22,-107.55,1.139095,99
31-12-2025,NSE:AKIKO,ST,278.93,263.8,11840,31.23392,3.87,4.32,2.39,2M,2.65,1.44,0.78,2.58,-9.17,0.34,5.31,69.67,73.09,67.13,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.48,-1.17,-0.68,-2.2,-2.83,41.28,65.5,0,9.52,60.32,60.32,0,4.76,14.29,26.98,-8.72,-10.45,-10.45,-10.45,NA,-8.72,-2.24,-8.92,-13.42,-23.94,NA,9.92,287.66,287.94,NA,2.65,73.34,267.08,21.03,11.99,NA,-8.96,0.57,68.6,62.21,61.09,1.553544,99,-8.72,72.71,230.2,17.65,,,,-8.96,8.31,71.83,1.33,-16.68,1.181497,99
31-12-2025,NSE:APRAMEYA,SM,611.18,315.55,18460,58.25053,4.27,4.47,3.14,,0.93,-0.65,-1.52,-3.12,-5.51,13.45,9.94,47.71,68.31,78.04,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-0.79,-0.09,-0.88,3.32,2.52,34.03,55.4,0,42.86,47.62,46.83,0,0,14.29,20.63,-5.52,-10.55,-10.55,-10.55,NA,-5.52,-5.61,-1.56,-8.54,-17.39,NA,28.56,107.6,350.79,NA,5.17,72.16,214.9,194.64,78.57,NA,-5.3,5.2,46.64,57.43,72,1.508419,99,-4.78,72.16,199.16,120.44,,,,-5.3,9.69,45.8,29.47,36.13,1.158082,99
