Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
15-01-2026,NSE:SWANDEF,BE,8465.49,1840.5,3921,72.16601,0.55,5.25,1.11,,-1.05,16.85,34.84,48.94,61.89,86.31,95.08,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,15.9,17.32,40.18,43.12,146.45,,,100,100,100,98.78,100,100,100,98.78,-1.05,-1.05,NA,NA,NA,-1.05,0,NA,NA,NA,NA,1836.55,NA,NA,NA,149.92,1755.56,NA,NA,NA,NA,62.95,93.84,0,0,0,3.558265,99,149.92,,,,,,,62.95,84.81,100.54,-10.97,6.23,2.031317,99
15-01-2026,NSE:MVKAGRO,SM,3661.53,674.6,56262,379.54345,5.22,5.82,2.35,L,-0.86,-1.02,-13.52,-15.36,-12.66,7.03,18.8,72.15,93.03,93.95,93.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1.47,-2.96,-4.3,-0.51,-4.78,49.02,86.78,0,33.33,66.67,83.33,0,0,41.27,69.84,-13.31,-17.63,-17.63,-17.63,-17.63,-13.31,-7.2,-0.39,0,-26.27,-36,30.38,252.09,1985.32,1985.32,9.3,86.41,1017.86,480.68,45.29,7.23,-11.6,17.56,71.44,81.43,87.86,3.514554,99,-9.43,86.41,1017.86,291.76,,,,-11.6,25.65,66.25,64.01,19.42,1.464647,99
15-01-2026,NSE:POLYSIL,ST,608.2,230.8,59900,138.2492,4.18,5.36,14.79,S,4.98,-5.7,-32.73,-36.92,-32.5,-28.66,-20.45,62.87,88.91,88.21,85.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-5.22,-9.15,-13.17,-11.66,-22.23,45.4,42.42,0,0,47.62,73.81,0,0,28.57,64.29,-26.96,-34.43,-34.43,-34.43,-34.43,-26.96,-13.12,-1.54,0,-41.69,-38.04,10.22,164.07,1470.07,1470.07,10.22,54.6,965.13,482.99,74.15,0.74,-31.44,-21.69,62.16,77.31,82.12,2.319076,99,-22.99,54.6,965.13,163.69,,,,-31.44,6.81,69.71,59.16,-0.02,1.368907,99
15-01-2026,NSE:CUPID,EQ,10443.37,464.85,8582933,39897.76405,7.29,6.95,3.32,S,5.92,6.68,-11.46,-0.89,11.93,32.7,46.33,72.81,86.95,83.15,77.94,-1,2,-1,2,EP,EP,-1,-1,-1,-1,-1,-1,9,-1,5.32,1.58,7.02,12.2,21.88,46.89,129.47,0,57.14,79.37,89.68,0,57.14,61.9,73.02,-11.44,-11.44,-11.44,-11.44,-11.44,-11.44,0,0,0,-45.49,-29.62,99,253.85,708.43,708.43,19.18,99.94,276.33,119.81,5.51,6.15,12.99,45.09,72.1,75.35,77.06,2.273012,99,10.38,97.38,276.33,57.99,,,,12.99,36.78,49.88,41.03,-22.88,1.250753,99
15-01-2026,NSE:TAKE,BE,601.8,42.99,2034761,874.74375,3.67,3.69,6.11,,-1.69,0.47,7.09,9.44,18.93,32.96,58.66,76.79,80.79,63.81,50.22,-1,-1,2,2,HV2Y,-1,HV2Y,HV2Y,HV2Y,-1,-1,2,-1,-1,2.06,5.29,7.77,14.42,25.92,51.17,157.89,100,100,100,76.98,60,85.71,79.37,49.21,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,0,0,-49.77,-65.51,-35.03,130.51,377.67,542.6,542.6,22.97,236.39,143.09,49.18,23.47,0,19.99,57.42,76.08,69.19,57.72,1.962326,99,22.97,226.62,111.05,-49.77,,,,19.99,46.73,44.38,6.26,-82.15,1.191724,99
15-01-2026,NSE:DIVINEHIRA,ST,317.04,244.8,28448,69.6407,1.98,3.22,9.31,,2.00,-3.23,6,10.17,30.15,40.11,56.5,76.8,77.94,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2.11,5.62,8.19,16.55,29.64,,,100,100,100,88.89,20,71.43,63.49,55.56,-3.13,-3.13,-3.13,NA,NA,-3.13,-7.22,-3.92,-33.57,NA,NA,127.51,327.97,NA,NA,36.34,94.43,142.05,29.09,NA,NA,31.21,55.26,76.09,66.34,0,1.784309,99,36.34,90.11,132.03,,,,,31.21,35.44,47.21,-6.04,106.23,1.201725,99
15-01-2026,NSE:SUNLITE,ST,388.69,395.75,60744,240.39438,4.26,5.17,12.72,,4.99,1.11,21.68,26.86,28.89,37.46,56.92,57.55,70.81,58.34,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,8.96,6.65,16.72,12.8,33.85,36.45,110.63,100,90.48,79.37,49.21,20,38.1,38.1,22.22,0,0,0,0,NA,0,-10.72,-10.73,-8.25,-44.86,NA,130.76,176.75,331.34,NA,45.63,69.52,85.83,83.11,7.94,NA,29.95,55.68,56.84,59.21,52.25,1.623936,99,39.25,69.52,50.09,-1.03,,,,29.95,37.13,2.01,20.28,-36.5,1.142144,99
15-01-2026,NSE:BGRENERGY,BE,2504.01,321.1,119177,382.67735,5.19,5.33,5.61,S,0.16,-6.71,-16.44,1.46,-4.97,-26.35,-15.22,68.93,76.92,63.67,87.79,-1,-1,-1,-1,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,-4.03,-2.37,-6.25,-8.77,-13.81,41.98,48.55,0,0,53.97,57.94,0,0,9.52,25.4,-14.12,-31.31,-31.31,-31.31,-31.31,-14.12,-27.89,0,-31.19,-48.9,0,4.92,231.68,349.72,821.91,4.92,49.79,399.41,186.48,112.75,234.97,-3.91,-16.46,68.22,65.32,57.58,1.56773,99,-0.06,37.59,399.41,106.97,,,,-3.91,-12.04,73.57,14.77,-51.22,1.213735,99
15-01-2026,NSE:TATSILV,EQ,3016.02,26.87,87065314,23394.44987,7.08,7.04,7.98,,6.08,11.5,18.68,23.67,30.18,41.98,35.69,58.39,65.98,67.21,69.74,2,2,-1,EP,EP,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.82,6.85,20.04,16.72,44.15,29.5,104.48,100,100,53.97,73.02,80,85.71,42.86,56.35,0,0,0,0,0,0,0,0,0,-7.58,-9.27,96.85,150.89,208.14,242.29,43.38,52.27,86.61,32.78,16.43,12.23,31.24,34.45,57.68,54.38,61.12,1.543102,99,43.38,50.32,85.21,28.06,,,,31.24,5.61,35.84,7.28,9.84,1.126364,99
15-01-2026,NSE:SILVER1,EQ,2578.3,266.79,2041182,5445.66946,4.81,5.29,4.97,,5.24,11.02,17.43,23.35,29.45,41.89,36.79,58.19,65.85,66.94,69.46,2,2,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,9,-1,-1,11.15,6.87,19.35,16.8,43.44,29.6,103.77,100,100,57.14,74.6,80,95.24,49.21,61.11,0,0,0,0,0,0,0,0,0,-7.8,-9.16,97.33,149.27,205.67,240.82,42.04,53.31,82.43,32.77,16.38,12.69,30.51,35.55,57.48,54.25,60.85,1.54074,99,42.04,51.51,79.88,27.84,,,,30.51,8.12,34.39,7.36,9.4,1.125122,99
