Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:CONCORDBIO,EQ,17592.26,1.04,3.15,1638.8,-1.82,2.12,-25.92,-5.29,-28.25,-12.03,0.09,-26.16,-16.8,-27.43,-10.41,0.9336993564468009,18
11-09-2025,NSE:TVSSCS,EQ,5404.41,6.25,2.85,133.87,0.72,0.90,-0.55,-7.58,-38.05,-50.42,-1.13,-0.79,-19.09,-37.23,-48.8,0.9334912614202873,18
11-09-2025,NSE:PNBHOUSING,EQ,19635.5,22.44,2.22,812.35,3.66,4.77,-34.08,-0.72,-18.09,-25.98,2.74,-34.32,-12.23,-17.27,-24.36,0.933447630823231,18
11-09-2025,NSE:DCW,EQ,2154.34,9.86,3.19,74.1,-1.81,0.20,-9.54,-4.91,-41.43,-24.79,-1.83,-9.78,-16.42,-40.61,-23.17,0.9331950400924729,18
11-09-2025,NSE:HPL,EQ,2982.26,2.86,3.71,473.05,1.05,-19.84,-17.03,14.52,-23.45,-24.41,-21.87,-17.27,3.01,-22.63,-22.79,0.9331070367130962,18
11-09-2025,NSE:GEMAROMA,EQ,1441.22,19.83,7.36,296.15,8.69,-12.48,-12.48,-12.48,-12.48,-12.48,-14.51,-12.72,-23.99,-11.66,-10.86,0.9329963405141362,18
11-09-2025,NSE:AARTIIND,EQ,13613.88,6.77,2.6,391.75,2.80,4.30,-19.94,-3.71,-14.46,-54.33,2.27,-20.18,-15.22,-13.64,-52.71,0.9327120755852413,18
11-09-2025,NSE:OSWALGREEN,EQ,1035.71,1.7,2.62,40.24,-1.71,-6.39,-17.47,7.46,-35.83,-22.27,-8.42,-17.71,-4.05,-35.01,-20.65,0.9326767421207418,18
11-09-2025,NSE:TRENT,EQ,188123.96,8.23,2.24,5171,-6.92,-5.27,-8.83,3.31,-34.40,-37.37,-7.3,-9.07,-8.2,-33.58,-35.75,0.932268255872896,18
11-09-2025,NSE:VMART,EQ,5890.53,1.51,1.94,745.75,-0.51,-1.47,-22.77,2.44,-31.58,-20.29,-3.5,-23.01,-9.07,-30.76,-18.67,0.9320279984872909,17
11-09-2025,NSE:HCLTECH,EQ,394485.5,32.29,1.87,1467.7,1.66,-1.38,-15.91,-6.15,-30.13,-19.65,-3.41,-16.15,-17.66,-29.31,-18.03,0.9319658543426051,17
11-09-2025,NSE:DEVIT,EQ,246.47,2.02,5.95,43.31,-4.41,-1.25,-3.59,-13.78,-43.67,-21.84,-3.28,-3.83,-25.29,-42.85,-20.22,0.9319582820367459,17
11-09-2025,NSE:RAIN,EQ,4557.48,11.5,3.07,138.48,2.25,-14.12,-8.80,5.28,-35.11,-21.71,-16.15,-9.04,-6.23,-34.29,-20.09,0.9316546538291942,17
11-09-2025,NSE:PLATIND,EQ,1456.06,1.05,3.72,280.05,2.93,3.36,-1.59,-0.54,-65.11,-48.13,1.33,-1.83,-12.05,-64.29,-46.51,0.9315220810995997,17
11-09-2025,NSE:CASTROLIND,EQ,19524.14,12.17,1.69,199.84,0.24,-5.38,-7.56,-20.43,-11.48,-32.11,-7.41,-7.8,-31.94,-10.66,-30.49,0.9312377347148532,17
11-09-2025,NSE:SUZLON,EQ,77413.07,658.77,2.73,56.94,-0.84,-11.20,-15.35,3.55,-18.30,-31.23,-13.23,-15.59,-7.96,-17.48,-29.61,0.9310914985210963,17
11-09-2025,NSE:AWFIS,EQ,4031.71,2.5,3.02,573.55,-1.21,2.62,-14.68,-10.08,-25.05,-34.52,0.59,-14.92,-21.59,-24.23,-32.9,0.9310515254488297,17
