Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
02-11-2025,NSE:MVKAGRO,ST,813.15,524.95,96786,508.07811,1.29,2.08,1.71,2M,-0.01,-6.11,-8.55,-4.75,3.49,54.68,87.55,93.17,91.35,NA,-1,-1,-1,-1,HV2Q,-1,-1,-1,7,-1,-1,-2.79,1.95,-0.86,13.37,14.44,58.2,173.77,0,0,0,0,0,0,-9.49,-9.49,-9.49,-9.49,NA,-9.49,0,0,0,-56.78,NA,116.34,665.23,1522.72,NA,1.59,215.67,635.39,102.01,0,NA,-0.63,51.83,80.36,81.36,86.24,3.641715,99,1.59,215.67,554.47,8.29,,,-0.63,54.36,68.07,40.16,-19.05,1.422858,99
02-11-2025,NSE:BGRENERGY,BE,3153.39,438.3,474186,2078.35724,3.94,6.11,29.42,S,3.75,-1.31,12.26,27.08,45.58,77.49,77.76,67.58,92.05,76.03,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,4,-1,-1,5.79,9.17,16.48,25.51,56.36,46.96,194.78,0,0,0,0,0,0,-6.23,-6.23,-6.23,-6.23,-6.23,-6.23,-10.04,-29.15,-32.77,-2,-69.35,352.74,358.81,1134.65,1159.48,75.01,146.38,38.18,179.87,308.33,0.09,41.46,74.64,70.57,55.77,86.94,2.803617,99,75.01,125.66,-29.15,127.12,,,41.46,59.96,-3.26,-50.75,83.08,1.475963,99
02-11-2025,NSE:AKIKO,ST,287.55,267,29536,78.86112,3.87,4.72,6.01,S,1.56,-1.07,10.11,6.37,8.8,59.16,67.88,69.55,73.37,NA,-1,-1,HVY,HVQ,-1,-1,-1,-1,-1,11,-1,1.77,2.57,4.46,11.6,18.17,46.92,122.62,0,0,0,0,0,0,-4.09,-4.09,-4.09,-4.09,NA,-4.09,-11.21,0,-7.2,-12.91,NA,149.53,292.36,292.65,NA,11.25,257.83,60.37,35.25,28.23,NA,4.68,56.31,60.69,57.74,68.26,1.729957,99,6.31,214.19,31.7,-3.11,,,4.68,56.54,16.91,0.21,20.14,1.196984,99
02-11-2025,NSE:SOMATEX,BE,460.18,139.31,32701,45.55576,3.7,5.59,9.82,,5.00,21.63,33.81,48.08,47.69,32.02,68.95,71.6,68.01,83.31,-1,-1,-1,HV2Q,HVQ,HV2Y,-1,1,-1,-1,-1,20.02,12.22,36.72,16.76,64.25,30.61,136.7,0,0,0,0,0,0,0,0,0,0,0,0,-30.47,-9.64,-34.26,-39.88,-13.61,114.09,230.28,280.84,512.35,102.22,65.28,158.88,29.52,78.6,101.22,43.57,29.17,61.76,59.79,62.9,1.693712,99,91.2,65.28,144.14,23.28,,,43.57,-28.64,49.86,3.57,-5.07,1.180552,99
02-11-2025,NSE:TERASOFT,BE,632.66,505.65,22355,113.03806,1.69,3.1,2.61,,4.99,4.28,11.59,9.72,7.18,38.85,58.11,51.32,84.94,87.54,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,-1,12,3.07,3.61,6.92,11.89,21.36,30.44,74.46,0,0,0,0,0,0,-5.24,-5.24,-5.24,-5.24,-5.24,-5.24,-0.13,-10.65,-20.14,0,-19.43,78.8,143.57,559.43,1011.32,17.66,65.97,84.87,202.63,440.97,67.34,3.06,36,50.92,39.51,79.83,1.67296,99,5.63,56.87,23.68,174.4,,,3.06,35.44,27.03,-21.17,76.66,1.260913,99
02-11-2025,NSE:MEGASOFT,EQ,1559.06,211.34,319861,675.99424,4.78,5.53,4.25,,5.00,16.44,27.81,27.17,27.56,47.28,68.13,63.58,69.05,60.94,-1,-1,-1,HVQ,-1,HVQ,-1,-1,-1,-1,0,13.39,7.13,22.09,10.04,35.72,35.89,111.7,0,0,0,0,0,0,0,0,0,0,0,0,-9.92,0,-36.96,-27.95,-34.89,89.76,239.07,330.78,330.78,45.17,57.06,127.11,37.28,52.11,29.25,23.44,44.43,60.94,51.77,63.94,1.615822,99,34.84,45.64,50.36,-4.1,,,23.44,28.54,35.09,-19.26,22.62,1.145744,99
02-11-2025,NSE:APRAMEYA,SM,523.6,275,24190,66.5225,5,5.01,2.35,,0.70,0,4.36,1.75,0,42.85,61.62,56.44,78.31,NA,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,11,-1,1.45,1.3,2.78,6.67,10.13,35.4,70.47,0,0,0,0,0,0,-5.17,-5.17,-5.17,-5.17,NA,-5.17,-4.75,-12.89,-12.8,0,NA,80.92,154.63,391.07,NA,12.04,80.92,74.13,88.48,113.93,NA,-4.12,40,54.43,44.63,73.2,1.568807,99,0.92,67.07,30.69,,,,-4.12,44.17,28.37,-18.48,57.8,1.193244,99
02-11-2025,NSE:CUPID,EQ,6256.09,233.59,3453771,8067.66368,4.55,4.47,5.32,,-1.12,-0.56,-8.67,-2.87,7.98,35.63,65.16,70.74,68.41,51.63,-1,-1,-1,HV2Y,HV2Q,-1,-1,-1,-1,6,-1,-2.44,1.79,-0.66,9.56,9.84,41.89,89,0,0,0,0,0,0,-7.98,-7.98,-7.98,-7.98,-7.98,-7.98,-3.14,-0.36,-22.97,-49.99,-46,54.81,181.33,306.24,306.24,8.78,100.78,161.51,41.53,0,0,3.86,32.78,57.97,58.93,63.3,1.568162,99,7.5,100.78,112.72,-11.67,,,3.86,31.37,41.42,11.04,-0.38,1.141735,99
02-11-2025,NSE:INDOTHAI,BE,4835.67,401.8,942988,3788.92578,5.44,6.24,4.89,S,2.08,3.96,-12.61,10.66,30.16,54.93,50.93,52.72,74.66,91.83,-1,2,HV2Q,-1,-1,HVQ,-1,-1,-1,2,-1,1.41,6.26,8.18,26.51,47.22,23.01,91.21,0,0,0,0,0,0,-11.19,-11.19,-11.19,-11.19,-11.19,-11.19,0,-14.58,-6.09,-9.51,-0.2,171.6,171.6,299.01,1510.74,37.02,89.69,9.72,690.34,661.58,308.1,26.04,52.08,43.74,40.91,69.55,1.566272,99,37.02,56.79,-0.48,634.54,,,26.04,36.79,-13.32,-1.34,54,1.175448,99
02-11-2025,NSE:MAHASTEEL,BE,996.5,614.4,57333,352.25395,5.13,5.28,6.08,,1.60,7.28,9.11,15.15,32.4,41.93,57.71,68.12,67.16,81.87,-1,HVY,HVY,HVQ,HVQ,-1,-1,-1,2,-1,-1,5.06,6.52,12.38,17.41,36.07,28.75,90.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02,-3.24,-12.77,-8.32,86.98,151.08,232.05,539.33,35.33,26.4,92.83,154.68,103.85,109.94,28.28,39.08,50.52,56.31,62.05,1.560598,99,35.33,21.45,84.88,141.72,,,28.28,15.42,22.71,19.63,4.6,1.1314,99
