Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-01-2026,NSE:SILVER1,EQ,2578.3,248.61,1920316,4774.09761,4.72,5.06,4.87,,6.27,8.18,10.1,21.49,27.08,38.82,38.05,57.8,64.47,64.57,67.42,2,2,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,8.21,6.08,15.21,15.95,37.08,28.72,92.3,100,100,57.14,73.02,80,95.24,49.21,59.52,0,0,0,0,0,0,0,-1.61,-2.37,-10.6,-9.29,83.88,132.28,184.84,217.59,32.88,49.61,72.83,24.88,12.85,12.53,27.25,37.31,57.63,51.58,59.6,1.51166,99,32.88,49.61,72.83,18.21,,,,27.25,14.13,32.44,3.06,9.37,1.118352,99
12-01-2026,NSE:INFOBEAN,EQ,2109.52,897.35,251534,2257.14035,7.83,7.77,3.4,,0.11,3.64,11.75,14.54,27.66,31.01,44.18,59.05,67.77,51.62,51.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,1.23,6.72,8.52,15.82,28.91,26.87,76.27,100,100,33.33,41.27,40,61.9,20.63,20.63,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-4.88,-27.04,-21.55,-42.04,-13,85.5,143.15,220.65,220.65,29.33,37.16,78.32,31.3,3.36,13.68,27.83,43.44,58.88,54.88,46.65,1.510131,99,29.33,20.82,78.32,-9.11,,,,27.83,21.92,27.21,8.54,-41.01,1.107486,98
12-01-2026,NSE:SILVERADD,EQ,2257.51,246.35,826150,2035.22053,4.01,4.59,7.5,,5.94,7.68,11.06,21.07,27.07,38.5,37.49,57.67,64.36,64.58,67.38,-1,-1,-1,HVY,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,7.91,6.1,14.91,15.94,36.7,28.7,91.72,100,100,55.56,73.02,80,90.48,47.62,59.52,0,0,0,0,0,0,0,-1.23,-2.38,-10.54,-9.48,83.51,131.77,184.21,217.26,32.52,49.29,74.43,25.09,13.07,12.38,27.24,36.75,57.5,51.47,59.61,1.50857,99,32.52,49.29,74.43,18.4,,,,27.24,13.38,32.84,3.07,9.71,1.118053,99
12-01-2026,NSE:SILVER,EQ,3096.97,254.38,2799902,7122.39071,5.36,5.74,5.71,,6.05,7.47,11.09,21.04,26.73,38.34,37.01,57.53,64.1,64.49,67.39,-1,-1,-1,EP,HV2Y,-1,-1,-1,-1,-1,-1,-1,1,-1,7.79,6.05,14.74,15.91,36.45,28.58,91.06,100,100,53.97,71.43,80,85.71,34.92,53.17,0,0,0,0,0,0,0,-2.67,-2.39,-10.04,-9.47,85.06,130.96,183.53,215.02,32.65,49.06,75.01,25.03,13.1,11.85,26.9,36.27,57.36,51.21,59.52,1.503378,99,32.65,49.06,75.01,18.47,,,,26.9,13.12,33.15,2.72,10.2,1.117348,99
12-01-2026,NSE:SBISILVER,EQ,5088.38,249.68,3795100,9475.60568,3.82,4.36,5.15,,5.81,7.3,9.41,20.84,26.57,38.33,36.86,57.43,64.07,64.36,NA,-1,-1,-1,HVQ,2,-1,-1,-1,-1,-1,-1,1,-1,-1,7.64,6.03,14.55,15.89,36.19,28.58,90.7,100,100,55.56,73.02,80,85.71,46.03,57.94,0,0,0,0,NA,0,0,-1.49,-2.47,-10.31,NA,82.81,130.33,183.53,NA,32.13,49.53,74.78,25.14,12.56,NA,26.74,36.12,57.26,51.18,59.39,1.501103,99,32.13,49.53,74.78,18.75,,,,26.74,13.11,33.15,2.85,9.89,1.116887,99
12-01-2026,NSE:SILVERIETF,EQ,15350.8,254.08,9094707,23107.83155,4.98,5.25,7.12,,5.69,7.26,10.95,20.86,26.55,38.44,35.98,57.55,64.3,64.37,67.29,-1,-1,2,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,3,-1,-1,7.62,6.09,14.6,15.94,36.33,28.66,91.1,100,100,55.56,72.22,80,85.71,46.03,57.94,0,0,0,0,0,0,0,0,-2.42,-10.43,-9.21,82.15,130.83,183.35,216.57,32.25,49.27,77.41,25.29,13.02,12.81,26.72,35.24,57.38,51.41,59.4,1.500552,99,32.25,49.27,77.41,18.19,,,,26.72,11.93,34.26,3.15,9.28,1.116968,99
12-01-2026,NSE:AXISILVER,EQ,1537.47,253.26,1292617,3273.68181,5.02,5.38,8.73,,6.10,7.45,9.7,21.05,26.79,38.42,36.32,57.43,64.05,64.41,67.2,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,7.68,6.06,14.63,15.94,36.37,28.51,90.74,100,100,53.97,71.43,80,95.24,36.51,52.38,0,0,0,0,0,0,-0.21,0,-2.25,-10.28,-9.52,82.75,130.61,181.71,216.14,32.46,48.89,76.48,24.98,13.64,12.52,26.96,35.58,57.26,51.16,59.44,1.500148,99,32.35,48.89,76.48,18.64,,,,26.96,12.11,33.72,2.82,10.08,1.116938,99
12-01-2026,NSE:SILVERBEES,EQ,30217.98,243.35,54222841,131951.28357,3.91,4.66,7.21,,5.63,7.32,10.31,20.87,26.51,38.25,36.75,57.38,64.07,64.22,67.1,-1,-1,2,EP,HV2Y,-1,-1,-1,-1,-1,-1,2,-1,-1,7.61,6.05,14.54,15.87,36.15,28.52,90.47,100,100,53.97,71.43,80,85.71,38.1,53.17,0,0,0,0,0,0,0,-1.43,-2.37,-10.41,-9.41,81.86,130.21,182.08,214.85,32.16,49.92,74.97,25.03,13.13,12.65,26.68,36.01,57.21,51.18,59.25,1.499575,99,32.16,49.92,74.97,18.31,,,,26.68,13.03,33.19,2.95,9.51,1.116518,99
12-01-2026,NSE:HDFCSILVER,EQ,6496.31,244.43,6956501,17003.77539,5.28,5.48,3.98,,5.69,7.38,9.73,20.99,26.55,38.25,35.69,57.49,64.03,64.36,67.23,-1,-1,2,2,HV2Y,-1,-1,-1,-1,-1,-1,-1,1,-1,7.67,6.03,14.58,15.88,36.2,28.51,90.53,100,100,53.97,71.43,80,85.71,34.92,50.79,0,0,0,0,0,0,0,-3.17,-2.51,-10.12,-9.46,82.92,130.66,182.97,213.94,32.23,49.74,77.66,24.89,12.91,11.88,26.72,34.95,57.32,51.14,59.39,1.497577,99,32.23,49.74,77.66,18.17,,,,26.72,11.54,34.47,2.66,10,1.11666,99
12-01-2026,NSE:ESILVER,EQ,1093.09,253.9,384919,977.30934,4.25,4.69,5.97,,5.39,6.84,9.24,20.88,26.54,38.12,35.77,57.29,64.01,64.08,67.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,7.4,6.05,14.32,15.88,35.9,28.44,89.91,100,100,53.97,71.43,80,85.71,36.51,52.38,0,0,0,0,0,0,0,0,-2.3,-10.74,-9.12,80.87,129.75,180.86,212.88,32.02,48.95,77.29,24.67,12.62,12.37,26.71,35.03,57.12,51.12,59.11,1.495026,99,32.02,48.95,77.29,18.09,,,,26.71,11.65,34.07,2.99,9.31,1.115931,99
