Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,DA_EMA5,DA_EMA10,DA_21EMA,DA_SMA50,DA_SMA200,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
28-02-2026,NSE:CNXINFRA,IN,,9532.65,,,,,,,-1.18,-1.04,-0.1,-0.09,3.98,0.28,-1.27,6.59,5.6,15.55,6.64,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.06,-2.39,-2.39,-2.39,-2.39,,,,,,,,,,,,,,,,,3.6,2.04,3.89,4.28,5.47,1.020132,,,,,,,,,3.6,-1.77,1.95,0.36,1.66,1.006432,
28-02-2026,NSE:FEDFINA,EQ,5555.45,130.87,1546215,2023.53157,3.59,3.69,7.71,3L,-3.08,-2.42,-8.31,-9.99,-16.54,-10.23,-12.14,-3.09,27.38,28.34,6.34,-1,-1,-1,HVY,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,0,0,0,0,0,-3.82,-2.79,-6.42,-5.62,-11.41,8.07,-3.63,0,0,0,26.19,0,0,0,15.08,-10.89,-25.81,-25.81,-25.81,-25.81,-10.89,-13.53,-9.71,-5.01,-26.53,-27.5,0,0,58.61,58.61,0,12.31,49.48,63.52,15.19,4.33,-16.92,-8.83,-5.79,26.06,18.26,1.020099,62,-7.7,5.8,49.48,42.43,,,,-16.92,7.48,2.26,30.98,-7.55,1.024876,80
28-02-2026,NSE:MARUTI,EQ,35000,14857,386704,57452.61328,2.02,2.06,2.87,S,-2.34,-0.81,-2.56,-0.94,1.74,-12.05,-7.02,0.71,16.59,16.26,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,19,-1.23,-0.63,-1.85,-3.8,-5.44,6.57,1.22,0,0,19.05,39.68,0,0,11.11,34.92,-3.6,-14.08,-14.08,-14.08,-14.08,-3.6,-15.57,-3.19,0,-8.18,-7.82,4.63,4.63,31.13,38.38,4.63,0.67,31.12,37.4,15.42,15.87,1.36,-3.71,-1.99,15.27,6.18,1.017976,59,4.63,-9.92,29.07,34.8,,,,1.36,-5.21,1.41,17.42,-9.27,1.007602,65
28-02-2026,NSE:CNXPHARMA,IN,,22952.35,,,,,,,-1.50,2.18,3.3,4.32,5.39,1.8,-0.2,4.98,5.94,9.44,14.95,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.5,-1.5,-1.5,-1.5,-3.5,,,,,,,,,,,,,,,,,5.01,3.11,2.28,4.62,-0.64,1.016191,,,,,,,,,5.01,-2.21,-0.64,2.42,-5.16,1.001198,
28-02-2026,NSE:NIFTYJR,IN,,69710.9,,,,,,,-1.30,0.37,1.27,0.94,2.68,1.5,0.82,5.41,3.75,12.44,-2.77,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.3,-1.39,-1.39,-1.39,-10.41,,,,,,,,,,,,,,,,,2.3,4.13,2.71,2.43,2.36,1.014953,,,,,,,,,2.3,1.79,-1.19,-0.33,0.14,1.003749,
28-02-2026,NSE:SUNPHARMA,EQ,33000,1737,2406034,41792.81058,1.53,1.66,10.33,,-2.73,0.73,2.27,2.41,8.16,0.97,-5.45,8.71,2.14,3.9,13.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,9,19,0.05,1.05,1.11,0.83,1.95,0.95,2.93,0,0,20.63,17.46,0,0,12.7,13.49,-2.73,-4.47,-5.16,-5.68,-10.86,-2.73,-12.9,0,-16.1,-12.77,-14.34,9.29,11.11,11.11,15.4,7.88,0.38,17.16,1.23,15.85,13.77,7.78,-2.14,6.01,0.82,-6.18,1.009396,56,7.88,-6.35,9.18,-9.99,,,,7.78,-11.11,7.62,-5.78,-7.09,0.996566,44
28-02-2026,NSE:CNXMIDCAP,IN,,59115.6,,,,,,,-1.14,-0.67,-0.55,-0.65,1.16,-1.35,-3.26,5.19,2.81,13.45,5.99,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.7,-3.76,-3.76,-3.76,-3.76,,,,,,,,,,,,,,,,,0.78,0.05,2.49,1.49,3.37,1.007943,,,,,,,,,0.78,-0.77,2.37,-1.1,2.07,1.003465,
28-02-2026,NSE:KOTAKBANK,EQ,50000,415.2,14817904,61523.93741,1.99,2.07,4.45,,-2.20,-1.48,-1.31,-1.72,1.73,-3.69,-2.33,6.32,-0.27,5.08,14.62,-1,-1,-1,-1,-1,2,2,2,-1,-1,0,0,0,0,0,-1.8,0.06,-1.74,-0.47,-2.2,1.12,-1.09,0,0,0,0,0,0,0,0,-3.6,-6.39,-6.72,-8.5,-8.5,-3.6,-8.02,-4.71,-14.29,-8.25,-0.73,1.95,6.87,9.09,23,1.95,0,9.36,11.87,23.33,16.75,1.35,0.98,3.62,-1.59,-5,1.000563,53,1.95,-4.55,2.4,9.03,,,,1.35,-0.44,2.65,-5.62,-3.55,0.996323,41
28-02-2026,NSE:NIFTYMIDSML400,IN,,19627.5,,,,,,,-1.07,-0.38,-0.34,-0.21,1.33,-1.94,-3.47,1.55,0.18,11.35,0.78,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.54,-4.11,-4.5,-4.78,-7.12,,,,,,,,,,,,,,,,,0.95,-0.16,-1.15,-1.14,1.27,1.000156,,,,,,,,,0.95,-1.17,-0.96,0.03,2.31,1.001083,
28-02-2026,NSE:CNX500,IN,,23166.85,,,,,,,-1.20,-0.98,-0.63,-1.15,0.38,-2.17,-3.31,2.7,1.32,10.08,3.79,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.59,-3.87,-3.87,-3.87,-5.43,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,1,
28-02-2026,NSE:NIFTY_TOTAL_MKT,IN,,12985.75,,,,,,,-1.20,-1.01,-0.71,-1.18,0.37,-2.25,-3.49,2.32,0.92,9.8,3.38,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.67,-3.97,-3.97,-3.97,-5.88,,,,,,,,,,,,,,,,,-0.01,-0.18,-0.38,-0.4,-0.28,0.998818,,,,,,,,,-0.01,-0.18,-0.2,-0.01,0.08,0.999656,
28-02-2026,NSE:NIFTY,IN,,25178.65,,,,,,,-1.25,-1.56,-1.16,-2.05,-0.56,-3.02,-4.07,2.69,1.37,9,6.52,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.99,-4.37,-4.37,-4.37,-4.37,,,,,,,,,,,,,,,,,-0.94,-0.76,-0.01,0.05,-1.08,0.997013,,,,,,,,,-0.94,0.22,0.69,0.06,-1.15,0.998789,
28-02-2026,NSE:ICICIBANK,EQ,90000,1378.9,13266443,182930.98253,1.53,1.62,9.16,S,-1.85,-1.13,-2.59,-1.97,1.73,2.64,-0.72,-1.46,-5.63,9.35,15.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1.2,0.09,-1.12,0.77,-0.35,-1.44,-1.76,60,66.67,23.81,11.9,0,19.05,6.35,3.17,-3.57,-4.04,-4.04,-7.37,-7.37,-3.57,-5.71,-6.7,-6.01,-0.28,-7.14,3.35,4.43,14.52,18.7,3.35,2.62,5.18,16.97,31.73,13.05,1.35,2.59,-4.16,-6.95,-0.73,0.994695,50,3.35,-0.54,-3.94,7.21,,,,1.35,1.21,-6.55,-2.68,5.3,0.999962,53
28-02-2026,NSE:RELIANCE,EQ,200000,1393.9,11503869,160352.42999,1.94,2.11,3.76,S,-0.92,-1.83,-1.84,-4.08,-0.11,-10.47,-12.45,0.57,-1.71,11.54,-3.41,-1,-1,-1,-1,-1,HV2Q,HV2Q,-1,-1,-1,0,0,0,0,0,-1.54,-0.69,-2.22,-2.58,-4.68,0.79,-3.92,0,0,36.51,29.37,0,0,31.75,26.98,-5.09,-12.46,-12.46,-12.46,-12.93,-5.09,-12.37,-0.15,-10.09,-11.44,-22.98,3.48,3.48,19.97,19.97,3.48,1.08,15.78,19.28,22.02,2.3,-0.49,-9.14,-2.13,-3.03,1.46,0.986477,47,3.48,-6.25,10.32,6.96,,,,-0.49,-8.63,5.78,-0.88,4.15,0.999382,50
28-02-2026,NSE:CNXSMALLCAP,IN,,16928.9,,,,,,,-1.10,-0.43,-0.61,-0.06,0.29,-3.49,-5.32,-2.16,-5.67,6.98,-7.61,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-3.01,-5.73,-8.56,-11.55,-13.88,,,,,,,,,,,,,,,,,-0.09,-2.01,-4.86,-6.99,-3.1,0.984788,,,,,,,,,-0.09,-1.93,-2.81,-2.02,3.09,0.99623,
28-02-2026,NSE:BHARTIARTL,EQ,65000,1879.3,6150050,115577.88965,1.98,2.06,4.59,,-2.61,-5.22,-6.67,-8.47,-4.76,-11.73,-11.83,-0.1,0.84,12.55,24.45,-1,-1,-1,-1,-1,2,2,-1,-1,-1,0,0,0,0,0,-3.75,-1.32,-5,-2.41,-7.24,2.43,-4.92,0,0,7.94,21.43,0,0,4.76,18.25,-7.81,-12.49,-13.1,-13.1,-13.1,-7.81,-8.97,-2.83,-7.51,-1.97,-7.2,0,0.63,19.69,32.82,0,0.56,14.19,20.55,34.93,19,-5.14,-8.52,-2.8,-0.48,2.47,0.984173,44,-3.58,-4.72,13.22,19.26,,,,-5.14,-3.05,4.68,2.35,2.93,1.000039,56
28-02-2026,NSE:HINDUNILVR,EQ,60000,2338.1,1411966,33013.17705,2.17,2.18,4.65,M,-1.90,1.01,1.41,-3.68,-1.49,2.05,-3.86,-11.77,0.35,5.34,-2.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-0.6,-0.24,-0.84,0.03,-0.81,-2.14,-2.89,0,0,0,7.14,0,0,0,5.56,-5.07,-5.07,-11.29,-11.8,-21.58,-5.07,-2.72,-8.39,-1.42,-21.85,-25.77,3.43,3.43,10.08,10.08,2.58,4.97,8.99,23.04,9.7,0,-1.87,-0.55,-14.47,-0.97,-4.74,0.980525,41,-0.54,-2.4,5.04,7.07,,,,-1.87,1.37,-13.42,12.26,-3.87,0.996241,38
28-02-2026,NSE:ASIANPAINT,EQ,32000,2376.2,1306128,31036.21354,1.97,1.99,30.01,,-0.78,-2.18,0.41,-1.05,-2.19,-16.08,-20.97,-4.75,3.45,5.35,-21.88,-1,-1,-1,2,2,-1,-1,-1,-1,-1,0,0,0,0,0,-1.32,-1.5,-2.79,-6.39,-8.63,3.1,-5.7,0,0,9.52,19.84,0,0,9.52,18.25,-3.12,-19.95,-19.95,-19.95,-29.77,-3.12,-18.2,-1.1,-3.8,-32.19,-33.52,0.81,2.51,11.45,11.45,0.81,0.51,30.13,16.74,7.61,1.51,-2.57,-17.66,-7.45,2.13,-4.73,0.970822,38,0.81,-3.77,27.24,-0.64,,,,-2.57,-14.67,7.6,9.24,-6.91,0.992952,35
28-02-2026,NSE:NIFTY_MICROCAP250,IN,,21297.3,,,,,,,-1.07,-1.79,-2.86,-1.78,0.13,-4.39,-8.53,-8.16,-9.96,2.03,-8.12,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-5.18,-7.69,-12.21,-13.96,-19.36,,,,,,,,,,,,,,,,,-0.25,-5.22,-10.86,-11.28,-8.05,0.969156,,,,,,,,,-0.25,-4.98,-5.47,-0.24,2.02,0.990802,
28-02-2026,NSE:CNXFMCG,IN,,51142.2,,,,,,,-1.69,-1.23,0.47,-1.45,-0.14,-7.61,-8.71,-8.74,-8.78,-2.34,-10.27,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.41,-7.85,-10.44,-11.05,-22.87,,,,,,,,,,,,,,,,,-0.52,-5.4,-11.44,-10.1,-12.42,0.965816,,,,,,,,,-0.52,-4.85,-5.84,1.39,-2.96,0.987231,
28-02-2026,NSE:HDFCBANK,EQ,120000,887.75,27620431,245200.3762,1.71,1.82,7.21,2L,-1.21,-2.71,-1.82,-6.01,-4.67,-11.62,-13.5,-7.89,-8.56,4.98,5.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2.41,-1.1,-3.47,-2.53,-5.85,-3.29,-8.85,0,0,0,0,0,0,0,0,-6.86,-11.52,-12.06,-12.36,-12.36,-6.86,-7.95,-0.52,-5.44,-1.74,-9.87,0,0,5.87,10.89,0,1.44,6.68,17.54,23.45,8.06,-5.05,-10.19,-10.59,-9.88,-5.1,0.962025,35,-3.73,-6.9,3.61,7.28,,,,-5.05,-4.73,-0.87,0.8,3.59,0.991952,32
28-02-2026,NSE:CNXMEDIA,IN,,1416.15,,,,,,,0.60,-0.75,-3.29,1.79,2.19,-0.51,-3.68,-13.43,-20.82,-6.63,-41.34,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-5.19,-5.19,-13.25,-20.17,-34.82,,,,,,,,,,,,,,,,,1.81,-0.37,-16.13,-22.14,-16.71,0.960112,,,,,,,,,1.81,-2.3,-15.22,-5.1,2.86,0.985433,
28-02-2026,NSE:CNXREALTY,IN,,780.6,,,,,,,-2.26,-5.14,-5.51,-5.67,-0.31,-11.43,-15.7,-13.05,-22.43,-9.58,-45.45,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-8.68,-14.91,-19.41,-24.91,-31,,,,,,,,,,,,,,,,,-0.69,-12.39,-15.75,-23.75,-19.66,0.941978,,,,,,,,,-0.69,-11.64,-3.52,-6.87,1.61,0.979777,
28-02-2026,NSE:HCLTECH,EQ,34000,1389.1,3068431,42623.57502,3.03,3.34,6.31,S,1.14,-3.41,-4.76,-14.73,-22.06,-16.28,-16.92,-4.37,-19.84,-21.49,-3.73,-1,-1,-1,-1,-1,EP,EP,-1,-1,-1,1,0,0,0,0,-2.38,-4.56,-6.64,-7.68,-13.29,1.67,-11.82,0,9.52,47.62,29.37,0,0,42.86,22.22,-18.06,-19.69,-19.69,-20.16,-30.37,-18.06,-1.97,-6.65,-27.33,-16.56,-15.42,3.73,3.73,3.73,3.73,3.73,12.11,17.26,5.51,21.15,18.95,-22.44,-13.61,-7.07,-21.16,-31.57,0.920099,32,-16.63,9.41,-0.76,-23.68,,,,-22.44,7.91,4.93,-13.4,-10.25,0.973809,23
28-02-2026,NSE:HCLTECH,EQ,413806.79,1389.1,3068431,42623.57502,3.03,3.34,6.31,S,1.14,-3.41,-4.76,-14.73,-22.06,-16.28,-16.92,-4.37,-19.84,-21.49,-3.73,-1,-1,-1,-1,-1,EP,EP,-1,-1,-1,1,0,0,0,0,-2.38,-4.56,-6.64,-7.68,-13.29,1.67,-11.82,0,9.52,47.62,29.37,0,0,42.86,22.22,-18.06,-19.69,-19.69,-20.16,-30.37,-18.06,-1.97,-6.65,-27.33,-16.56,-15.42,3.73,3.73,3.73,3.73,3.73,12.11,17.26,5.51,21.15,18.95,-22.44,-13.61,-7.07,-21.16,-31.57,0.920099,29,-16.63,9.41,-0.76,-23.68,,,,-22.44,7.91,4.93,-13.4,-10.25,0.973809,20
28-02-2026,NSE:TECHM,EQ,22000,1357.8,2192444,29769.00463,3.49,3.73,4.72,S,-0.29,-7.3,-13.01,-19.3,-28.38,-18.18,-11.75,-10.15,-17.84,-22.1,-3.23,-1,-1,-1,-1,-1,HVQ,HVQ,-1,-1,-1,0,0,0,0,0,-5.04,-5.15,-9.69,-6.54,-15.23,3.48,-12.18,0,14.29,41.27,20.63,0,0,22.22,11.11,-21.24,-23.22,-23.22,-23.22,-24.42,-21.24,-1.43,-11.71,-16.74,-10.93,-7.71,0.92,0.92,6.68,6.68,0.92,25.7,9.42,17.51,25.71,23.69,-28.76,-8.44,-12.85,-19.16,-32.18,0.916579,26,-20.93,21.57,-3.6,-14.31,,,,-28.76,16.65,-4.38,-5.56,-12.5,0.976589,26
