Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score
08-09-2025,NYSE:ZEPP,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares",718,621349,15.17,48,6.25,49.38,95.06,94.08,93.81,93.08,47.81,86.64,79.09,83.15,72.71,6.854673,99
08-09-2025,NASDAQ:ABVX,Abivax SA - American Depositary Shares,6772,1157962,4.36,90,9.97,22.20,90.90,91.21,90.78,86.38,20.63,82.48,76.22,80.12,66.01,4.278778,99
08-09-2025,NASDAQ:ONDS,Ondas Holdings Inc. - Common Stock,1650,48373731,13.16,6.06,3.30,46.37,71.95,86.66,86.85,86.63,44.80,63.53,71.67,76.19,66.26,2.891664,99
08-09-2025,NASDAQ:QUBT,Quantum Computing Inc. - Common Stock,2437,15410084,6.43,15.24,-3.54,-3.41,10.10,66.99,59.51,95.82,-4.98,1.68,52.00,48.85,75.45,2.867653,99
08-09-2025,NASDAQ:OPEN,Opendoor Technologies Inc  - Common Stock,4445,369943804,21.14,6.04,26.32,69.37,88.75,80.13,64.24,68.21,67.80,80.33,65.14,53.58,47.84,2.777196,99
08-09-2025,NASDAQ:TDUP,ThredUp Inc. - Class A Common Stock,1371,2264744,5.53,11.13,2.79,11.05,30.64,78.80,84.46,92.00,9.48,22.22,63.81,73.80,71.63,2.583058,99
08-09-2025,NASDAQ:RGTI,"Rigetti Computing, Inc.  - Common stock",4911,40799159,7.74,15.15,-7.13,-3.37,25.54,38.28,79.27,94.49,-4.94,17.12,23.29,68.61,74.12,2.563491,99
08-09-2025,NYSE:QBTS,D-Wave Quantum Inc. Common Shares,5274,32696172,6.36,15.42,-1.30,-11.35,-20.75,66.41,80.61,93.98,-12.92,-29.17,51.42,69.95,73.61,2.524867,99
08-09-2025,AMEX:BMNR,"BitMine Immersion Technologies, Inc. Common Stock",7597,61199579,11.58,43.79,0.39,5.73,82.77,83.16,81.73,68.49,4.16,74.35,68.17,71.07,48.12,2.451091,99
08-09-2025,NASDAQ:PRCH,"Porch Group, Inc. - Common Stock",1985,2006188,5.67,19.04,10.87,21.80,42.96,65.36,70.54,93.43,20.23,34.54,50.37,59.88,73.06,2.428807,99
08-09-2025,NASDAQ:CELC,Celcuity Inc. - Common Stock,2653,964676,5.87,62.53,18.07,29.25,79.13,82.98,79.95,75.04,27.68,70.71,67.99,69.29,54.67,2.386882,99
