Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
11-12-2025,NSE:APTUS,EQ,14684.36,293.3,1350281,3960.37417,2.86,2.82,8.53,M,1.51,3.19,4.3,4.43,3.53,-8.52,-16.16,-10.52,-3.87,-10.91,-15.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.75,-0.48,2.27,-4.14,-1.8,-6.51,-7.8,0,0,0,8.73,0,0,0,3.97,0,-13.24,-18.39,-18.39,-24.73,0,-21.27,-5.2,-16.81,-21.81,-16.51,6.29,6.29,8.25,8.25,6.29,0,17.54,19.63,12.44,9.29,4.74,-18.18,-11.42,-17.05,-11.92,0.953034,46,2.11,-15.47,12.33,-0.78,,,4.74,-23.61,6,-6.37,7.23,0.983972,45
11-12-2025,NSE:BLUESTONE,EQ,8628.29,543.9,1291688,7025.49103,3.41,3.34,7.03,,1.51,-0.67,-3.31,-4.71,-8.77,-29.08,-21.03,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.62,-3.33,-3.83,-11.08,-13.42,,,0,0,34.92,40.51,0,0,3.17,10.13,-5.37,-28.55,NA,NA,NA,-5.37,-22.29,NA,NA,NA,NA,3.03,NA,NA,NA,3.03,13.2,NA,NA,NA,NA,-7.56,-23.05,0,0,0,0.953016,46,-5.11,,,,,,-7.56,-14.47,101.14,-12.39,14.01,0.972591,30
11-12-2025,NSE:DHANBANK,EQ,1079.9,25.14,850987,213.93813,2.79,2.75,4.86,L,-0.32,-3.58,-8.55,-8.47,-5.69,-3.58,-0.52,-23.07,6.25,-22.74,-51.77,-1,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-2.3,-1.56,-3.8,-0.42,-4.2,-4.45,-8.28,0,0,0,0,0,0,0,0,-9.37,-9.37,-19.32,-29.88,-37.25,-9.37,-2.89,-22.01,-13.7,-41.17,-22.98,0.96,0.96,11.58,11.58,0.4,6.71,12.16,37.33,3.51,23.1,-4.48,-2.54,-23.97,-6.93,-23.75,0.952977,46,-7.57,-1.77,4.55,-0.13,,,-4.48,1.69,-21.3,11.43,-16.91,0.988574,51
11-12-2025,NSE:JUBLFOOD,EQ,39795.26,597.9,1675493,10017.77265,2.1,2.32,3.11,2M,2.54,1.17,-1.46,1.13,2.11,-0.74,-9.89,-14.67,-1.93,-16.16,23.02,-1,EEP,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.01,-0.32,0.69,-0.55,0.14,-8.5,-7.7,0,0,0,0,0,0,0,0,-2.83,-8.25,-16.14,-22.01,-22.01,-2.83,-11.83,-8.83,-10.57,-20.5,-2.02,4.25,4.25,4.25,37.24,4.25,1.53,10.18,20.9,39.89,59.42,3.32,-11.91,-15.57,-15.11,-17.17,0.952973,46,4.25,-7.16,9,5.86,,,3.32,-15.46,-3.21,-1.28,0.05,0.982433,43
11-12-2025,NSE:EPL,EQ,6372.66,209.2,655212,1370.7035,2.51,2.48,4.79,,3.29,3.17,1.99,5.79,4.88,-1.47,-9.92,-14.65,1.78,-30.31,10.44,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,2.99,0.3,3.3,-0.75,2.53,-6.23,-3.48,0,0,0,0.79,0,0,0,0,0,-8.04,-14.12,-26.44,-26.71,0,-16.39,-7.11,-15.97,-28.02,-4.5,9.21,9.21,15.37,19.95,6.99,3.88,26.82,32.27,17.82,56.31,6.09,-11.94,-15.55,-11.4,-31.32,0.952908,46,2.48,-12.03,11.05,-5.87,,,6.09,-18.76,-3.16,1.94,-18.65,0.977452,36
11-12-2025,NSE:GRWRHITECH,EQ,9211.64,3661.7,81866,2997.68732,4.62,4.51,4.95,2M,1.73,-0.78,-5.9,-13.85,4.02,19.66,9.33,-19.54,-22.62,-35.45,51.14,-1,-1,HVQ,EEP,-1,-1,-1,-1,-1,-1,-1,-1.17,-0.21,-1.38,5.79,4.68,-2.68,1.95,0,61.9,20.63,10.32,0,19.05,6.35,3.17,-12.17,-12.17,-15.09,-30.84,-30.84,-12.17,-5.37,-29.81,-17.32,-15.19,-3.54,25.38,35.75,52.01,133.19,2.8,30.29,37.83,81.71,185.94,215.87,5.23,7.31,-20.44,-35.8,-36.46,0.952845,46,2.09,23.65,-21.21,28.97,,,5.23,2.33,-30.7,-14.97,3.55,0.977431,36
11-12-2025,NSE:63MOONS,EQ,3371.8,766.5,331034,2537.37561,5.19,5.24,4.3,S,0.15,-6.88,-1.94,1.34,1.14,-9.67,-21.7,-18.62,5.47,-3.42,42.38,HV2Y,HV2Y,-1,HV2Q,HVQ,-1,-1,-1,-1,-1,-1,-2.6,0.01,-2.59,-0.87,-3.43,-6.52,-9.34,0,0,0,23.02,0,0,0,15.08,-15.57,-18.6,-30.35,-30.35,-30.35,-15.57,-24.05,-15.23,-11.86,-29.76,0,7.53,7.53,24.85,135.92,7.53,5.01,46.38,145.51,123.02,144,2.35,-23.72,-19.52,-7.71,-4.43,0.952804,46,3.09,-19.21,23.38,120.77,,,2.35,-26.3,3.67,7.92,4.6,0.991345,54
11-12-2025,NSE:ENRIN,EQ,117359.51,2905.4,751273,21827.48574,3.43,3.43,3.09,2M,-3.03,-6.72,-7.1,-15.16,-13.02,-11.36,-16.44,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.74,-2.2,-6.79,-2.47,-9.04,,,0,0,15.87,49.59,0,0,7.94,23.97,-13.24,-19.44,NA,NA,NA,-13.24,-8.95,NA,NA,NA,NA,0,NA,NA,NA,0,5.9,NA,NA,NA,NA,-11.81,-18.46,0,0,0,0.952774,46,-11.92,5.49,,,,,-11.81,-6.23,101.14,-12.39,14.01,0.977239,36
11-12-2025,NSE:CAPITALSFB,EQ,1226.8,265.2,33755,89.51826,2.7,2.66,8.58,L,-0.69,-2.11,-4.24,-6.49,-1.81,-4.64,-10.8,-15.01,-3.79,-4.51,-37.1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,-1,-2.03,-0.87,-2.88,-1.16,-3.99,-3.35,-7.11,0,0,0,3.97,0,0,0,0.79,-6.09,-9.78,-18.36,-18.36,-31.01,-6.09,-10.85,-9.54,-2.38,-28.39,-27.9,0,0,3.31,3.31,0,0.5,14.47,18.82,6.36,0,-0.6,-12.82,-15.91,-16.97,-5.52,0.952568,46,-1.21,-10.37,7.38,1.97,,,-0.6,-12.03,-2.65,-2.64,13.32,0.988635,51
11-12-2025,NSE:EXIDEIND,EQ,32504,374.6,1804788,6760.73585,1.82,1.81,5.08,,1.13,-1.53,1.67,-1.66,-1.55,-6.95,-12.72,-8.26,5.1,-23.52,16.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,-0.44,-0.4,-2.05,-2.39,0.41,-1.99,0,0,9.52,11.11,0,0,3.17,7.14,-2.12,-11.89,-12.34,-19.97,-35.37,-2.12,-10.99,-1.19,-23.55,-38.67,-20.18,3.52,3.52,12.49,17.26,3.52,1.59,26.8,21.79,19.92,56.08,-0.34,-14.74,-9.16,-8.08,-24.53,0.952556,46,-1.34,0.73,18.66,-16.04,,,-0.34,-14.2,5.1,-0.05,-16.14,0.979552,39
