Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
30-10-2025,NSE:NIFTY_TOTAL_MKT,IN,,13405.85,,,,,,-0.45,0.37,1.95,3.04,4.59,3.34,7.77,10.38,4.24,14.91,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.45,-0.45,-0.45,-0.45,-2.84,,,,,,,,,,,,,,,,,-0.03,-0.16,0.17,-0.2,-0.18,0.999573,,,,,,,,-0.03,-0.13,0.33,-0.4,0.04,0.999776,
30-10-2025,NSE:AGARWALTUF,SM,262.47,136,101832,138.49152,5.14,5.23,3,-0.77,-5.29,-12.1,-14.78,-11.95,8.64,18.46,10.44,NA,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-17.8,-18.68,-18.68,NA,NA,-17.8,-8.97,-11.85,-21.93,NA,NA,12.4,18.73,NA,NA,0.48,32.8,45.66,30.01,NA,NA,-16.57,5.14,10.86,-0.14,0,0.996976,47,,,,,,,-16.57,19.57,6.49,-13.06,106.89,1.010891,56
30-10-2025,NSE:CNXREALTY,IN,,950.9,,,,,,0.04,1.23,3.73,7.94,8.01,2.57,6.84,10.24,-3.68,6.72,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.39,-0.39,-8.53,-15,-17.33,,,,,,,,,,,,,,,,,3.39,-0.93,-0.76,-0.34,-8.1,0.996429,,,,,,,,3.39,-4.74,0.14,0.42,-8.61,0.994629,
30-10-2025,NSE:CNXSMALLCAP,IN,,18469.7,,,,,,-0.10,0.97,2.07,3.14,4.99,1.18,10.94,8.2,1.19,12.44,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.1,-0.19,-3.5,-6.04,-6.04,,,,,,,,,,,,,,,,,0.37,-2.32,3.34,-2.38,-3.23,0.996044,,,,,,,,0.37,-2.82,5.63,-6.31,-0.74,0.996858,
30-10-2025,NSE:NIFTYJR,IN,,70082.55,,,,,,-0.22,0.92,1.38,2.77,3.21,3.86,7.95,10.83,-1.06,16.23,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.22,-0.22,-0.22,-4.38,-9.93,,,,,,,,,,,,,,,,,-1.41,0.36,0.35,0.25,-5.48,0.995105,,,,,,,,-1.41,1.85,0.01,-0.11,-6.44,0.996335,
30-10-2025,NSE:NIFTY_MICROCAP250,IN,,23868.1,,,,,,-0.21,0.55,2.09,2.3,3.74,-0.69,12.22,4.79,-0.61,13.6,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.21,-1.61,-3.57,-9.63,-9.63,,,,,,,,,,,,,,,,,-0.88,-4.19,4.62,-5.79,-5.03,0.988873,,,,,,,,-0.88,-3.42,8.58,-11.7,1.22,0.994837,
30-10-2025,NSE:CNXPSE,IN,,10051.85,,,,,,0.01,1.35,1.5,2.32,2.77,2.71,4.9,9.78,-1.91,5.87,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1.07,-3.25,-14.36,,,,,,,,,,,,,,,,,-1.85,-0.79,-2.7,-0.8,-6.33,0.988406,,,,,,,,-1.85,1.12,-2,1.9,-6.06,0.995097,
30-10-2025,NSE:ASIANPAINT,EQ,32000,2523.5,1010537,25500.9012,1.63,1.67,6,-0.60,0.84,5.88,7.73,7.17,4.83,3.88,10.35,-17.77,-19.34,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-0.6,-2.47,-2.47,-15.94,-25.41,-0.6,-9.46,-3.9,-28.3,-33.13,-12.16,8.86,14.25,18.36,18.36,8.86,0.27,12.64,13.77,2.11,9.66,2.55,1.33,-3.72,-0.23,-22.19,0.987114,44,,,,,,,2.55,-1.33,-5.26,3.5,-24.47,0.987636,33
30-10-2025,NSE:CNXENERGY,IN,,36392.6,,,,,,0.12,2.13,2.94,3.59,3.64,2.7,5.91,8.6,-9.75,-9.79,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-0.63,-8.18,-19.05,,,,,,,,,,,,,,,,,-0.98,-0.8,-1.69,-1.98,-14.17,0.984143,,,,,,,,-0.98,0.21,-0.95,-0.37,-13.19,0.990029,
30-10-2025,NSE:ULTRACEMCO,EQ,29000,12053,235018,28326.71954,1.58,1.59,4,0.45,-0.76,-2.14,0.51,0.1,-1.39,3.42,6.36,8.37,17.21,-1,-1,-1,-1,HV2Q,HV2Q,-1,-1,-1,-1,-1,-2.56,-6.38,-6.38,-6.38,-6.38,-2.56,-6.47,-2.83,-4.87,-6.6,-8.47,1.13,9.24,19,28.72,1.13,0,20.66,14.93,20.52,17.94,-4.52,-4.89,-4.18,-4.22,3.95,0.983232,41,,,,,,,-4.52,-0.31,0.5,-0.18,9.04,1.000471,44
30-10-2025,NSE:HINDUNILVR,EQ,60000,2469.6,1587711,39210.11086,1.71,1.73,4,-0.74,-5.34,-2,-1.24,-1.15,0.65,5.16,4.11,-1.44,2.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5.15,-8.28,-8.28,-8.28,-18.46,-5.15,-7.23,-2.9,-22.67,-21.81,-17.28,1.32,9.12,14.47,14.47,0,8.82,13.73,8.56,7.93,14.18,-5.77,-2.85,-2.44,-6.47,-5.86,0.976004,39,,,,,,,-5.77,2.95,0.29,-4.34,1.1,0.99342,39
30-10-2025,NSE:ICICIBANK,EQ,90000,1362.4,11226684,152952.34282,1.37,1.4,4,-0.58,-0.1,-2.64,-0.58,1.05,-9.09,-4.74,11.24,8.05,23.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5.16,-8.09,-8.48,-8.48,-8.48,-5.16,-9.44,-0.16,-0.2,-10.17,-6.4,1.07,1.07,13.9,30.22,1.07,0,23.43,22.84,22.23,26.63,-3.57,-12.59,-12.34,0.66,3.63,0.973826,36,,,,,,,-3.57,-9.06,-0.27,12.03,3.29,0.999927,41
