Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
22-09-2025,NASDAQ:SBET,"SharpLink Gaming, Inc. - Common Stock",2931,26068181,7.44,17.33,0.64,-2.14,13.82,-12.35,43.16,78.47,46.53,53.61,0,0,-1,-1,-1,-1,-53.64,-78.12,-78.12,92.56,575.48,575.48,-17.94,30.98,58.38,36.26,32.52,1.451352,98,-12.35,49.41,62.11,-148.30,13.25,-17.94,42.43,53.1,-136.01,1.19,1.125755,98
22-09-2025,NASDAQ:GOOGL,Alphabet Inc. - Class A,3056897,40568322,2.22,254.72,1.07,5.46,7.74,21.75,34.58,36.09,22.79,37.45,0,0,0,2,-1,-1,0,0,0,54.2,76.03,76.03,16.16,22.4,16,12.52,16.36,1.133869,93,21.75,16.40,2.30,-20.80,18.99,16.16,9.42,-6.71,-8.51,6.93,1.082651,93
22-09-2025,NASDAQ:TSLA,"Tesla, Inc. - Common Stock",1400522,91135557,3.87,426.07,2.21,7.07,17.66,23.98,24.39,44.55,-8.67,46.52,0,0,-1,-1,-1,-1,0,0,-11.21,44.95,92.04,99.42,18.39,12.21,24.46,-18.94,25.43,1.122109,88,23.98,0.54,26.66,-95.98,50.79,18.39,-6.44,17.65,-83.69,38.73,1.082212,88
22-09-2025,NASDAQ:INTC,Intel Corporation - Common Stock,134317,101049509,3.4,29.58,-3.24,18.59,17.21,20.42,28.74,19.00,29.58,27.42,0,0,-1,-1,-1,-1,-3.24,-3.24,-3.24,53.18,63.15,63.15,14.83,16.56,-1.09,19.31,6.33,1.084767,83,20.42,10.45,-13.66,13.06,-3.07,14.83,3.47,-22.67,25.35,-15.13,1.065518,79
22-09-2025,NASDAQ:NVDA,NVIDIA Corporation - Common Stock,4461723,193821619,2.49,176.67,0.24,-0.65,5.46,0.72,18.58,32.91,25.28,34.57,0,0,-1,-1,-1,-1,-3.54,-3.54,-3.54,22.82,87.33,87.33,-4.87,6.4,12.82,15.01,13.48,1.060157,79,0.72,17.99,17.60,-11.36,12.43,-4.87,11.01,8.59,0.93,0.37,0.996144,55
22-09-2025,NYSE:JPM,JPMorgan Chase & Co. - Common Stock,859133,8293733,1.68,314.78,0.49,2.50,6.48,7.16,12.64,24.07,23.89,33.53,0,0,-1,-1,21,-1,0,0,0,14.47,49.7,53.38,1.57,0.46,3.98,13.62,12.44,1.040808,74,7.16,5.90,13.09,-0.24,12.66,1.57,-1.08,4.08,12.05,0.6,0.988627,40
22-09-2025,NASDAQ:NFLX,"Netflix, Inc. - Common Stock",521542,2877030,2.19,1226.97,1.59,3.14,-1.37,1.07,-0.36,22.51,24.93,42.39,0,0,-1,-1,-1,-1,-8.38,-8.38,-8.38,6.89,43.36,78.43,-4.52,-12.54,2.42,14.66,21.3,1.03133,69,1.07,-1.45,22.78,3.13,23.25,-4.52,-8.43,13.77,15.42,11.19,0.943269,2
22-09-2025,NASDAQ:META,"Meta Platforms, Inc. - Class A",1922053,10414121,1.86,778.38,-0.24,2.93,3.33,3.94,12.34,24.72,19.80,31.10,0,0,-1,-1,-1,3,-1.47,-1.47,-1.47,14.07,60.6,60.6,-1.65,0.16,4.63,9.53,10.01,1.027945,64,3.94,8.74,14.12,-6.53,14.09,-1.65,1.76,5.11,5.76,2.03,0.987176,31
22-09-2025,NASDAQ:AMD,"Advanced Micro Devices, Inc. - Common Stock",259314,45006198,3.25,157.39,-0.34,-0.75,3.97,-4.96,18.52,31.93,19.51,4.17,0,0,-1,-1,-1,-1,-14.66,-14.66,-14.66,22.73,101.24,101.24,-10.55,6.34,11.84,9.24,-16.92,1.010405,60,-4.96,22.37,16.45,-18.25,-19.05,-10.55,15.39,7.44,-5.96,-31.11,1.019428,69
22-09-2025,NASDAQ:MSFT,Microsoft Corporation - Common Stock,3823992,21503800,1.44,517.93,1.86,1.55,4.43,2.36,7.83,25.31,12.81,15.98,0,0,-1,-1,-1,-1,-3.31,-3.31,-3.31,8.49,46.08,46.08,-3.23,-4.35,5.22,2.54,-5.11,0.994051,55,2.36,5.60,18.97,-16.74,3.64,-3.23,-1.38,9.96,-4.45,-8.42,0.990553,45
