Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
19-11-2025,NSE:NIFTYJR,IN,,69635.85,,,,,,,-0.01,-0.25,-0.77,0.54,0.4,0.7,3.21,4.98,12.65,1.7,13.37,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-1.2,-1.2,-1.2,-4.99,-10.51,,,,,,,,,,,,,,,,,-0.89,-0.87,-0.54,0.29,-4.89,0.9937,,,,,,,,-0.89,0,0.32,0.83,-5.94,0.996326,
19-11-2025,NSE:CNXPSE,IN,,9960.1,,,,,,,-0.35,-0.35,-0.22,0.76,0.66,1.16,4.15,1.12,14.65,-0.07,3.63,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-1.32,-1.32,-1.97,-3.89,-15.14,,,,,,,,,,,,,,,,,-0.63,0.07,-4.4,2.29,-6.66,0.99271,,,,,,,,-0.63,0.69,-4.67,6.44,-10.66,0.996768,
19-11-2025,NSE:CNXENERGY,IN,,36132.3,,,,,,,-0.25,-0.43,-0.4,1.31,2.04,1.56,4.56,1.93,13,-4.35,-11.54,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.86,-0.86,-1.34,-4.95,-19.62,,,,,,,,,,,,,,,,,0.75,0.48,-3.59,0.64,-10.94,0.990815,,,,,,,,0.75,-0.24,-4.27,4.04,-13.35,0.993477,
19-11-2025,NSE:HCLTECH,EQ,34000,1662.6,2493991,41465.09437,1.8,1.92,4.36,,4.23,4.13,8.03,8.45,10.61,10.89,10.68,1.46,-3.64,-12.65,1.5,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,4.49,2.04,6.67,4.16,11.3,-4.94,6.07,0,0,0,0,0,0,0,0,-4.44,-16.67,-16.67,0,-4.04,-14.65,-17.88,-13.63,0,20.03,20.03,21,27.54,11.88,7.3,8.07,19.23,32.19,43.67,9.32,6.6,-4.06,-16,-19.24,0.99018,44,11.18,-4.04,-13.53,0.75,,,9.32,-2.74,-11.83,-12.42,-2.09,0.987755,26
19-11-2025,NSE:HCLTECH,EQ,413806.79,1662.6,2493991,41465.09437,1.8,1.92,4.36,,4.23,4.13,8.03,8.45,10.61,10.89,10.68,1.46,-3.64,-12.65,1.5,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,4.49,2.04,6.67,4.16,11.3,-4.94,6.07,0,0,0,0,0,0,0,0,-4.44,-16.67,-16.67,0,-4.04,-14.65,-17.88,-13.63,0,20.03,20.03,21,27.54,11.88,7.3,8.07,19.23,32.19,43.67,9.32,6.6,-4.06,-16,-19.24,0.99018,41,11.18,-4.04,-13.53,0.75,,,9.32,-2.74,-11.83,-12.42,-2.09,0.987755,23
19-11-2025,NSE:CNXPHARMA,IN,,22727.65,,,,,,,0.06,0.59,1.73,2.1,2.09,2.14,2.58,5.59,6.5,2.53,15.55,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.61,-0.61,-1.5,-3.51,-4.44,,,,,,,,,,,,,,,,,0.8,-1.5,0.07,-5.86,-4.06,0.9898,,,,,,,,0.8,-2.31,1.58,-6.28,2.34,0.995132,
19-11-2025,NSE:CNXSMALLCAP,IN,,18075.95,,,,,,,-0.43,-0.97,-1.58,-1.83,-0.26,-1.92,1.58,3.28,11.07,0.47,13.09,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-2.36,-2.36,-5.56,-8.04,-8.04,,,,,,,,,,,,,,,,,-1.55,-2.5,-2.24,-1.29,-6.12,0.9866,,,,,,,,-1.55,-0.99,0.22,0.82,-5.34,0.994476,
19-11-2025,NSE:APOLLOHOSP,EQ,113079.44,7459,307695,22950.97005,1.58,1.59,11.9,2L,1.00,-0.52,-4.71,-5.65,-5.93,-5.75,-4.87,7.33,15.31,5.89,18.91,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,-1,-0.79,-1.21,-1.98,-1.32,-3.26,7.04,4.07,0,0,0,0,0,0,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-0.35,0,-7.06,-15.05,-5.46,1,9.49,23.24,29.35,1,11.53,29.24,14.2,9.55,21.73,-7.22,-8.95,1.81,2.95,-0.7,0.98536,38,-6.88,8.19,22.71,6.08,,,-7.22,-1.82,10.13,1.36,-4.53,0.997743,38
19-11-2025,NSE:KCK,SM,260.77,27.9,288850,80.58915,5.13,5.68,6.23,2L,-1.41,4.3,-7.53,-21.33,-28.67,-36.2,-52.69,-30.29,62.01,-129.39,81.83,-1,-1,HVY,HVQ,-1,HV2Q,-1,-1,-1,-1,-1,-3.17,-6.44,-9.03,-14.11,-20.27,14.57,-6.67,0,0,0,0,0,0,-23.56,-43.41,-43.41,-54.11,-56.41,-23.56,-27.18,-11.16,-43.2,-83.44,0,9.41,9.41,302.6,469.39,9.41,16.18,514.72,424.53,116.33,1206.12,-29.96,-56.77,-35.81,49.65,-135.98,0.980066,35,-22.28,-15.83,323.04,-12.95,,,-29.96,-21.48,13.16,63.6,-497.18,1.107764,92
19-11-2025,NSE:NIFTY_MICROCAP250,IN,,23482.35,,,,,,,-0.17,-0.57,-1.6,-1.38,0.47,-3.19,0.16,2.73,8.16,-2.81,15.89,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-2.32,-3.2,-5.13,-11.09,-11.09,,,,,,,,,,,,,,,,,-0.82,-3.92,-2.79,-4.2,-9.4,0.979873,,,,,,,,-0.82,-3.13,1.06,-1.65,-5.36,0.990967,
19-11-2025,NSE:CNXREALTY,IN,,924.05,,,,,,,-0.35,-1.5,-4.01,-2.22,-1.05,0.54,2.77,0.14,6.61,-4.75,0.82,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-4.6,-4.6,-11.11,-17.4,-19.67,,,,,,,,,,,,,,,,,-2.34,-1.31,-5.38,-5.75,-11.34,0.976179,,,,,,,,-2.34,0.96,-4.22,-0.76,-5.57,0.99052,
