Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
10-12-2025,NSE:MVKAGRO,ST,990.82,770.9,78738,606.99124,0.61,2.09,1.5,,-2.00,-3.53,6.2,15.03,18.26,28.67,51.1,84.77,93.59,94.7,93.05,-1,-1,-1,-1,HV2Q,HV2Q,-1,-1,1,-1,-1,-0.12,5.94,6.19,14.48,24.17,54.97,175.71,100,100,88.89,94.44,60,80.95,77.78,88.89,-5.87,-5.87,-5.87,-5.87,-5.87,-5.87,0,0,0,-23.11,-36.42,100.52,544.03,2283,2283,22.92,137.48,748.99,262.91,52.7,7.36,19.43,49.14,84.48,80.12,94.14,4.19946,99,18.06,137.48,615.95,122.77,,,19.43,37.08,70.56,44.71,32.23,1.434774,99
10-12-2025,NSE:GRETEX,SM,303.92,186,16935,31.4991,0.23,3.09,1.47,2M,0.54,-2.69,-0.11,-6.99,-15.89,-33.33,-23.12,32.9,93.01,94.11,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.69,-3.98,-5.46,-11.31,-15.06,34.81,30.29,0,0,25.4,54.76,0,0,0,23.02,-13.89,-28.46,-32.67,-32.67,NA,-13.89,-21.97,-17.1,-2.23,-47.15,NA,2.76,53.34,3476.92,NA,2.76,8.05,1577.66,2300,150,NA,-14.72,-25.08,32.61,79.54,93.55,3.314798,99,-13.89,-7.69,1577.66,576.42,,,-14.72,-9.34,47.2,76.37,30.69,1.806684,99
10-12-2025,NSE:CUPID,EQ,8255.36,389.6,3737619,14561.76362,4.76,4.79,4.59,,-0.50,5.42,17.88,15,35,38.32,49.55,73.98,83.4,78.72,69.79,-1,-1,-1,HV2Y,HV2Y,HV2Q,-1,-1,4,-1,-1,6.45,7.19,14.69,17.25,38.61,44.12,148.05,100,100,93.65,80.95,80,80.95,65.08,62.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-3.1,0,-9.46,-51.6,-37.96,96.45,332.17,577.57,577.57,39.43,53.35,241.86,76.33,0.5,12.37,36.17,47.59,73.69,69.93,78.16,2.123054,99,39.43,51,191.78,16.93,,,36.17,19.27,50.12,22.99,-13.26,1.212975,99
10-12-2025,NSE:BGRENERGY,BE,2979.55,344.35,233813,805.13507,4.82,4.83,13.77,2L,-4.99,-20.81,-23.04,-20.27,-16.44,7.19,34.36,67.5,78.23,87.4,88.88,-1,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,-1,-1,-11.65,-2.31,-13.65,3.26,-10.74,51.73,84.92,0,76.19,92.06,57.94,0,0,31.75,25.4,-19.69,-26.33,-26.33,-26.33,-26.33,-19.69,-14.22,0,-22.83,-48.3,-21.97,57.54,255.7,621.3,888.66,0,256.84,205.1,221.27,115.43,24.71,-15.27,32.4,67.21,64.76,86.84,2.032824,99,-14.14,218.21,187.16,128.37,,,-15.27,40.53,52.19,19.79,57.03,1.26011,99
10-12-2025,NSE:TAKE,BE,428.86,33.98,1598768,543.26137,2.83,3.53,15.24,,0.86,2.03,9.12,13.15,26.66,54.77,68.63,73.75,72.48,48.59,34.96,-1,-1,HV2Y,HVQ,-1,HVQ,-1,1,0,-1,-1,3.58,6.52,10.81,20.89,40.08,46,159.42,100,100,82.54,62.7,100,100,61.9,33.33,0,0,0,0,0,0,-0.08,-7.94,-59.96,-60.96,-27.06,227.99,307.92,407.92,407.92,29.89,176.89,59.34,33.33,4.94,5.24,27.83,66.67,73.46,59.01,48.03,1.837875,99,29.89,176.89,8.66,-51.65,,,27.83,54.12,18.02,-18.03,-71.92,1.185309,99
10-12-2025,NSE:MAHASTEEL,BE,1275.64,790.5,51916,410.39598,1.74,2.47,4.24,,2.00,3.73,10.32,5.69,7.51,34.05,49.84,60.27,70.27,74.72,87.2,-1,-1,HVY,HVY,HVQ,HVQ,-1,-1,12,-1,-1,3.63,3.66,7.57,12.84,23.41,38.62,101.06,100,100,100,85.71,40,28.57,53.97,48.41,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,0,-1.33,-4.49,-4.26,-11.03,104.16,156.61,327.23,722.58,13.74,122.5,69.77,71.02,144.54,107.93,8.68,47.88,59.98,56.8,74.16,1.669969,99,3.08,100.81,65.42,71.02,,,8.68,42.67,22.48,11.97,29.89,1.175769,99
10-12-2025,NSE:AKIKO,ST,313.5,257,15584,40.05088,3.41,3.88,2.95,M,0.00,-7.65,-8.72,-11.69,-8.6,2.72,27.68,68.09,73.54,69.65,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-5.28,-1.03,-6.25,2.23,-4.12,45.44,75.74,20,66.67,82.54,60.32,0,28.57,30.16,26.98,-12.76,-12.76,-12.76,-12.76,NA,-12.76,0,0,-11.26,-27.16,NA,31.73,277.66,277.94,NA,0,126.91,173.11,29.34,7.26,NA,-7.43,25.72,67.8,60.07,69.09,1.615207,99,-11.07,118.9,162.5,29.34,,,-7.43,30.31,57.58,3.86,0.21,1.166589,99
10-12-2025,NSE:APRAMEYA,SM,628.13,322.7,22220,71.70394,5.77,6.15,2.7,2M,-0.83,-2.23,-1.41,-6.91,15.62,16.27,21.35,44.48,66.27,79.97,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,16,0.05,1.58,1.65,7.47,9.86,35.89,71.35,60,90.48,63.49,53.17,0,28.57,28.57,21.43,-8.52,-8.52,-8.52,-8.52,NA,-8.52,-6.1,0,0,-10.08,NA,32.23,112.3,401.09,NA,14.07,79.14,181.22,219.91,94.37,NA,16.79,19.39,44.19,52.8,79.41,1.574277,99,14.07,66.65,137.86,,,,16.79,3.69,31.11,26.03,55.53,1.171028,99
10-12-2025,NSE:SABTNL,EQ,2613.81,1548.8,56250,871.2,4.69,5.93,36.55,,3.07,15.98,10.09,26.67,45.27,44.6,33.94,61.59,71.35,-35.07,NA,-1,HV2Y,-1,HVQ,-1,-1,-1,-1,5,-1,-1,11.34,8.6,21.83,20.09,52.46,17,83.68,100,33.33,11.11,27.78,60,14.29,4.76,13.49,0,0,0,-30.23,NA,0,-30.21,-28.12,-73.2,-80.01,NA,101.21,161.69,317.3,NA,74.03,10.11,126.05,60.27,924.94,NA,46.44,31.98,61.3,57.88,-35.63,1.483551,99,74.03,-28.98,126.05,-3.07,,,46.44,-23.82,43.56,12.18,-356.46,1.110473,99
10-12-2025,NSE:VENUSREM,EQ,741.87,795.85,109789,873.75576,7.33,7.27,5.04,,4.99,3.12,12.36,18.97,33.27,43.52,41.98,42.49,63.05,59.4,56.31,-1,HV2Y,HV2Y,-1,HVQ,HVQ,-1,-1,4,-1,-1,6.81,7.71,15.74,19.92,44.54,20.29,81.32,100,71.43,23.81,42.86,80,52.38,17.46,19.05,0,0,0,0,0,0,0,-16.47,-0.45,-30.13,-23.23,84.52,86.91,188.46,188.46,48,23.13,65.24,65.89,6.6,11.97,34.44,40.02,42.2,49.58,58.84,1.45408,99,48,10.57,52.87,28.8,,,34.44,9.95,2.58,22.53,5.04,1.118573,99
