Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),RPS,CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-10-2025,NSE:RPTECH,EQ,2105.49,242982,3.78,3.72,1,327.75,-0.52,-6.5,3.62,2.56,3.6,6.93,5.71,-11.3,-18.98,NA,-1,-1,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-6.1,-6.1,-6.1,-26.51,NA,-6.1,-0.54,-21.34,-30.71,-19.35,NA,17.66,23.26,27.53,NA,4,13.43,18.7,20.25,23.62,NA,2.95,6.17,-2.41,-20.27,-18.43,0.981034,56,,,,,,,2.95,3.34,-8.73,-18.96,3.57,0.98813,45
17-10-2025,NSE:JSWHL,EQ,20600.9,2364,3.8,4,5,17156,1.38,0.05,7.41,-7.44,-9.14,-30.04,-54,2.02,46.99,65.22,-1,-1,-1,-1,HVQ,HV2Y,-1,-1,-1,-1,-1,-8.47,-22.74,-34.66,-35.06,-35.06,-8.47,-17.13,-15.56,0,-13.44,-3.53,10.73,10.73,88.65,192.4,10.73,7.61,52.54,307,204.51,64.74,-9.79,-30.8,-62.12,-6.95,47.54,0.980885,56,,,,,,,-9.79,-19.26,-25.84,35.46,56.36,1.067688,95
17-10-2025,NSE:SAGILITY,EQ,21768.18,27328166,3,3.07,5,45.14,-1.46,-2.72,3.77,2.92,-0.51,0.58,4.05,-6.85,NA,NA,-1,-1,EEP,HV2Q,-1,-1,-1,-1,-1,-1,-1,-2.88,-3.17,-4.06,NA,NA,-2.88,-2.68,-14.89,-19.6,NA,NA,7.43,17.4,NA,NA,5.81,13,18.14,54.57,NA,NA,-1.16,-0.18,-4.07,-15.82,0,0.980805,56,,,,,,,-1.16,0.97,-3.92,-12.28,110.46,0.993305,52
17-10-2025,NSE:COOLCAPS,SM,1191.26,236998,5.62,7.21,3,82.8,-1.08,-2.66,-9.3,-11.59,-15.1,3.5,6.43,0.32,4.73,42.63,-1,HV2Q,-1,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-31.18,-31.18,-31.18,-31.18,-31.18,-31.18,-3.35,-18.97,-15.17,-3.28,-5.94,8.24,8.95,15,154.77,1.1,24.58,10.97,133.36,153.95,142.71,-15.75,2.74,-1.69,-8.65,5.28,0.980787,56,,,,,,,-15.75,16.05,-4.38,-7.45,14.89,1.006852,69
17-10-2025,NSE:PIGL,BE,286.51,76671,5.84,5.84,2,171.8,3.31,-3.71,3.89,-0.26,1.85,28.54,17.1,-119.03,-49.18,59.34,-1,-1,HVQ,HVQ,-1,HV2Y,-1,-1,-1,-1,-1,-5.01,-5.01,-7.71,-58.8,-58.8,-5.01,0,-66.71,-65.84,-9.75,0,41.38,52.9,52.9,202.73,9.96,50.07,9.26,92.47,563.08,351.61,1.2,27.78,8.98,-128,-48.63,0.980684,56,,,,,,,1.2,27.09,-23.44,-165.12,42.35,1.015999,76
17-10-2025,NSE:SGFIN,EQ,2151.68,215939,4.37,4.43,1,370.3,-1.31,0.88,0.7,2.65,-1.58,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5.76,NA,NA,NA,NA,-5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,NA,NA,NA,NA,NA,-2.23,0,0,0,0,0.980681,56,,,,,,,-2.23,99.89,-7.42,-0.92,10.46,0.996379,56
17-10-2025,NSE:AHCL,EQ,701.6,900921,6.01,5.91,1,126.97,2.57,-1.79,0.1,-5.4,-1.65,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,NA,-1,-1,10,-1,-9.66,NA,NA,NA,NA,-9.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,NA,NA,NA,NA,NA,-2.3,0,0,0,0,0.980603,56,,,,,,,-2.3,99.89,-7.42,-0.92,10.46,0.996299,55
17-10-2025,NSE:AFCONS,EQ,17221.52,927454,2.87,2.84,2,445.5,-2.98,-4.01,-0.98,0.44,-1.9,6.55,0.38,-11.41,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.34,-4.34,-4.43,NA,NA,-4.34,-0.24,-20.58,-18.65,NA,NA,12.23,12.23,NA,NA,1.64,14.36,2.41,9.18,NA,NA,-2.55,5.79,-7.74,-20.38,0,0.980442,56,,,,,,,-2.55,8.18,-14.03,-12.76,110.46,0.992622,51
17-10-2025,NSE:METROPOLIS,EQ,11060.89,76593,3.24,3.28,3,1938.2,-0.61,-2.93,-3,-4.55,-5.79,-1.22,14.22,3.41,-18.07,13.81,-1,-1,HVY,HVY,-1,-1,-1,-1,-1,-1,-1,-9.16,-13.35,-13.35,-14.22,-15.31,-9.16,-8.33,-4.66,-27.35,-18.2,0,0,20.05,30.2,30.2,0,21.82,31.79,11.69,20.11,46.82,-6.44,-1.98,6.1,-5.56,-17.52,0.980398,56,,,,,,,-6.44,4.21,7.84,-13.52,-11.78,0.989449,47
17-10-2025,NSE:NAZARA,EQ,10002.56,5862358,3.63,3.57,6,264.75,0.80,-0.08,-5.97,-5.38,-3.5,-34.48,8.46,15.01,12.17,18.04,-1,-1,-1,HVQ,EEP,EEP,-1,-1,-1,-1,-1,-5.63,-25.96,-25.96,-25.96,-25.96,-5.63,-23.37,0,-10.84,-17.23,-14.46,3.99,9.69,23.51,74.44,3.99,1.67,56.35,13.06,48.25,53.21,-4.15,-35.24,0.34,6.04,12.72,0.98028,56,,,,,,,-4.15,-30.03,24.51,6.24,7.12,1.010634,72
