Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
29-11-2025,NSE:SHK,EQ,2431.92,171.07,328936,562.71082,3.72,3.73,4.55,2M,1.83,-4.07,0.81,-26.77,-32.34,-34.83,-37.78,-42,0.02,-60.46,-6.94,-1,-1,-1,HV2Q,EEP,-1,-1,-1,-1,-1,-1,-2.45,-6.24,-8.18,-14.58,-19.86,-1.63,-21.15,0,0,0,0,0,0,-23.79,-35.87,-36.19,-40.56,-47.73,-23.79,-15.13,-12.09,-25.78,-47.74,-16.13,1.83,1.83,5.01,5.01,1.83,5.67,44.68,49.11,1.75,60.81,-32.26,-43.59,-46.48,-12.94,-66.22,0.855944,5,-22.99,-11.23,39.27,2.17,,,-32.26,-10,-1.64,20.71,-52.22,0.96148,14
29-11-2025,NSE:QUESS,EQ,3251.83,215.2,536230,1153.96696,4.03,3.96,3.03,M,0.71,2.49,1.56,-5.27,-16.78,-17.47,-23.26,-49.67,-38.99,-46.98,-12.17,-1,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-0.31,-2.42,-2.67,-7.32,-9.31,-21.97,-25.64,0,0,0,0,0,0,-12.54,-21.9,-32.85,-42.34,-48.99,-12.54,-16.05,-28.94,-23.65,-29.1,-25.02,2.55,2.55,2.55,2.55,2.55,7.35,0,13.13,27.77,35.12,-16.7,-29.07,-54.15,-51.95,-52.74,0.855791,5,-12.54,-16.05,-11.77,-15.53,,,-16.7,-11.44,-20.01,-1.74,2.52,0.953803,9
29-11-2025,NSE:SHALPAINTS,EQ,591.75,66.79,226710,151.41961,3.95,3.85,4.62,3L,-0.22,-2.32,-6.51,-12.46,-18.01,-14.06,-8.95,-50.2,-65.32,-53.24,-147.94,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,-2.59,-3.94,-6.28,-8.31,-13.47,-19.28,-27.46,0,0,0,0,0,0,-14.71,-22.52,-34.84,-52.02,-62.09,-14.71,-8.56,-37.09,-33,-43.33,-47.47,0.56,0.56,0.56,0.56,0.56,12.22,3.6,6.83,11.87,3.7,-17.93,-14.76,-54.68,-78.28,-59,0.85567,5,-13.9,-4.04,-32.63,-27.57,,,-17.93,1.79,-36.44,-18.95,15.58,0.956302,10
29-11-2025,NSE:RPPINFRA,EQ,558.09,104.44,85811,89.62101,3.97,3.9,7.5,3L,-0.11,0.79,-7.52,-11.08,-15.9,-24.85,-22.02,-51.63,-33.89,-59.19,-6.04,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,-1,-1,-2.35,-3.81,-5.93,-8.67,-13.43,-13.47,-23.71,0,0,0,0,0,0,-13.37,-33.8,-33.8,-57.29,-57.29,-13.37,-23.27,-26.94,-35.24,-42.81,-28.25,0.87,0.87,0.87,0.87,0.87,10.33,16.15,35.51,36.42,62.2,-15.82,-27.83,-56.11,-46.85,-64.95,0.855369,5,-13.37,-3,-7.53,-29.56,,,-15.82,-11.17,-22.84,2.82,-10.63,0.950331,7
29-11-2025,NSE:AVG,EQ,302.36,198.64,26434,52.5085,4.76,4.68,5.82,3L,-0.43,0.06,-4.57,-7.3,-16.3,-11.65,-9.16,-43.8,-44.96,-101.7,-186.85,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,-0.82,-2.7,-3.43,-6.44,-9.27,-14.35,-20.65,0,0,0,0,0,0,-11.13,-18.06,-36.97,-56.46,-67.55,-11.13,-7.09,-33.45,-46.6,-53.48,-35.27,2.41,2.41,2.41,2.41,2.41,8.35,4.6,37.79,10.5,0.67,-16.22,-14.97,-48.28,-57.92,-107.46,0.855301,5,-11.13,-7.09,-24.08,-38.74,,,-16.22,0.25,-30.31,-9.69,-30.87,0.939049,4
29-11-2025,NSE:VALIANTORG,EQ,821.1,252.2,16229,40.92954,4.72,4.62,2.81,2L,-1.18,-6.5,-13.5,-19.05,-22.56,-32.06,-34.02,-80.93,-9.34,-33.8,-58.8,-1,-1,-1,-1,HV2Y,HVQ,-1,-1,-1,-1,-1,-4.54,-5.15,-9.21,-10.51,-17.84,-11.21,-26.12,0,0,0,0,0,0,-17.33,-35.28,-48.58,-48.58,-48.58,-17.33,-20.68,-31.09,0,-39.46,-25.91,0.34,0.34,9.92,9.92,0.34,6.26,47.31,98.87,4.39,2.82,-22.48,-39.83,-85.41,-22.3,-39.56,0.854628,5,-16.96,-10.65,18.04,13.88,,,-22.48,-15.24,-33.58,30.69,-14.11,0.978099,33
29-11-2025,NSE:JINDALSAW,EQ,10800.65,162.77,2445338,3980.27666,2.4,2.42,12.49,2M,-2.37,-0.63,-3.91,-1.06,-9.33,-26.76,-22.68,-31.29,-54.7,-87.63,-25.87,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-1.82,-2.7,-4.41,-9.75,-12.9,-18.27,-26.36,0,0,0,0,0,0,-7.69,-25.1,-35.11,-51.75,-56.46,-7.69,-18.12,-29.52,-42.84,-32.65,-18.31,0.45,0.45,0.45,0.45,0.45,0,0.76,5.96,28.78,56.19,-9.25,-28.49,-35.77,-67.66,-93.39,0.854349,5,-7.69,-17.86,-22.15,-39.21,,,-9.25,-18.1,-5.6,-26.71,-13.02,0.934897,3
29-11-2025,NSE:KHADIM,EQ,395.69,206.05,47719,98.325,4,3.89,6.47,3L,-1.69,-4.3,-8.27,-16.12,-22.88,-28.03,-11.57,-44.31,-38.22,-80.05,-50.47,-1,-1,HVY,HV2Q,HV2Q,-1,-1,-1,-1,-1,-1,-3.35,-4.36,-7.39,-10.27,-16.01,-10.28,-23.84,0,0,0,0,0,0,-18.5,-28.97,-33.48,-49.08,-52.53,-18.5,-12.72,-27.36,-28.5,-34.39,-14.53,1.39,1.39,1.39,1.39,1.39,10.13,0,12.63,4.06,25.74,-22.8,-17.38,-48.79,-51.18,-85.81,0.854286,5,-17.43,-10.21,-19.67,-16.94,,,-22.8,3.31,-27.92,-4.66,-22,0.947165,6
29-11-2025,NSE:DELTACORP,EQ,1935.99,68.58,1071486,734.8251,2.12,2.11,3.81,3L,-0.71,-0.77,-4.67,-7.54,-13.56,-17.18,-28.3,-33.84,-45.64,-63.9,-77.75,-1,-1,-1,HV2Q,HVQ,-1,-1,-1,-1,-1,-1,-1.43,-3.1,-4.39,-7.04,-10.68,-11.98,-20.24,0,0,0,0,0,0,-11.84,-27.98,-27.98,-46.3,-53.48,-11.84,-18.21,-10.77,-32.28,-32.24,-23.75,1.3,1.3,1.3,1.3,1.3,0.69,11.44,16.25,11.79,2.37,-13.48,-34.11,-38.32,-58.6,-69.66,0.85367,5,-11.84,-10.1,-10.77,-28.66,,,-13.48,-18.87,-2.9,-17.69,-4.27,0.942879,5
29-11-2025,NSE:POLYPLEX,EQ,2801.93,833.25,46045,383.66996,2.17,2.16,4.15,2L,-0.89,-4.1,-7.4,-10.92,-18.54,-26.18,-20.31,-55.3,-43.44,-44.98,1.8,-1,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-3.03,-3.75,-6.54,-8.47,-13.84,-16.32,-25.92,0,0,0,0,0,0,-13.73,-23.53,-38.05,-43.14,-43.14,-13.73,-14.62,-27.54,-11.7,-18.44,-10.65,0,0,0,8.82,0,2.24,0,26.04,56.09,57.77,-18.46,-26.12,-59.78,-56.4,-50.74,0.853391,5,-13.73,-11.83,-13.66,-0.98,,,-18.46,-7.39,-27.66,-1.24,7.19,0.956438,10
29-11-2025,NSE:SEPC,EQ,2091.49,10.05,8461986,850.42959,3.67,3.64,4.67,L,-1.66,-1,-12.44,-8.96,-13.73,-19.7,-12.94,-48.96,-40.51,-106.45,-42.43,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,-1,-1,-1,-1.5,-3.39,-4.72,-7.87,-11.67,-12.72,-21.64,0,0,0,0,0,0,-11.14,-23.4,-32.87,-58.27,-67.29,-11.14,-12.88,-26.67,-51.27,-54.03,-32.46,4.15,4.15,4.15,4.15,4.15,3.16,2.44,25.64,6.92,44.95,-13.65,-18.75,-53.44,-53.47,-112.21,0.852913,4,-11.14,-4.67,-18.04,-39.16,,,-13.65,-5.19,-30.47,-3.21,-38.66,0.937218,4
29-11-2025,NSE:ZEEMEDIA,EQ,588.53,9.67,2929022,283.23643,4.59,4.48,3.78,L,1.90,6,1.76,-1.65,-4.03,-19.03,-29.58,-43.54,-45.81,-88.31,-8.07,-1,-1,-1,HV2Q,HVQ,-1,-1,-1,-1,-1,-1,1.79,-2.06,-0.27,-8.85,-8.38,-22.78,-25.38,0,0,0,0,0,0,-3.88,-23.56,-38.84,-55.52,-61.47,-3.88,-26.68,-20.75,-44.7,-43.82,-27.45,8.41,8.41,8.41,8.41,8.41,1.93,4.07,15.28,35.58,75.1,-3.95,-35.39,-48.02,-58.77,-94.07,0.852411,4,-3.88,-26.68,-15.17,6.36,,,-3.95,-30.44,-9.35,-10.47,-20.88,0.935015,3
29-11-2025,NSE:BPL,EQ,330.1,62.01,71371,44.25716,4.09,3.99,5.05,L,0.52,-3.06,-9.56,-16.42,-22.11,-26.08,-25.92,-34.37,-33.19,-67.26,-31.91,-1,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-2.97,-5.13,-7.71,-10.23,-16.28,-7.38,-22.03,0,0,0,0,0,0,-17.63,-28.66,-36.29,-51.19,-56.4,-17.63,-12.89,-19.78,-34.42,-41.94,-27.08,2.02,2.02,2.02,2.02,2.02,1.3,17.08,24.94,13.18,29.65,-22.03,-31.73,-38.85,-46.15,-73.02,0.852294,4,-17.42,-9.31,-4.78,-34.25,,,-22.03,-9.01,-5.29,-8,-17.31,0.944794,6
29-11-2025,NSE:VAKRANGEE,EQ,899.05,8.11,3918707,317.80714,3.49,3.41,5,3L,0.00,-0.12,-5.92,-4.69,-10.11,-0.86,-3.08,-22.56,-95.07,-188.41,-142.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.33,-1.38,-1.68,-1.78,-3.4,-19.66,-19.27,0,0,0,0,0,0,-8.15,-14.27,-21.41,-78.21,-78.21,-8.15,-5.7,-44.34,-73.29,-57.5,-34.54,2.27,2.27,2.27,2.27,2.27,10.79,0,12.44,5.61,20.26,-10.03,-8.89,-27.04,-108.03,-194.17,0.852039,4,-8.15,-5.7,-44.34,-52.98,,,-10.03,0.49,-17.48,-68.03,-39.58,0.917806,1
29-11-2025,NSE:NITCO,EQ,2101.63,87.99,475216,418.14256,5.6,5.49,5.11,3L,-1.69,2.03,-4.76,-6.22,-24.98,-27.34,-33.14,-54.05,-22.75,-37.15,35.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.83,-4.91,-5.47,-12.1,-15.68,-15.4,-26.93,0,0,0,0,0,0,-20.33,-27.66,-45.33,-45.33,-45.33,-20.33,-17.7,-27.21,-7.92,-26.63,-2.2,7.15,7.15,7.15,65.08,7.15,2.6,21.15,73.2,102.65,126.42,-24.9,-38.95,-58.53,-35.71,-42.91,0.851681,4,-20.33,-17.59,7.72,53.75,,,-24.9,-12.42,-14.29,11.44,-3.46,0.960977,14
29-11-2025,NSE:PARSVNATH,EQ,654.95,13.46,760488,102.36168,6.22,5.94,8.51,2L,-3.99,-11.22,-12.48,-23.33,-30.53,2.08,-11.74,-50.67,-69.76,-26.3,16.05,-1,-1,-1,HVQ,-1,HVQ,-1,-1,-1,-1,-1,-6.05,-4.1,-9.75,-1.95,-11.48,-24.05,-28.64,0,0,0,0,0,0,-21.47,-24.8,-49.4,-49.4,-49.4,-21.47,-1.84,-43.46,-20.06,-9.93,-21.11,4.5,4.5,4.5,19.12,0,36.41,3.87,25.57,102.21,50.44,-30.45,-17.55,-55.15,-82.72,-32.06,0.851643,4,-19.88,3.41,-32.83,20.71,,,-30.45,8.51,-33.42,-21.55,33.87,0.976069,30
