Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
26-11-2025,NSE:MVKAGRO,ST,990.82,723.1,80484,581.9798,1.64,3.05,1.69,,2.00,9.42,9.69,27.33,24.51,35.26,55.39,86.65,95.53,94.5,90.65,-1,-1,-1,-1,HV2Q,-1,-1,0,10,-1,-1,7.58,6.06,14.52,12.3,30.59,56.23,198.38,100,66.67,88.89,100,57.14,80.95,0,0,0,0,0,0,-5.88,0,0,-61,-52.02,119.79,634.86,2135.24,2135.24,39.76,143.43,895.52,198.3,0,2.58,24.03,51.62,81.9,81.57,85.59,4.770165,99,35.16,143.43,895.52,84.16,,,24.03,37.6,69.06,56.82,-17.16,1.475367,99
26-11-2025,NSE:GRETEX,SM,303.92,197.4,17580,34.70292,0.45,3.63,1.51,M,5.00,0.2,-1.32,-14.94,-24.11,-19.15,-15.96,49.29,94.33,93.47,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.51,-4.62,-3.92,-8.57,-11.51,38.8,44.6,0,0,28.57,0,0,0,-16.36,-24.08,-28.54,-28.54,NA,-16.36,-11.31,-17.14,0,-54.47,NA,6.02,87.82,3696.15,NA,6.02,39.2,2049.3,1825,115.38,NA,-24.59,-19.73,44.54,80.37,84.56,3.462231,99,-15.28,39.2,2049.3,600,,,-24.59,3.26,55.25,79.15,-9.31,1.762383,99
26-11-2025,NSE:BGRENERGY,BE,2979.55,423.7,313162,1326.86739,5.96,5.84,28.25,,2.17,2.25,5.35,2.58,0.44,45.06,57.2,71.9,75.69,91.62,90.28,-1,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,18,-1,1.56,2.39,4.06,12.79,19.31,51.48,145.92,100,100,100,0,0,42.86,-3.33,-9.36,-9.36,-9.36,-9.36,-3.33,-9.75,0,-17.88,-28.97,-36.17,158.92,337.66,1052.93,1117.53,8.74,335.74,153.96,241.86,195.98,2.01,-0.04,53.43,67.15,61.73,82.71,2.408457,99,2.97,324.81,70.41,141.72,,,-0.04,53.7,33.32,3.84,71.4,1.353489,99
26-11-2025,NSE:CUPID,EQ,8255.36,319.95,3598550,11513.56073,5.85,5.82,4.57,,-4.92,-3.51,12.66,24.64,25.79,30.64,46.29,67.38,79.03,74.1,66.74,-1,-1,-1,HV2Y,HV2Y,HV2Q,-1,-1,-1,8,-1,0.98,7.2,8.81,14.56,27.35,43.25,124.42,100,90.48,93.65,80,57.14,68.25,-5.11,-5.11,-5.11,-5.11,-5.11,-5.11,-6.46,-0.05,-2.16,-50.18,-38.46,88.25,254.91,456.43,456.43,36.97,60.53,198.87,81.5,0,12.32,25.31,42.52,62.63,65.07,65.19,1.819126,99,30.54,60.53,145.85,18.03,,,25.31,24.31,38.25,26.05,-17.67,1.169209,99
26-11-2025,NSE:INDOTHAI,BE,5143.69,458.65,855646,3924.42038,4.7,5.05,5.76,,-0.38,4.75,20.31,16.55,20.07,47.61,64.4,61.23,57.14,77,93.46,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,11,-1,5.25,5.01,10.8,14.05,28.92,35.62,100.26,100,80.95,61.9,60,19.05,33.33,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-18.97,-22.98,-15.29,-6.35,-3.14,210.02,210.02,338.48,1738.65,25.49,147.8,0,435.34,688.13,322.93,19.59,60.63,56.48,43.18,68.09,1.70966,99,19.16,95.42,-17.81,435.34,,,19.59,52.15,-9.93,-20.21,52.21,1.222845,99
26-11-2025,NSE:AKIKO,ST,313.5,279.4,23520,65.71488,3.45,3.82,5.82,S,3.06,-2.74,-3.44,4.56,0.36,2.77,49.93,67.45,70.58,73.51,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,17,-1,-0.35,1.61,1.28,4.18,5.7,48.23,104.19,60,85.71,90.48,0,28.57,41.27,-5.16,-5.16,-5.16,-5.16,NA,-5.16,0,0,-1.57,-11.94,NA,90.52,310.58,310.88,NA,9.33,274.19,105.74,43.45,29.65,NA,-0.12,46.16,62.7,56.62,64.6,1.671992,99,3.87,274.19,70.19,19.75,,,-0.12,46.44,33.97,-0.04,15.85,1.175999,99
26-11-2025,NSE:TAKE,BE,428.86,30.88,1237110,382.01957,4.31,5.45,14.48,,0.68,4.44,15.28,22.7,23.28,65.87,64.6,70.08,68.43,45.17,29.73,-1,-1,HV2Y,HVQ,-1,HVQ,-1,0,8,-1,-1,5.74,8.56,15.64,25.91,56.09,39.26,156.96,100,100,80.95,100,57.14,46.03,0,0,0,0,0,0,-5.01,-5.61,-58.53,-65.79,-40.6,207.88,270.71,361.58,361.58,42.57,163.22,63.38,38.12,0,0,22.8,60.83,65.33,54.47,36.26,1.670016,99,37.24,120.37,6.95,-52.76,,,22.8,50.55,14.44,-15.18,-67.77,1.150845,99
26-11-2025,NSE:APRAMEYA,SM,628.13,327.25,23930,78.31093,5.13,5.63,2.57,S,4.00,-5.42,13.55,15.92,16.58,15.97,48.6,54.81,64.64,78.3,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,14,-1,1.48,4.6,6.37,7.64,15.17,37.4,83.97,100,52.38,66.67,20,28.57,41.27,-7.23,-7.23,-7.23,-7.23,NA,-7.23,-5.86,-6.76,-6.42,-4.42,NA,94.68,126.47,427.82,NA,20.18,79.61,86.37,164.11,106.61,NA,16.1,44.83,50.06,50.68,69.39,1.628688,99,18.14,65.45,44.63,,,,16.1,35.08,11.05,12.11,44.5,1.173414,99
26-11-2025,NSE:UNIHEALTH,SM,280.28,372,67120,249.6864,4.82,6.54,3.76,,5.00,28.59,56.99,57.33,55.85,54.7,56.18,51.61,64.25,53.94,59.95,HV2Y,HV2Y,-1,-1,HV2Y,-1,17.97,-1,-1,-1,-1,29.26,16.84,55.44,22.73,101.18,10.94,125.89,100,28.57,9.52,100,28.57,9.52,0,0,0,0,0,0,-5.52,-11.89,-2.7,-22.38,0,144.9,144.9,183.97,232.14,140,8.13,24.43,53.13,18.75,52.99,55.37,52.41,46.86,50.29,45.03,1.606345,99,119.02,-2.29,22.51,53.13,,,55.37,-2.55,-11.45,16.45,-22.96,1.152278,99
26-11-2025,NSE:DHARIWAL,ST,267.15,353.65,150204,531.19645,5.99,7.27,6.62,,4.99,15.47,21,39.21,45.24,41.54,54.47,60.98,60.84,57.87,NA,-1,-1,HV2Y,-1,-1,-1,-1,1,-1,-1,-1,13.78,9.65,25.93,19.62,56.67,29.72,122.92,100,71.43,63.49,80,33.33,15.87,0,0,0,0,NA,0,-9.76,-11.97,-12.55,-12.23,NA,121.03,161.87,287.56,NA,89.27,34.43,76.44,51.23,12.65,NA,44.76,50.7,56.23,46.88,48.96,1.578953,99,79.15,28.42,23.85,,,,44.76,13.55,13.27,-10.02,-1.71,1.12525,99
26-11-2025,NSE:MAHASTEEL,BE,1275.64,708.9,54930,389.39877,2.91,3.51,4.77,S,2.00,-5.16,-8.18,14.36,16.17,42.19,49.72,55.82,66.47,68.75,85.68,-1,-1,HVY,-1,-1,HVQ,-1,-1,9,-1,-1,-1.03,4.21,3.32,17.22,24.82,35.6,93.81,100,100,90.48,0,61.9,57.14,-10.49,-10.49,-10.49,-10.49,-10.49,-10.49,0,-3.11,0,0,-1.35,113.85,134.74,283.13,637.67,19.2,80.86,52.62,97.9,147.3,130.53,15.69,45.95,51.07,52.51,59.84,1.548135,99,19.2,65.08,48.52,97.9,,,15.69,36.71,11.11,14.46,12.65,1.140339,99
26-11-2025,NSE:OSELDEVICE,SM,1229.77,764.45,22268,170.22773,6.05,6.2,3.95,,2.93,0.3,16.61,9.56,20.64,18.62,22.99,62.91,66.75,72.4,NA,-1,-1,-1,HV2Q,-1,2,-1,-1,-1,-1,5,4.29,4.72,9.45,8.31,19.38,38.1,92.86,100,76.19,66.67,20,33.33,19.05,-4.87,-4.87,-4.87,-4.87,NA,-4.87,-6.58,-4.63,-15.83,-24.52,NA,43.38,189.89,291.52,NA,25.35,107.86,200.59,60.58,43.98,NA,20.16,19.22,58.16,52.79,63.49,1.542279,99,25.35,107.86,136.28,,,,20.16,-0.35,50.82,0.68,22.88,1.143426,99
26-11-2025,NSE:SOMATEX,BE,458.93,125.49,36086,45.28432,2.53,4.59,9.9,M,-2.01,-10.65,4.36,-22.38,8.65,44.97,29.25,62.99,68.73,65.04,75.7,-1,-1,-1,HV2Q,HVQ,HV2Y,-1,-1,-1,4,-1,-4.44,3.2,-1.28,19.41,22.49,34.77,87.77,80,95.24,39.68,0,28.57,12.7,-18.29,-18.29,-18.29,-18.29,-18.29,-18.29,0,-15.28,-29.41,-40.36,-14.96,92.85,197.23,243.06,316.91,4.56,76.16,142.73,38.53,42.43,59.24,8.17,25.48,58.24,54.77,56.13,1.497258,99,4.26,13.9,124.16,38.53,,,8.17,19.23,46.67,5.86,-5.93,1.123796,99
26-11-2025,NSE:IFBAGRO,EQ,1432.23,1416.1,88054,1246.93269,7.48,7.48,6.29,S,-2.04,0.09,-13.47,-2.82,14.14,40.52,43.29,58.38,65.62,60.9,69.79,-1,HVY,HVQ,HV2Q,HVQ,-1,-1,-1,-1,5,-1,-1.59,3.69,2.18,18.3,25.06,33.03,86.75,100,100,58.73,0,42.86,28.57,-11.87,-11.87,-11.87,-11.87,-11.87,-11.87,0,-12.65,-3.47,-20.26,-9.31,88.81,138.28,216.02,260.15,8.49,62.11,79.2,31.53,23.83,40.83,13.66,39.52,53.63,51.66,51.99,1.476192,99,6.4,51.13,54.94,-2.29,,,13.66,30.65,25.58,7.73,-7.86,1.113697,99
26-11-2025,NSE:LUMAXTECH,EQ,9928.53,1505.2,295319,4445.14159,5.08,5.33,4.15,,2.13,7.17,5.35,20.33,23.8,16.4,24.33,54.46,65.27,66.69,70.67,-1,EEP,HVQ,EEP,-1,-1,-1,-1,-1,-1,-1,6.69,4.3,11.48,7.64,20.7,25.69,62.43,100,47.62,34.92,40,23.81,19.05,0,0,0,0,0,0,-13.28,-4.81,0,-22.31,-15.46,43.63,126.7,216.88,232.31,33.48,15.63,139.79,44.32,25.76,20.62,23.32,20.56,49.71,51.31,57.78,1.452816,99,30.42,10.56,111.57,27.31,,,23.32,-2.61,38.8,14.07,9.96,1.115975,99
26-11-2025,NSE:MEGASOFT,BE,1464.34,190.14,319763,607.99737,6.17,6.32,4.18,S,5.00,-0.08,-5.46,-16.68,2.48,12.97,26.71,56.81,68.79,64.52,61.32,-1,-1,-1,-1,HVQ,HVQ,-1,-1,-1,-1,2,0.78,-0.27,0.51,7.44,8.58,37.37,73.39,0,71.43,73.02,0,28.57,23.81,-14.31,-14.31,-14.31,-14.31,-14.31,-14.31,0,0,-23.13,-44.44,-30.8,49.89,130.89,287.57,287.57,10.25,76.6,184.06,67.39,17.29,33.34,2,22.94,52.06,54.83,55.61,1.447558,99,-2.34,76.6,123.66,39.26,,,2,21.53,40.05,18.07,-7.81,1.117754,99
26-11-2025,NSE:IZMO,BE,1345.21,915.2,104558,956.91482,5.02,5.56,8.1,,3.65,-7.24,6.41,1.26,7.91,-33.67,29.38,66.67,63.91,52.07,72.83,-1,-1,HV2Y,HV2Y,-1,HVQ,-1,-1,-1,-1,-1,0.23,0.8,1.04,-7.03,-5.6,46.12,75.2,0,0,46.03,0,0,30.16,-8.74,-32.14,-32.14,-32.14,-32.14,-8.74,-37.51,0,-51.88,-47.9,-17.75,43.49,206.09,278.57,278.57,17.23,134.5,167.34,26.16,32.82,76.43,7.43,25.61,61.92,49.95,43.16,1.429373,99,14.17,121.56,105.96,-28.91,,,7.43,20.01,51.79,-17.94,-26.97,1.109242,99
26-11-2025,NSE:SALSTEEL,BE,340.63,42.48,175316,74.47424,2,2.67,3.01,,-2.01,1.84,3.91,5.65,12.74,31.45,57.84,57.3,55.58,43.13,56.33,-1,-1,HV2Q,HVQ,-1,HV2Y,-1,-1,4,-1,-1,0.84,4.72,5.84,13.45,22.28,35.09,88.4,100,100,74.6,80,61.9,36.51,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,0,-15.44,-38.65,-36.19,-18.3,146.55,180.58,180.58,180.58,16.96,144.85,18.3,7.78,5.13,34.6,12.26,54.07,52.55,41.62,34.22,1.42863,99,16.96,132.71,-8.85,-16.06,,,12.26,48.38,-2.3,-13.68,-22.16,1.118762,99
26-11-2025,NSE:DIVINEHIRA,ST,200.79,179.25,42368,75.94464,4.66,5.48,10.32,,2.43,5.38,24.99,33.44,37.27,49.37,49.74,74.73,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,7.43,10.21,19.64,20.82,51.1,,,100,100,100,60,85.71,71.43,-2.74,-2.74,-2.74,NA,NA,-2.74,-1.27,0,NA,NA,NA,114.93,297.89,NA,NA,60.76,81.37,104.77,NA,NA,NA,36.79,45.97,69.98,0,0,1.412331,99,58.14,78.92,,,,,36.79,16.57,48.7,90.34,5.87,1.178848,99
26-11-2025,NSE:UNITEDPOLY,BE,963.74,40.15,192877,77.44012,5.81,5.85,5.36,2L,4.99,0.47,-8.87,-9.32,-6.63,-15.59,15.47,58.83,59.98,67.79,75.79,-1,-1,-1,HV2Q,HVQ,-1,-1,-1,-1,-1,-1,1.08,-2.91,-1.78,-4.3,-5.83,38.13,52.21,0,0,33.33,0,0,7.94,-12.14,-19.1,-19.1,-19.1,-19.1,-12.14,-13.74,-19.29,-13.59,-10.13,-6.64,29.31,161.56,232.64,397.21,10.24,70.49,181.19,94.88,99.01,60.17,-7.11,11.7,54.08,46.02,58.88,1.385565,99,-4.38,70.49,117.49,83.54,,,-7.11,17.41,50.28,-6.88,25.38,1.125387,99
26-11-2025,NSE:DPEL,ST,690.03,278.05,56130,156.06947,1.33,2.65,1.81,M,-0.98,4.51,-1.47,-7.8,3.97,15.46,50.37,44.31,53.07,62.15,NA,-1,-1,HVQ,-1,HVQ,-1,-1,-1,-1,8,-1,-0.29,0.55,0.26,4.31,4.78,36.81,65.81,0,61.9,69.84,0,33.33,25.4,-9.04,-9.04,-9.04,-9.04,NA,-9.04,-4.37,-14.45,-4,-15.15,NA,105.96,124.87,197.54,NA,4.73,115.93,47.67,128.06,92.19,NA,3.49,46.6,39.56,39.11,53.24,1.380377,99,2.22,100,9.18,84.24,,,3.49,45,-13.23,6.06,25.22,1.134359,99
26-11-2025,NSE:TERASOFT,BE,688.65,510.1,24279,123.84718,6.01,6.51,2.5,S,4.99,-1.88,-5.8,-8.95,0.37,11.52,42.2,46.73,58.37,63.03,90.32,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,14,0.55,-0.2,0.35,4.64,5.24,35.07,62.09,0,71.43,73.02,0,28.57,39.68,-11.95,-11.95,-11.95,-11.95,-11.95,-11.95,0,-14.8,-6.62,-19.95,0,73.39,101.94,204.99,1021.1,10.23,79.7,76.29,288.2,366.7,314.42,-0.11,38.43,41.98,44.41,54.12,1.375861,99,-4.4,60.95,41.69,273.37,,,-0.11,38.67,6.82,12.2,17.07,1.119989,99
26-11-2025,NSE:PRAMARA,SM,379.53,356.55,64890,231.3653,5.1,4.73,5.26,,0.96,8.58,10.14,10.04,11.56,22.13,30.89,55.92,56.23,59.36,65.5,-1,-1,-1,-1,HVQ,-1,-1,-1,-1,4,-1,4.78,3.16,8.2,7.25,16.66,31.86,71.22,100,100,100,100,80.95,90.48,0,0,0,0,0,0,0,-0.36,-15.05,-15.65,-21.68,43.48,125.95,243.5,317.02,14.76,51.65,137.38,51.4,82.51,69.47,11.08,27.12,51.17,42.27,50.45,1.362435,99,14.76,50.78,54,12.37,,,11.08,18.55,35.2,-8.96,13.02,1.09536,98
26-11-2025,NSE:VENUSREM,EQ,741.87,697.5,93736,653.8086,5.9,6.5,6.23,,2.98,7.55,22.9,36.45,37.23,35.51,29.47,42.27,56.22,57.18,56.21,-1,HV2Y,-1,HVQ,HVQ,HVQ,-1,3,-1,-1,-1,8.89,9.58,20.42,15.51,42.52,14.61,66.91,100,23.81,7.94,60,14.29,4.76,-2.71,-2.71,-2.71,-2.71,-2.71,-2.71,-17.72,-11.01,0,-27.45,-29.05,61.72,75.94,152.81,152.81,60.58,1.51,76.04,45.94,10.69,3.86,36.75,25.7,37.52,42.26,48.27,1.36025,99,59.63,-15.65,59.31,12.77,,,36.75,-15.68,17.13,14.49,8.08,1.097301,98
26-11-2025,NSE:LUMAXIND,EQ,4799.97,5479.6,30204,1655.05838,5.17,5.09,2.6,,-1.13,7,8.15,9.54,9.68,13.99,31.15,48.97,58.77,59.33,58.16,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,10,5.8,2.08,8.05,3.24,11.66,28.76,56.75,100,28.57,73.02,40,9.52,25.4,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-6.73,-5.71,-5.68,-23.86,-24.9,34.72,95.43,163.6,163.6,19.36,50.18,74.99,34.53,8.69,2.91,9.2,27.38,44.22,44.81,50.42,1.345787,99,9.4,29.26,68.76,-1.66,,,9.2,20.46,24.85,9.55,7.23,1.092756,98
26-11-2025,NSE:SABTNL,EQ,2613.81,1392.5,32385,450.96113,3.43,4.81,15.62,,2.61,18.44,36.09,44.72,42.78,30.84,25.19,57.68,62.54,-23.26,NA,HV2Y,HV2Y,-1,HVQ,-1,-1,-1,0,-1,-1,-1,16.85,10.74,30.91,12.12,48.97,14.65,74.53,0,0,4.76,0,0,0,0,0,-2.18,-37.27,NA,0,-36.57,-26.82,-73.45,-76.5,NA,80.9,158.06,275.19,NA,80.9,0,139.43,58.79,1104.73,NA,42.3,21.42,52.93,48.58,-32.17,1.34448,99,74.62,-1.62,103.77,17,,,42.3,-34.04,42.41,1.83,-223.15,1.078523,97
26-11-2025,NSE:VMARCIND,SM,1804.69,726.85,38065,276.67545,5.94,5.95,5.68,,0.48,-0.37,-7.81,20,19.32,40.38,33.8,56.93,58.18,39.18,89.39,-1,HVY,HVQ,HV2Q,-1,-1,-1,-1,-1,0,-1,0.09,4.93,5.28,16.64,26.3,30.29,81.18,100,100,58.73,0,28.57,15.87,-7.24,-7.24,-7.24,-7.24,-7.24,-7.24,-4.25,-5.34,-36.65,-38.48,-10.53,71.91,154.5,262.88,891.61,29.16,38.69,140.21,56.29,314.73,503.14,18.84,30.03,52.18,44.22,30.27,1.337456,99,26.98,29.46,65.15,-26.15,,,18.84,14.64,33.92,-6.77,-39.56,1.071673,96
26-11-2025,NSE:SUMEETINDS,BE,1851.61,30.87,354407,109.40544,5.55,5.51,9.28,2M,-2.46,-7.03,-17.95,-6.38,-10.66,-3.1,26.64,49.08,70.2,41.69,26.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-6.05,-2.42,-8.27,-0.49,-8.71,35.92,42.45,0,0,49.21,0,0,23.81,-16.02,-20.83,-20.83,-20.83,-20.83,-16.02,-12.39,-19.47,-24.28,-68.49,-38.36,47.65,175.82,295.77,295.77,0,63.38,183.08,101.54,17.95,114.29,-11.14,22.87,44.33,56.24,32.78,1.335481,99,-13.7,34.55,135.9,57.2,,,-11.14,30.4,29.56,31.82,-89.78,1.103292,98
26-11-2025,NSE:CPS,SM,229.95,958.6,4005,38.39193,2.94,4.13,16.07,S,-1.68,-3.28,-13.81,-9.62,12.27,27.08,26.97,47.72,42.1,69.07,53.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.78,1.58,-0.21,11.52,12.79,20.08,41.12,0,57.14,19.05,0,33.33,11.11,-12.14,-12.14,-12.14,-12.14,-12.14,-12.14,-4.43,-20.45,-23.78,0,-38.29,45.24,87.96,283.44,283.44,8.56,27.42,64.72,100.48,122,18.6,11.79,23.2,42.97,28.14,60.16,1.332766,99,8.56,10.66,28.71,33.83,,,11.79,13.45,27.39,-20.39,52.45,1.121944,99
26-11-2025,NSE:CARTRADE,EQ,15628.56,3175.8,489452,15544.01662,4.73,4.64,4.07,S,2.73,2.35,-0.04,8.05,16.07,21.5,24.76,52.31,52.79,59.9,79.4,-1,EEP,-1,EEP,-1,EEP,-1,-1,-1,-1,0,2.62,2.87,5.65,9.62,16.89,25.15,56.17,100,100,49.21,0,19.05,17.46,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.63,-3.75,-16.56,-15.13,-2.51,39.81,110.12,147.89,401.75,10.67,40.68,72.42,79.17,136.87,101.22,15.59,20.99,47.56,38.83,50.99,1.329185,99,1.29,40.68,54.45,64.69,,,15.59,7.04,35.61,-8.66,20.92,1.091118,98
26-11-2025,NSE:SEJALLTD,BE,898.9,942.3,18975,178.80143,4.87,5.08,27.42,,-2.52,6.11,8.05,9.39,-4.78,20.35,39.98,51.64,60.97,42.33,63.84,-1,-1,HVY,HVQ,HVQ,-1,-1,-1,-1,16,-1,1.69,3.22,5.07,7.07,13.06,34.23,71.9,100,57.14,73.02,20,9.52,26.98,-4.29,-4.56,-4.56,-4.56,-4.56,-4.29,0,-1.95,-32.82,-45.79,-19.89,84.04,102.47,194.65,217.65,17.63,111.54,76.86,44.03,23.97,83.2,-5.26,36.21,46.89,47.01,33.42,1.32125,98,-2.94,108.54,60.34,44.03,,,-5.26,39.41,18.41,9.64,-41.91,1.093277,98
26-11-2025,NSE:SUNLITE,ST,282.72,262.6,42540,111.71004,8.45,8.59,3.2,,4.50,-2.17,9.77,14.19,28.2,28.22,37.99,55.83,49.33,34.12,NA,-1,HVY,HV2Q,-1,-1,-1,-1,-1,-1,-1,-1,1.94,6.24,8.73,15.52,28.7,22.84,66.8,100,85.71,44.44,20,42.86,20.63,-5.68,-5.68,-5.68,-5.68,NA,-5.68,-1.28,-8.51,-44.62,-36.48,NA,74.31,124.44,186.21,NA,44.29,31.85,77.49,26.43,0,NA,27.72,34.22,51.08,35.37,25.21,1.318876,98,44.29,13.45,20.63,,,,27.72,10.32,27.75,-24.36,-24.16,1.063939,95
