Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
06-01-2026,NSE:SWANDEF,BE,8465.49,1687.2,2008,33.87898,0.02,5,1,,5.00,21.64,38.59,51.88,64.09,87.1,95.37,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,21.42,17.74,47.6,43.39,160.72,,,100,100,100,98.73,100,100,100,98.73,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,1954.8,NA,NA,NA,165.2,1503.04,NA,NA,NA,NA,63.36,91.87,0,0,0,3.707798,99,165.2,,,,,,,63.36,84.3,101.7,-9.75,5.72,2.049333,99
06-01-2026,NSE:MVKAGRO,SM,3661.53,717.3,57810,414.67113,4.32,4.85,2.21,,-1.41,-6.25,-3.35,-5.95,-14.18,23.2,26.81,76.73,93.03,94.39,93.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-3.1,0.04,-3.06,6.36,3.52,50.52,109.21,20,61.9,76.19,88.1,0,4.76,49.21,74.6,-10.63,-12.42,-12.42,-12.42,-12.42,-10.63,0,-0.39,0,-21.57,-36.86,38.64,321.32,2117.31,2117.31,1.6,121.35,1052.58,416.07,54.56,5.78,-14.91,23.31,74.86,81.6,88.02,3.661962,99,-10.63,121.35,931.43,237.27,,,,-14.91,33.11,69.9,60.3,25.22,1.452698,99
06-01-2026,NSE:POLYSIL,ST,608.2,256.75,77350,198.59613,3.57,4.46,15.61,L,-5.00,-19.53,-17.53,-19.1,-31.68,-2.01,-1.36,70.3,91.1,88.92,85.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-10.72,-3.31,-13.58,-1.11,-14.53,48.11,64.73,0,14.29,57.14,78.57,0,0,38.1,69.05,-22.51,-27.06,-27.06,-27.06,-27.06,-22.51,-3.95,0,0,-50.7,-38.62,4.2,230.23,1646.6,1646.6,0,92.1,1016.95,418.71,55.44,5.37,-32.41,-4.86,68.43,79.67,82.55,2.611493,99,-22.51,92.1,1016.95,132.12,,,,-32.41,20.24,72.4,60.28,-18.79,1.396394,99
06-01-2026,NSE:CUPID,EQ,10443.37,428.95,6605893,28335.97802,5.93,5.66,3.17,,9.97,-18.66,-6.76,4.56,14.89,42.8,49.28,74.63,85.84,82.26,74.74,-1,-1,2,2,EP,EP,-1,-1,-1,-1,-1,-1,6,-1,-4.95,3.75,-1.25,17.51,19.72,46.54,123.93,40,85.71,88.89,92.86,40,85.71,68.25,74.6,-18.28,-18.28,-18.28,-18.28,-18.28,-18.28,-2.34,-1.96,-2.82,-50.18,-37.56,99.68,297.4,646,646,12.88,108.37,278.4,89.25,0,3.14,14.16,45.78,72.76,74.41,75.89,2.226576,99,12.88,108.37,260.35,32.79,,,,14.16,37.62,51.69,34.44,-19.61,1.237743,99
06-01-2026,NSE:TAKE,BE,601.8,40.81,2016552,822.95487,2.63,2.69,6.29,,0.52,2.87,9.12,14.6,17.86,43.15,67.43,73.34,81.94,60.4,44.13,-1,-1,-1,2,-1,-1,HV2Y,HV2Y,-1,-1,-1,1,-1,-1,3.63,5.38,9.51,15,28.84,50.71,161.37,100,100,100,76.98,100,95.24,82.54,46.83,0,0,0,0,0,0,0,0,-51.17,-69.23,-32.53,192.54,353.44,510.01,510.01,21.42,223.55,81.81,62.63,10.16,0.87,17.13,63.93,71.47,70.51,54.03,1.991327,99,21.42,208.09,71.93,-51.17,,,,17.13,57.56,19.83,22.51,-113.55,1.227354,99
06-01-2026,NSE:DIVINEHIRA,ST,317.04,247.75,29376,72.77904,3.19,4.15,9.16,,1.95,8.94,15.46,30.98,27.79,51.06,55.26,77.64,70.39,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,6,-1,7.52,7.79,16.6,18.55,43.15,,,100,100,100,84.13,100,61.9,60.32,53.97,0,0,0,NA,NA,0,-2.93,0,-35.2,NA,NA,135.95,342.41,NA,NA,50.24,103.41,151.93,25.91,NA,NA,27.06,51.76,75.77,58.96,0,1.674944,99,44.63,103.3,59.04,,,,,27.06,35.25,51.72,-42.15,105.72,1.181036,99
06-01-2026,NSE:BGRENERGY,BE,2504.01,344.25,169085,582.07511,5.56,5.77,5.43,,-1.18,-3.44,5.61,2.09,-15.85,-16.96,19.8,67.02,76.76,69.9,88.83,-1,-1,-1,-1,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,-1.06,-1.15,-2.19,-8.91,-10.19,45.55,64.93,0,0,63.49,57.94,0,0,19.05,25.4,-9.14,-26.35,-26.35,-26.35,-26.35,-9.14,-14.68,0,-21.71,-44.83,0,18.75,255.59,382.14,888.37,12.48,90.09,272.71,225.93,129.69,197.53,-16.58,16.3,65.15,65.33,63.53,1.616752,99,-9.14,90.09,238.36,131.58,,,,-16.58,27.98,60.58,19.78,-23.82,1.173419,99
06-01-2026,NSE:SOMATEX,BE,447.43,132.75,22754,30.20594,1.89,3.7,1.28,,-1.99,-6.33,15.48,19.44,14.88,-10.99,45.47,65.76,70.17,64.36,73.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,4.4,5.13,0.72,5.89,37.77,70.15,0,0,34.92,36.51,0,0,12.7,13.49,-7.75,-13.56,-13.56,-13.56,-13.56,-7.75,-26.42,-30.93,-30.91,-39.82,-28.1,92.7,195.59,262.9,303.5,29.23,73.66,91.41,24.28,31.56,57.18,14.15,41.97,63.89,58.74,57.99,1.597789,99,19.88,32.71,76.26,16.03,,,,14.15,33.15,38.9,3.14,-13.75,1.134946,99
06-01-2026,NSE:SUNLITE,ST,388.69,375.1,61884,232.12688,4.77,5.52,12.06,,5.00,16.56,18.78,24.98,20.17,35.95,54.68,54.41,66.94,56.78,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,14.13,5.77,21.11,11.6,37,34.09,107.86,100,90.48,69.84,47.62,100,33.33,34.92,21.43,0,0,0,0,NA,0,-5,-10.99,-6.61,-40.8,NA,121.82,162.31,308.83,NA,38.03,98.77,85.29,86.38,13.76,NA,19.44,51.18,52.54,55.51,50.41,1.526666,99,31.85,88.87,45.8,8.67,,,,19.44,40.44,1.11,17.74,-25.01,1.132227,99
06-01-2026,NSE:DHARIWAL,ST,307.03,361.75,63492,229.68231,2.33,3.11,5.3,,3.62,2.11,4.63,12.02,8.35,40.57,45.38,58.13,70.7,60.19,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,2.09,3.05,5.3,10.91,18.19,38.66,92.67,100,90.48,69.84,61.9,80,19.05,20.63,17.46,-1.79,-1.79,-1.79,-1.79,NA,-1.79,-9.59,-7.92,-4.63,-32.83,NA,122.68,155.29,296.44,NA,18.24,104.09,116.55,65.97,0,NA,7.62,41.88,56.26,59.27,53.82,1.525386,99,11.32,84.66,74.87,,,,,7.62,37.61,25.06,20.26,-30.13,1.13096,99
06-01-2026,NSE:INFOBEAN,EQ,2109.52,938.4,215371,2021.04146,7.82,7.76,3.25,,8.53,16.24,14.55,19.1,27.28,36.68,44.37,59.34,67.99,55.13,58.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,12.07,7,20.51,13.88,39.94,25.93,88.94,100,80.95,26.98,38.1,80,57.14,19.05,19.84,0,0,0,0,0,0,0,-23.96,-18.53,-39.82,-15.62,93.98,155.38,235.32,235.32,48.55,44.19,86.53,36.36,3.12,10.26,26.55,40.87,57.47,56.56,48.76,1.516633,99,46.71,22.29,72.88,-10.59,,,,26.55,20.72,28.6,11.54,-34.48,1.110285,98
