Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_21D,21EMA_50D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
21-09-2025,NSE:EMAMIPAP,EQ,628.16,1.99,5.77,103.24,-0.24,-0.65,0.76,7.04,10.36,13.56,-19.93,-25.09,0,0,-1,-1,-1,-1,-11.4,-11.4,-20.01,14.92,23.17,23.17,5.58,8.46,1.51,-21.59,-23.04,0.991963,44,5.58,3.13,-6.78,-26.95,-0.52,0.989279,32
21-09-2025,NSE:CESC,EQ,22700.39,27.79,2.86,169.46,2.70,5.55,9.42,3.56,3.58,16.23,-10.62,-15.4,0,0,-1,-1,-1,-1,-6.81,-6.81,-17.74,11.35,15.42,38.7,2.1,1.68,4.18,-12.28,-13.35,0.991701,44,2.1,-0.42,2.77,-20.25,-0.54,0.992977,37
21-09-2025,NSE:TRAVELFOOD,EQ,16947.15,2.11,3.66,1290.9,1.07,0.86,-1.41,5.56,NA,NA,NA,NA,0,0,-1,-1,0,-1,NA,NA,NA,NA,NA,NA,4.1,0,0,0,0,0.991272,44,4.1,99.56,-10.35,11.8,3.78,1.00682,59
21-09-2025,NSE:LXCHEM,EQ,6113.88,19.82,4.39,220.17,-0.24,-0.18,4.36,1.11,12.39,20.32,-16.64,-40.37,0,0,-1,-1,-1,-1,-4.9,-4.9,-27,20.74,32.7,32.7,-0.35,10.49,8.27,-18.3,-38.32,0.991248,44,-0.35,10.97,-1.3,-34.57,-16.57,0.985269,27
21-09-2025,NSE:MUFIN,EQ,1503.05,3.82,3.53,89.58,-2.26,0.97,6.53,1.27,17.87,17.75,-28.97,-38.75,0,0,-1,-1,-1,-1,-4.37,-4.37,-29.44,25.8,38.63,38.63,-0.19,15.97,5.7,-30.63,-36.7,0.991011,44,-0.19,16.37,-10.5,-45,-3.8,0.989231,32
21-09-2025,NSE:CSBBANK,EQ,6069.4,5.39,3.37,350.6,-0.62,-5.13,-2.1,-15.12,-11.08,18.13,9.24,9.18,0,0,-1,-1,-1,-1,-19.44,-19.44,-19.44,0,18.23,27.65,-16.58,-12.98,6.08,7.58,11.23,0.990898,44,-16.58,3.07,15.94,0.95,3.72,1.010185,63
21-09-2025,NSE:CANFINHOME,EQ,10306.13,1.4,2.44,773.8,-0.15,3.55,2.49,-0.81,1.21,16.83,-0.99,-16.76,0,0,-1,-1,-1,-1,-5.98,-5.98,-14.21,7.82,19.53,34.62,-2.27,-0.69,4.78,-2.65,-14.71,0.990528,43,-2.27,1.57,5.47,-9.63,-11.84,0.991882,36
21-09-2025,NSE:MANALIPETC,EQ,1176.47,5.23,3.71,68.3,-1.60,-3.03,-5.51,0.1,3.09,14.06,4.7,-27.41,0,0,-1,-1,-1,-1,-13.82,-13.82,-21.32,7.42,32.36,32.36,-1.36,1.19,2.01,3.04,-25.36,0.990526,43,-1.36,2.55,0.97,0.91,-29.91,0.987124,30
21-09-2025,NSE:KALAMANDIR,EQ,2481.46,6.83,4.57,161.71,-2.18,-5.73,-5.5,-14.5,14.11,17.97,-9.67,-14.66,0,0,-1,-1,-1,-1,-14.2,-14.2,-16.18,20.2,42.46,42.46,-15.96,12.21,5.92,-11.33,-12.61,0.990495,43,-15.96,24.54,-5.85,-21.89,-0.77,1.004065,54
21-09-2025,NSE:RITES,EQ,13106.06,8.01,2.77,272.47,0.71,1.68,3.77,5.55,-0.08,22.18,-10.2,-30.58,0,0,-1,-1,-1,-1,-7.67,-11.88,-26.99,11.69,27.73,37.29,4.09,-1.98,10.13,-11.86,-28.53,0.990443,43,4.09,-6.4,11.9,-29.81,-14.72,0.987395,30
21-09-2025,NSE:CRIZAC,EQ,5987.9,16,4.11,343.9,-2.77,-2.08,-6.7,4.68,NA,NA,NA,NA,0,0,-1,-1,0,-1,NA,NA,NA,NA,NA,NA,3.22,0,0,0,0,0.990069,43,3.22,99.56,-10.35,11.8,3.78,1.005598,56
21-09-2025,NSE:BHEL,EQ,83012.39,72.07,2.37,237.17,1.14,3.56,10.46,6.96,-5.6,14.04,-2.18,-13.63,0,0,0,-1,-1,-1,-10.94,-11.04,-17.52,14.02,15.3,32.37,5.5,-7.5,1.99,-3.84,-11.58,0.990068,43,5.5,-13.94,8.24,-7.07,-7.42,0.992491,37
21-09-2025,NSE:PIDILITIND,EQ,155710.25,2.85,1.46,3048.3,-0.19,-1,-1.54,-1.19,3.02,10.47,-1.08,-8.41,0,0,-1,-1,-1,-1,-2.52,-2.52,-9.37,6.62,11.58,14.69,-2.65,1.12,-1.58,-2.74,-6.36,0.989835,43,-2.65,3.73,-2.67,-1.11,-3.47,0.995632,41
21-09-2025,NSE:FLUOROCHEM,EQ,41743,3.43,2.97,3801.3,2.36,2.25,11.77,10.1,10.99,-0.87,-15.12,-17.99,0,0,-1,-1,-1,-1,0,-5.74,-21.01,13.35,13.35,13.47,8.64,9.09,-12.92,-16.78,-15.94,0.989733,43,8.64,0.55,-23.68,-2.33,1.29,0.99182,35
21-09-2025,NSE:ELLEN,EQ,7465.36,3.05,3.19,527.3,-1.78,-4.41,0.72,4.43,NA,NA,NA,NA,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,2.97,0,0,0,0,0.989727,43,2.97,99.56,-10.35,11.8,3.78,1.005251,56
21-09-2025,NSE:LTIM,EQ,163651.7,2.28,2.11,5509.5,-0.27,3.21,5.7,5.97,2.41,19.31,-21.55,-16.59,0,0,-1,-1,-1,-1,-0.27,-0.27,-18.24,9.93,35.8,35.8,4.51,0.51,7.26,-23.21,-14.54,0.989721,43,4.51,-4.22,6.97,-38.84,7.86,0.994947,40
21-09-2025,NSE:BHARATFORG,EQ,60880.46,12.07,2.49,1272.7,0.32,3.91,10.69,8.94,-0.44,13.57,-5.34,-25.81,0,0,0,-1,-1,-1,-3.18,-5.35,-20.26,15,33.74,33.74,7.48,-2.34,1.52,-7,-23.76,0.989588,43,7.48,-10.74,3.6,-10.08,-15.66,0.986342,28
21-09-2025,NSE:PEL,EQ,25614.58,4.34,3.58,1122.2,-4.73,3.43,3.4,-4.82,-0.81,18.34,-9.16,-0.04,0,0,-1,-1,-1,-1,-16.21,-16.21,-16.21,5.75,18.39,28.63,-6.28,-2.71,6.29,-10.82,2.01,0.989471,43,-6.28,3.39,8.65,-21.88,12.13,1.003999,54
21-09-2025,NSE:AFCONS,EQ,17221.52,11.51,2.56,461.65,1.46,2.79,4.91,7.1,4.73,2.73,-16.99,NA,0,0,-1,-1,-1,-1,0,-5.73,NA,16.3,16.3,NA,5.64,2.83,-9.32,-18.65,0,0.989456,42,5.64,-2.99,-12.45,-8.48,103.78,0.989363,32
21-09-2025,NSE:THOMASCOOK,EQ,8114.06,10.28,2.94,172.18,1.73,-0.43,-3.98,0.76,7.82,22.76,-23.85,-24.94,0,0,-1,-1,-1,-1,-7.54,-7.54,-21.58,14.49,38.89,44.24,-0.7,5.92,10.71,-25.51,-22.89,0.989454,42,-0.7,6.68,5.86,-48.54,2.89,0.993334,38
21-09-2025,NSE:TALBROAUTO,EQ,1814.81,2.18,4.16,292.65,-0.37,-2,5.31,5.35,0.73,15.7,-13.09,-13.79,0,0,-1,-1,-1,-1,-4.97,-4.97,-15.82,18.08,27.42,39.67,3.89,-1.17,3.65,-14.75,-11.74,0.989014,42,3.89,-5.31,4.72,-22.35,3.16,0.993516,38
21-09-2025,NSE:CAMPUS,EQ,8656.62,6.7,3.29,283.35,0.02,4.91,3.97,5.73,-0.14,11.45,-3.86,-16.39,0,0,-1,-1,-1,-1,-5.17,-5.52,-22.82,11.82,24.82,24.82,4.27,-2.04,-0.6,-5.52,-14.34,0.988876,42,4.27,-6.67,1.23,-5.5,-8.28,0.990217,33
21-09-2025,NSE:THELEELA,EQ,14064.64,4.35,3.36,419.75,-0.83,0.04,2.13,-3.45,6.25,NA,NA,NA,0,0,-1,-1,-1,-1,-9.81,NA,NA,7.81,NA,NA,-4.91,4.35,0,0,0,0.988126,42,-4.91,8.94,89.65,11.8,3.78,1.008228,61
21-09-2025,NSE:ICIL,EQ,5902.02,8.66,5.13,298.08,0.61,4.56,21.14,15.56,8.73,10.8,-34.02,-34.63,0,0,-1,-1,-1,-1,-4.03,-14.63,-27.5,33.33,33.33,33.33,14.1,6.83,-1.25,-35.68,-32.58,0.988041,42,14.1,-8.53,-8.09,-38.44,3.33,0.985579,27
21-09-2025,NSE:BALMLAWRIE,EQ,3709.93,5.34,2.3,216.26,0.63,-7.04,-4.97,-1.25,6.01,17.47,-3.69,-31.28,0,0,-1,-1,-1,-1,-8.25,-8.25,-24.78,5.22,20.39,45.05,-2.71,4.11,5.42,-5.35,-29.23,0.987962,42,-2.71,6.73,1.85,-13.85,-22.83,0.986117,28
21-09-2025,NSE:MOIL,EQ,7250.18,7.73,2.96,355.6,-0.38,0.32,0.97,5.76,-1.6,8.56,-2.52,-11.64,0,0,0,-1,-1,-1,-9.64,-9.64,-12.81,10.74,19.13,23.75,4.3,-3.5,-3.49,-4.18,-9.59,0.987865,42,4.3,-8.26,-0.34,-0.32,-5.12,0.99219,36
21-09-2025,NSE:SARLAPOLY,EQ,850.73,1.26,4.21,101.66,-1.21,3.39,-0.39,-9.28,-9.34,26.52,-20.98,10.28,0,0,-1,-1,-1,-1,-17.21,-17.21,-20.47,3.88,36.99,44.71,-10.74,-11.24,14.47,-22.64,12.33,0.987683,42,-10.74,-0.49,22.44,-52.85,29.62,1.023244,75
21-09-2025,NSE:FMCGIETF,EQ,663.13,12.74,1.77,60.12,-0.51,-0.4,-0.13,-0.38,3.16,7.95,1.2,-12.89,0,0,-1,-1,-1,-1,-1.44,-1.44,-13.65,3.71,8.85,12.46,-1.84,1.26,-4.1,-0.46,-10.84,0.987626,42,-1.84,3.09,-5.4,4.46,-10.48,0.992776,37
21-09-2025,NSE:LOTUSDEV,EQ,9381.05,21.75,3.76,192.23,1.58,4.07,4.32,2.71,NA,NA,NA,NA,0,0,-1,-1,0,-1,NA,NA,NA,NA,NA,NA,1.25,0,0,0,0,0.987448,42,1.25,99.56,-10.35,11.8,3.78,1.002936,53
21-09-2025,NSE:ALIVUS,EQ,12623.91,2.17,2.69,1047.45,10.62,10.55,11.88,7.77,4.7,-1.75,3.4,-25.15,0,10.62,-1,-1,-1,-1,-2.37,-13.15,-20.08,13.79,13.79,18.37,6.31,2.8,-13.8,1.74,-23.1,0.987173,41,6.31,-3.76,-17.12,16.86,-25.77,0.98798,30
