Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
10-10-2025,NSE:KIOCL,EQ,26005.67,4228210,7.51,35.75,508,-0.87,-4.09,9.97,14.51,11.66,42.72,55.73,15.26,31.66,HV2Y,HV2Y,HV2Y,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-19.06,-19.06,-19.06,-19.06,76.36,130.47,130.47,10.53,43.29,43.49,10.99,30.99,1.248758,96,10.53,36.87,9.99,-82.35,23.12,1.083955,96
10-10-2025,NSE:MANGCHEFER,EQ,3650.27,515432,4.14,12.92,318.3,0.02,-4.21,-2.86,4.15,-2.25,16.01,41.17,46.64,59.64,-1,-1,EEP,-1,HVQ,EEP,-1,-1,-1,-1,-1,-4.67,-12.6,-12.6,-12.6,17.67,76.65,151.96,-3.38,16.58,28.93,42.37,58.97,1.247988,96,-3.38,19.57,17.22,18.39,28.11,1.092687,97
10-10-2025,NSE:YATRA,EQ,2373.36,5216274,5.08,7.67,162.23,0.08,10.37,10.62,6.16,0.12,47.3,50.22,31.59,25.48,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-1,-1.54,-1.54,-1.54,-1.54,92.28,106.93,145.88,-1.01,47.87,37.98,27.32,24.81,1.245128,96,-1.01,48.96,-7.2,-28.35,-5.18,1.084958,96
10-10-2025,NSE:GVT&D,EQ,77991.77,475822,3.51,103.81,3012.4,-1.17,-5.24,1.91,0.88,8.19,20.93,56.7,33.47,45.5,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,0,-4.97,-4.97,-4.97,-4.97,31.76,132.27,132.52,7.06,21.5,44.46,29.2,44.83,1.243905,96,7.06,15.6,32.5,-44.57,21.85,1.087325,96
10-10-2025,NSE:VIVIANA,ST,915.65,12665,6.09,101.42,1591.1,-7.16,-4.45,1.85,12.68,17.98,20.32,51.32,32.25,48.76,-1,HVQ,-1,HVQ,-1,HV2Y,-1,-1,4,-1,-1,-9.59,-9.59,-9.59,-9.59,40.62,101.41,152.78,16.85,20.89,39.08,27.98,48.09,1.24301,96,16.85,4.57,26.17,-30.09,28.13,1.084079,96
10-10-2025,NSE:FORCEMOT,EQ,24501.88,105248,4.2,723.5,15781,3.12,-6.5,-12.54,-20.02,-16.36,-5.29,46.56,56.59,56.26,-1,-1,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-20.5,-27.93,-27.93,-27.93,3.12,86.3,154.14,-17.49,-4.72,34.32,52.32,55.59,1.241423,96,-17.49,11.23,36.51,27.87,2.99,1.09783,97
10-10-2025,NSE:AVALON,EQ,6536.63,507472,4.7,48.97,1230.4,-0.39,14.24,19,19.64,21.91,29.2,37.74,22.98,55.71,HV2Q,HV2Q,-1,-1,EEP,EEP,-1,-1,5,-1,-1,-1.79,-1.79,-1.79,-1.79,53.97,62.14,126.01,20.78,29.77,25.5,18.71,55.04,1.238657,96,20.78,11.06,-0.69,-14.61,46.26,1.096327,97
10-10-2025,NSE:AIIL,EQ,53161.52,214461,2.77,88.17,3299.5,0.33,3.29,9,3.08,5.64,18.95,50.22,41.32,48.05,-1,-1,-1,HV2Q,HV2Y,HV2Y,-1,-1,-1,-1,4,0,0,0,0,26.29,111.64,134.07,4.51,19.52,37.98,37.05,47.38,1.234597,96,4.51,15.82,25.85,-8.79,15.23,1.077176,95
10-10-2025,NSE:TECHERA,SM,333.72,183520,5.07,13.74,273.55,4.99,13.67,15.1,29.19,33.1,28.35,56.79,25.06,NA,-1,HVQ,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,0,0,0,NA,63.12,136.63,NA,31.97,28.92,44.55,20.79,0,1.23419,95,31.97,-5.38,26.95,-64.34,103.76,1.071873,94
10-10-2025,NSE:CENTEXT,EQ,203.6,536261,7.4,1.94,33.95,17.03,29.28,27.07,22.68,22.68,35.35,46.69,32.16,30.19,2,2,HV2Q,HV2Q,HV2Y,HVQ,-1,-1,-1,-1,-1,0,0,0,0,62.67,99.47,105.88,21.55,35.92,34.45,27.89,29.52,1.234173,95,21.55,18.1,4.8,-18.15,0.85,1.056715,91
10-10-2025,NSE:QPOWER,EQ,7767.64,829891,4.99,49.67,997.4,-1.29,-4.16,-1.85,0.86,4.72,18.94,71.52,NA,NA,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,4,-1,-6.72,-6.72,-6.72,NA,37.24,264.68,NA,3.59,19.51,59.28,0,0,1.233728,95,3.59,16.65,52.12,109.09,3.76,1.187151,99
10-10-2025,NSE:LOTUSEYE,BE,250.06,141901,5.05,5.95,119.83,-1.08,-1.26,0.59,-0.55,-1.3,38.34,44.33,40.8,38.55,-1,-1,HVQ,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-3.53,-10.89,-10.89,-10.89,66.2,85.84,110.6,-2.43,38.91,32.09,36.53,37.88,1.231793,95,-2.43,40.85,-3.02,2.75,-0.05,1.077956,95
10-10-2025,NSE:POCL,EQ,3965.47,452685,4.95,61.58,1306.6,-0.84,4.75,7.41,1.97,6.49,28.97,56.81,33.55,30.55,-1,-1,HV2Q,HV2Q,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1.42,-1.42,-1.42,-1.42,37.75,140.63,163.8,5.36,29.54,44.57,29.28,29.88,1.230581,95,5.36,25.76,26.45,-44.76,-0.76,1.068538,94
10-10-2025,NSE:SUBROS,EQ,6569.24,292287,6.05,64.33,1121.3,-3.67,4.87,-0.17,8.84,16.57,17.02,49.22,41.7,40.64,-1,HVQ,HV2Y,EEP,EEP,EEP,-1,-1,-1,-1,-1,-6.1,-6.1,-6.1,-6.1,42.37,99.96,106.79,15.44,17.59,36.98,37.43,39.97,1.227922,95,15.44,2.26,26.06,-5.7,1.95,1.066143,93
10-10-2025,NSE:ATALREAL,BE,217.59,1570887,4.71,1,22.6,-1.61,-1.68,6.37,15.44,15.84,9.73,31.02,38.36,61.11,-1,-1,-1,HV2Q,HV2Y,HV2Y,-1,-1,-1,-1,-1,-2.5,-2.5,-2.5,-2.5,22.83,64.72,170.66,14.71,10.3,18.78,34.09,60.44,1.227383,95,14.71,-5.54,10.84,19.74,40.66,1.094075,97
10-10-2025,NSE:SMLISUZU,EQ,5400.82,97082,4.31,142.59,3206,5.00,-1.09,-2.38,-14.04,-16.08,3.84,49.64,56.68,43.7,-1,-1,HVQ,HV2Q,HV2Q,EEP,-1,-1,-1,-1,-1,-15.69,-31.74,-31.74,-31.74,6.49,110.44,203.66,-17.21,4.41,37.4,52.41,43.03,1.225368,95,-17.21,18.88,34.88,23.07,-26.2,1.082822,96
10-10-2025,NSE:ZOTA,EQ,4395.49,90823,4.14,60.09,1457.9,-5.58,-3.43,-1.83,-1.01,-2.87,11.39,45.84,33.57,59.67,-1,-1,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,5,-5.58,-5.58,-5.58,-5.58,24.43,88.68,166.14,-4,11.96,33.6,29.3,59,1.220696,95,-4,15.58,26.14,-13.57,43.06,1.102387,97
10-10-2025,NSE:SIGMA,EQ,478.42,797563,7.17,3.82,52.55,1.06,-2.01,9.07,10.96,10.74,26.72,52.48,32.1,32.28,HV2Y,HV2Y,-1,HV2Y,HV2Q,HV2Q,-1,-1,-1,1,-1,-15.51,-15.51,-15.51,-15.51,42.47,115.73,124.25,9.61,27.29,40.24,27.83,31.61,1.213341,95,9.61,19.62,22.41,-33.78,4.03,1.061454,92
10-10-2025,NSE:SHREERAMA,BE,807.48,633539,5.43,3.18,58.35,-1.37,-2.26,0.51,-3.91,-2.57,29.7,43.68,20.07,55.46,-1,-1,HV2Q,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-6.98,-9.91,-9.91,-9.91,44.93,80.2,125.2,-3.7,30.27,31.44,15.8,54.79,1.211909,95,-3.7,33.18,7.15,-32.85,48.04,1.107409,98
10-10-2025,NSE:VMARCIND,SM,1073.41,24955,5.13,23.24,545.9,6.23,20.44,22.55,19.23,20.28,24.89,54.29,28.05,21.78,-1,-1,HV2Q,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,0,0,0,0,38.1,122.77,172.54,19.15,25.46,42.05,23.78,21.11,1.211162,95,19.15,7.51,26.39,-48.29,-4.96,1.055621,91
10-10-2025,NSE:MBAPL,EQ,3773.22,209351,3.6,15.08,439.65,0.07,10.19,5.29,2.34,6.65,4.89,40.11,43.59,54.05,-1,-1,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-0.23,-3.84,-3.84,-3.84,16.09,72.72,114,5.52,5.46,27.87,39.32,53.38,1.208827,95,5.52,-0.17,24.29,14.89,22.31,1.078276,95
10-10-2025,NSE:SYRMA,EQ,16032.26,1416010,4.25,34.42,843.65,2.67,1.8,0.99,3.77,-0.38,21.39,48.46,27.15,51.53,-1,-1,-1,EEP,EEP,EEP,-1,-1,-1,23,-1,-1.72,-1.94,-1.94,-1.94,25.3,94.75,122.28,-1.51,21.96,36.22,22.88,50.86,1.207236,95,-1.51,23.41,21.7,-32.26,37.22,1.089954,96
10-10-2025,NSE:ROSSTECH,EQ,2860.03,234336,5.58,40.5,697.1,1.34,-3.9,-10.8,-7.02,0.47,31.67,59.15,32.18,NA,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,11,-1,-12.21,-12.21,-12.21,NA,50.16,148.96,NA,-0.66,32.24,46.91,27.91,0,1.205817,95,-0.66,33.06,27.47,-56.92,103.76,1.079467,95
10-10-2025,NSE:SRM,EQ,1280.29,276627,5.84,30.84,556.1,-2.52,0.33,0.05,3.4,9.34,12.14,43.18,30.67,54.45,-1,HV2Y,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,-2.52,-2.52,-2.52,-2.52,26.03,83.32,114.21,8.21,12.71,30.94,26.4,53.78,1.204136,95,8.21,4.8,22.59,-12.92,38.06,1.085765,96
10-10-2025,NSE:KRISHIVAL,BE,1049.21,15949,1.88,9.37,464.85,-1.43,-0.96,1.26,-0.79,5.35,16.66,48.84,37.61,43.01,-1,-1,HV2Q,HV2Q,-1,-1,-1,-1,-1,1,-1,-4.03,-4.03,-4.03,-4.03,29.13,109.3,116.21,4.22,17.23,36.6,33.34,42.34,1.204104,95,4.22,13.67,25.88,-12.86,12.42,1.068211,94
10-10-2025,NSE:KANPRPLA,EQ,513.31,19758,4.71,10.02,220.44,6.64,6.79,5.99,-2.27,-8.14,9.1,50.17,41.88,47.16,-1,-1,-1,HV2Y,HV2Q,HV2Q,-1,-1,-1,-1,-1,-9.34,-9.34,-9.34,-9.34,11.8,103.94,107.38,-9.27,9.67,37.93,37.61,46.49,1.200425,95,-9.27,17.67,32.44,-7.55,12.85,1.079194,95
10-10-2025,NSE:ATLANTAA,EQ,338.88,662612,7.22,4.35,58.47,-4.79,4.82,29.47,30.02,25.36,35.25,50.61,16.78,3.13,HV2Y,HV2Y,HVY,-1,-1,HV2Y,12.12,-1,-1,-1,-1,-14.09,-14.09,-14.09,-14.09,95.49,95.68,110.4,24.23,35.82,38.37,12.51,2.46,1.199462,95,24.23,14.96,10.98,-59.4,-12.64,1.040468,86
10-10-2025,NSE:MASON,ST,360.24,24460,3.22,6.76,202,1.97,-1.06,0,-0.54,-3.12,17.5,58.96,32.13,26.11,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,16,-3.37,-5.61,-5.61,-5.61,18.86,130.33,156.83,-4.25,18.07,46.72,27.86,25.44,1.195659,95,-4.25,21.72,37.52,-56.29,-5.1,1.072927,95
10-10-2025,NSE:FORTIS,EQ,71989.03,2180322,2.44,24.17,1060.3,-0.80,7.54,10.91,8.67,8.79,27.05,38.81,30.67,45.29,HVQ,HVQ,-1,HV2Y,-1,-1,-1,-1,-1,6,-1,-0.8,-0.8,-0.8,-0.8,38.68,63.24,82.43,7.66,27.62,26.57,26.4,44.62,1.193997,94,7.66,21.75,3.37,-4.21,24.86,1.067707,94
10-10-2025,NSE:RAMAPHO,BE,518.38,43627,5.78,8.86,160.79,-5.60,5.57,-0.09,13.21,11.51,19.21,44.21,36.18,38.92,-1,-1,-1,HV2Q,HV2Q,HV2Y,-1,-1,-1,-1,-1,-5.6,-5.6,-5.6,-5.6,22.36,84.41,97.8,10.38,19.78,31.97,31.91,38.25,1.192073,94,10.38,10.42,18.21,-5.31,8.05,1.057535,92
10-10-2025,NSE:V2RETAIL,EQ,6482.04,133296,5.39,109.54,2376.3,-2.83,6.46,18.84,22.08,32.8,17.34,26.49,27.11,44.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.83,-2.83,-2.83,-2.83,48.82,48.82,116.53,31.67,17.91,14.25,22.84,44.3,1.191953,94,31.67,-21.29,-1.66,9.92,28.27,1.071383,94
10-10-2025,NSE:LTF,EQ,61821.78,6081040,2.65,6.52,256.04,-1.61,-2.46,4.68,3.39,9.11,19.24,39.71,45.57,34.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-2.4,-2.4,-2.4,-2.4,30.8,66.98,95.61,7.98,19.81,27.47,41.3,33.52,1.191524,94,7.98,12.87,12.6,18.81,-17.15,1.052179,91
10-10-2025,NSE:MIRCELECTR,BE,797.86,2102103,4.41,1.22,25.77,4.97,-0.23,0.16,-10.98,-14.4,43.38,52.69,13.01,21.4,-1,-1,HV2Q,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-12.23,-12.58,-12.58,-12.58,80.21,112.17,148.86,-15.53,43.95,40.45,8.74,20.73,1.190375,94,-15.53,52.23,3.69,-74.78,13.4,1.094861,97
10-10-2025,NSE:TATAINVEST,EQ,37243.04,707853,7.76,678.83,9295,3.05,-7.61,9.93,19.28,27.27,28.46,34.26,28.09,30.8,HV2Y,HV2Q,-1,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-12.15,-12.15,-12.15,-12.15,42.1,60.09,78.05,26.14,29.03,22.02,23.82,30.13,1.189128,94,26.14,3.35,-4.63,-0.3,7.53,1.049905,90
10-10-2025,NSE:GALLANTT,EQ,15972.8,404233,3.9,25.69,657.35,-0.82,-1.94,-0.82,-2.09,-11.02,10.36,39.22,48.35,47.8,-1,-1,HV2Q,HV2Q,HV2Q,HV2Y,-1,-1,-1,-1,-1,-7.5,-16.25,-16.25,-16.25,14.33,65.12,118.32,-12.15,10.93,26.98,44.08,47.13,1.188474,94,-12.15,20.98,19.45,24.11,2.7,1.071395,94
10-10-2025,NSE:RAMCOSYS,EQ,1948.28,70813,5.94,30.16,565.65,-3.65,8.01,14.86,2.96,20.77,30.44,36.21,26.11,33.32,HVQ,HVQ,-1,EEP,EEP,EEP,-1,-1,8,-1,-1,-3.65,-3.65,-3.65,-3.65,48.95,59.61,105.99,19.64,31.01,23.97,21.84,32.65,1.18504,94,19.64,13.93,-4.44,-6.75,13.52,1.052029,90
10-10-2025,NSE:FEDFINA,EQ,5555.45,1250360,3.71,5.59,155.92,-1.55,0.6,4.26,4.7,9.47,26.31,45.07,34.56,28.23,-1,HV2Q,EEP,HV2Q,HV2Y,HV2Y,-1,-1,-1,5,-1,-4.08,-4.08,-4.08,-4.08,35.71,85.77,88.97,8.34,26.88,32.83,30.29,27.56,1.184705,94,8.34,20.33,12.72,-10.05,-5.92,1.048677,89
10-10-2025,NSE:HINDCOPPER,EQ,27462.52,10744099,5.1,16.08,344.55,-5.38,1.78,4.74,18.6,28.91,23.09,44.12,30.89,9.56,-1,HVY,-1,-1,-1,HV2Y,-1,3,-1,-1,-1,-5.38,-5.38,-5.38,-5.38,49.87,75.58,83.27,27.78,23.66,31.88,26.62,8.89,1.183964,94,27.78,-6.47,14.6,-14.59,-27.09,1.037706,85
10-10-2025,NSE:HBLENGINE,EQ,23256.66,3254284,3.87,32.3,882.5,0.80,4.04,7.08,2.74,1.74,29.44,44.69,31.55,33.65,-1,-1,EEP,HVQ,EEP,EEP,-1,-1,-1,-1,13,-2.96,-2.96,-2.96,-2.96,57.87,88.41,117.15,0.61,30.01,32.45,27.28,32.98,1.182953,94,0.61,29.92,8.86,-14.65,6.83,1.05879,92
