Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
25-09-2025,NSE:DEEPAKNTR,EQ,24755.34,3.03,2.23,1869.4,2.65,1.31,7.04,2.1,-4.03,-10.08,-38.91,-51.09,0,0,0,0,0,-1,-1,-1,-1,-1,-6.67,-12.11,-37.93,7.14,7.14,7.14,2.23,-2.84,-17.67,-41.96,-47.48,0.931458,14,1.56,-5.2,-14.5,-21.29,-1.88,0.967495,10
25-09-2025,NSE:SERVOTECH,EQ,2969.87,6.93,3.39,127.19,-1.84,-5.13,-8.26,-0.9,-17.82,0.09,-29.49,-37.32,0,0,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-14.85,-22.9,-37.25,4.85,11.45,14.48,-0.77,-16.63,-7.5,-32.54,-33.71,0.931255,14,-1.44,-15.72,6.53,-24.7,0.83,0.973555,16
25-09-2025,NSE:NOCIL,EQ,3035.68,4.16,2.44,181.02,-0.64,-0.65,-2.88,-0.01,-4.71,-5.56,-38.8,-51.81,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-9.7,-12.47,-40.42,4.78,9.24,9.24,0.12,-3.52,-13.15,-41.85,-48.2,0.931212,14,-0.55,-3.64,-9.49,-26.58,-2.49,0.967485,10
25-09-2025,NSE:PATELENG,EQ,3428.17,24.9,3.08,39.02,-2.74,-3.08,3.82,1.49,-5.61,-10.74,-35.96,-47.39,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-6.26,-15.08,-36.09,6.56,6.56,6.56,1.62,-4.42,-18.33,-39.01,-43.78,0.93101,13,0.95,-6.15,-13.53,-17.86,-1.53,0.968581,11
25-09-2025,NSE:ORIENTHOT,EQ,2460.92,3.14,2.61,134.83,-1.01,-5.23,-8.69,-2.74,-11.76,-10.76,-31.97,-24.25,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-18.52,-18.52,-31.78,0,5.27,5.27,-2.61,-10.57,-18.35,-35.02,-20.64,0.930686,13,-3.28,-7.71,-7.79,-14.23,12.72,0.97917,21
25-09-2025,NSE:UCOBANK,EQ,38947.87,80.48,2.46,30.5,-0.62,0.03,4.75,5.48,1.18,-23.74,-44.85,-55.77,0,0,0,0,0,-1,-1,-1,-1,-1,-8.59,-17.98,-40.27,7.5,7.5,7.5,5.61,2.37,-31.33,-47.9,-52.16,0.929522,13,4.94,-3.48,-33.9,-12.15,-0.66,0.967368,10
25-09-2025,NSE:OBEROIRLTY,EQ,60794.29,5.58,2.22,1620.1,-2.76,-2.26,0.52,-3.25,-22.77,-2,-38.74,-13.68,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-16.62,-19.56,-31.12,1.82,7.86,7.86,-3.12,-21.58,-9.59,-41.79,-10.07,0.929235,13,-3.79,-17.85,8.24,-31.11,24.95,0.988594,33
25-09-2025,NSE:TRIVENI,EQ,7949.28,3.88,2.72,350.1,2.06,-2.7,0.37,1.23,-12.21,-15.08,-29.65,-35.26,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-10.7,-24.29,-31.6,4.34,4.34,4.34,1.36,-11.02,-22.67,-32.7,-31.65,0.928453,13,0.69,-12.55,-11.24,-7.75,2.55,0.972656,15
25-09-2025,NSE:MTNL,EQ,1247.19,17.41,2.8,43.3,-1.81,-4.46,-3.63,-5.2,-22.66,-6.12,-21.04,-22.24,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-18.47,-21.65,-27.2,0.64,9.25,9.25,-5.07,-21.47,-13.71,-24.09,-18.63,0.928366,13,-5.74,-15.54,4.8,-9.15,5.89,0.979351,22
25-09-2025,NSE:NELCO,EQ,2066.21,1.74,3.5,860.25,-2.69,1.44,5.45,4.06,-22.86,1.38,-54.09,-26.68,HVQ,0,HVQ,2,HV2Y,-1,-1,-1,-1,-1,-13.17,-20.97,-39.27,10.45,13.28,19.12,4.19,-21.67,-6.21,-57.14,-23.07,0.928282,13,3.52,-27,11.05,-51.35,24.67,0.985356,29
