Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
02-01-2026,NSE:WEL,EQ,1994.04,153.75,322477,495.80839,4.94,4.75,6.72,,1.63,0.7,8.68,-11.82,-15.51,1.69,16.29,-4.25,-11.41,-6.67,18.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.4,-2.57,-1.14,-2.69,-3.73,-0.14,-3.86,0,33.33,20.63,10.32,0,9.52,12.7,6.35,-13.32,-14.46,-15.4,-22.42,-22.42,-13.32,-1.19,-29.98,-19.12,-13.56,-1.48,19.78,22.73,22.73,73.48,9.51,41.76,2.74,28.95,94.04,85.78,-17.1,11.43,-6.54,-22.86,-13.9,0.9637,46,-13.32,30.28,-25.05,6.43,,,,-17.1,24.21,-21.84,-16.25,9.03,1.001499,67
02-01-2026,NSE:LGEINDIA,EQ,104069.38,1483.4,1078103,15992.5799,2.31,2.31,5.52,S,-0.09,-2.62,-2.62,-5.91,-8.51,-11.16,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.61,-1.76,-4.29,-3.55,-7.58,,,0,0,0,0,0,0,0,0,-7.61,NA,NA,NA,NA,-7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-10.1,0,0,0,0,0.96359,46,-7.61,,,,,,,-10.1,96.68,2.7,-9.38,4.77,0.980726,38
02-01-2026,NSE:FILATEX,EQ,2220.29,49.55,1468838,727.80923,4.14,4.05,4.87,2M,1.06,1.07,-0.52,-5.15,-3.33,-30.92,-3.94,-20.08,23.85,-22.64,-27.65,-1,-1,-1,2,EP,EP,EP,EP,EP,-1,-1,-1,-1,-1,0.1,-2.01,-1.88,-7.5,-8.72,4.17,-4.75,0,0,4.76,17.46,0,0,1.59,2.38,-6.97,-23.62,-23.62,-23.62,-30.55,-6.97,-21.07,-17.44,-16.61,-47.12,-14.83,2.61,2.61,39.42,39.42,2.61,2.94,44.91,67.42,5.66,19.63,-4.92,-8.8,-22.37,12.4,-29.87,0.963569,46,-1.57,-5.24,36.79,-5.15,,,,-4.92,-3.91,-12.83,27.21,-56.3,0.995918,60
02-01-2026,NSE:GOLDIAM,EQ,4098.92,364.55,544831,1986.18141,2.45,2.45,4.76,3L,0.48,1.07,0.52,-2.15,-4.29,-3.57,-4.9,6.32,-2.99,-3.1,51.42,-1,-1,-1,-1,HVQ,HVQ,EP,HVQ,EP,-1,-1,-1,-1,-1,0.27,-0.98,-0.7,-0.99,-1.67,0.9,-0.78,0,0,0,7.14,0,0,0,0,-4.07,-9.44,-12.48,-32.81,-32.81,-4.07,-8.73,-8.2,-37.06,-30.8,-13.97,3.43,9.99,33.8,144.5,3.43,7.69,40.36,25.34,151.81,152.08,-5.88,-9.76,4.03,-14.44,-10.33,0.96353,46,-4.07,-5.45,1.04,-6.74,,,,-5.88,-3.9,13.4,-19.32,4.66,0.987096,47
02-01-2026,NSE:JYOTICNC,EQ,22512.61,993.95,734282,7298.39594,3.43,3.45,4.58,,0.10,1.07,7.79,3.38,3.28,11.8,11.68,-5.78,-6.5,-37.95,18.77,-1,-1,-1,-1,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,-1,1.42,0.87,2.31,1.73,4.11,-6.97,-2.67,0,0,0,0,0,0,0,0,0,-4.59,-7.56,-28.06,-30.78,0,-7.72,-33.13,-26.78,-26.28,-4.51,15.04,16.95,28.96,28.96,9.03,13.11,3.29,36.41,49.01,93.01,1.69,6.82,-8.07,-17.95,-45.18,0.963418,46,3.35,7.26,-18.15,-11.33,,,,1.69,5.36,-17.06,-10.06,-24.76,0.974585,30
02-01-2026,NSE:STARCEMENT,EQ,9402.97,222.51,214851,478.06496,2.33,2.33,2.82,,0.15,-1.47,3.04,1.56,0.16,-16.74,-13.61,2.71,3.37,-0.96,-2.18,-1,-1,-1,-1,EP,EP,EP,EP,-1,-1,-1,-1,-1,-1,-0.14,-0.33,-0.47,-3.6,-3.93,-2.16,-5.96,0,0,0,18.25,0,0,0,11.9,-2.31,-16.71,-25.52,-25.52,-25.52,-2.31,-25.64,-15.38,-8.78,-12.15,-8.21,3.13,5.71,11.33,28.91,3.13,0,20.95,25.41,24.57,30.15,-1.43,-18.47,0.42,-8.08,-8.19,0.963397,46,0,-25.64,17.34,6.13,,,,-1.43,-17.11,17.07,-8.71,0.29,0.987575,48
02-01-2026,NSE:BELLACASA,EQ,504.78,379.5,12094,45.89673,4.29,4.21,17.15,2M,4.86,2.02,0.38,-4.24,-4.6,-16.09,-3.75,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.37,-2.19,-0.8,-6.49,-6.84,,,0,0,11.11,8.7,0,0,7.94,6.96,-5.94,-19.55,NA,NA,NA,-5.94,-15.85,NA,NA,NA,NA,4.86,NA,NA,NA,4.86,4.69,NA,NA,NA,NA,-6.19,-8.61,0,0,0,0.963384,46,-5.94,-3.79,,,,,,-6.19,-2.51,102.7,-9.38,4.77,0.986004,45
02-01-2026,NSE:INDIQUBE,EQ,4221.23,210.03,86022,180.67201,3.58,3.53,16.27,,0.16,2.39,2.37,7.41,1.15,-2.01,-10.11,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.64,-0.01,1.63,-2.57,-0.91,,,0,0,1.59,20.56,0,0,1.59,10.28,0,-9.99,NA,NA,NA,0,-12.74,NA,NA,NA,NA,8.47,NA,NA,NA,8.47,1.84,NA,NA,NA,NA,-0.44,-14.97,0,0,0,0.963379,46,2.26,-11.67,,,,,,-0.44,-14.71,102.7,-9.38,4.77,0.979222,36
02-01-2026,NSE:ATULAUTO,EQ,1223.83,464.1,233155,1082.07236,3.3,3.32,6.2,L,-2.05,5.72,8.27,6.46,2.65,-3.28,-5.62,2.54,4.84,-22.23,-13.73,-1,-1,-1,EP,EP,-1,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,3.8,0.38,4.2,-2.45,1.7,-2.54,-0.81,0,0,0,5.56,0,0,0,1.59,-2.05,-10.72,-13.86,-20.37,-41.97,-2.05,-16.14,-9.01,-32.48,-44.77,-29.07,9.02,9.23,11.87,11.87,9.02,3.91,15.37,9.03,6.46,18.44,1.06,-10.48,0.25,-6.61,-29.46,0.963247,46,3.29,3.91,-2.95,-29.03,,,,1.06,-11.82,10.43,-7.03,-23.67,0.977017,34
02-01-2026,NSE:INDHOTEL,EQ,105262.81,748.65,2906677,21760.83736,1.82,1.82,2.94,,1.36,1.21,3.56,2.62,1.88,0.2,3.39,-0.98,-5.2,-18.83,24,-1,-1,-1,-1,2,EP,EP,EP,EP,-1,-1,-1,-1,-1,1.44,0.46,1.91,0.63,2.56,-3.83,-1.23,0,0,0,0.79,0,0,0,0.79,0,-0.13,-7.21,-14.88,-15.85,0,-7.11,-14.11,-15.02,-11.48,0,8.3,8.3,8.3,41.17,4.97,6.26,1.89,15.76,48.51,67.76,0.29,-1.47,-3.27,-16.65,-26.06,0.963131,46,2.62,-5.08,-10.24,6.43,,,,0.29,-1.77,-1.83,-13.55,-8.19,0.979,36
