Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
09-12-2025,NSE:HERANBA,EQ,1060.36,238.4,34437,82.09781,3.15,3.1,4.95,L,0.13,-5.18,-5.68,-10.72,-17.09,-24.37,-39.41,-19.69,2.53,-105.18,-29.32,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-3.95,-4.09,-7.72,-9.39,-15.64,-4.12,-18.98,0,0,0,22.22,0,0,0,11.11,-14.24,-28.35,-39.76,-51.48,-56.2,-14.24,-25.77,-16.02,-47.57,-57.31,-10.13,0.13,0.13,13.36,13.36,0.13,0,58.04,35.69,1.19,72.45,-16.75,-42.12,-20.48,-12.77,-106.95,0.877496,10,-13.7,-20.05,41.17,-42.24,,,-16.75,-22.1,16.12,3.94,-94.54,0.950593,9
09-12-2025,NSE:RCOM,BE,359.52,1.17,3719979,43.52375,4.7,4.78,2.45,S,-0.85,-6.84,-3.42,-13.68,-1.71,-20.51,-17.09,-34.19,-67.52,-53.85,-15.38,-1,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-3.59,-2.39,-5.84,-5.97,-11.15,-23.2,-27.88,0,0,0,0,0,0,0,0,-12.69,-20.41,-40,-54.65,-54.65,-12.69,-35.33,-46.9,-39.15,-14.78,-21.74,0,0,0,11.43,0,0,8.73,11.35,86.67,71.43,-1.37,-19.8,-34.98,-82.82,-55.62,0.877488,10,-5.65,-24.2,-26.74,-7.65,,,-1.37,-18.17,-12.62,-39.47,24.13,0.953422,10
09-12-2025,NSE:GANESHBE,EQ,615.51,78.68,82052,64.55851,3.78,3.79,4.27,2L,0.22,-6.48,-3.74,-8.83,-4.33,-11.9,-21.84,-38.05,-29.17,-77.47,-141.93,-1,-1,-1,-1,HV2Q,HVQ,-1,-1,-1,-1,-1,-3.42,-1.78,-5.11,-3.34,-8.18,-17.74,-22.02,0,0,0,0,0,0,0,0,-9.39,-18.14,-28.31,-47.07,-58.53,-9.39,-17.86,-26.39,-35.8,-46.61,-26.65,0.22,0.22,0.22,0.22,0.22,0,10.16,6.88,0,7.96,-3.99,-24.55,-38.84,-44.47,-79.24,0.877438,10,-6.53,-7.35,-8.69,-34.3,,,-3.99,-19.81,-11.33,-8.19,-21.42,0.946064,7
09-12-2025,NSE:ACI,EQ,7472.93,499.15,136722,682.44786,2.96,2.98,9.79,3L,1.29,-2.06,-6.47,-19.65,-26.3,-32.18,-38.29,-30.12,-2.72,-39.91,-35.48,-1,-1,-1,EEP,-1,EEP,-1,-1,-1,-1,-1,-2.75,-5.76,-8.04,-12.34,-18.14,-1.28,-19.18,0,0,20.63,24.6,0,0,15.87,15.08,-21.33,-30.25,-30.25,-30.25,-39.2,-21.33,-11.9,-1.65,-11.28,-37.55,-14.94,1.29,1.29,19.64,19.64,1.29,1.6,37.02,55.68,22.9,17.05,-25.96,-41,-30.91,-18.02,-41.68,0.877048,10,-20.01,0.5,29.89,-11.28,,,-25.96,-12.53,7.88,6.42,-20.23,0.965788,21
09-12-2025,NSE:APTECHT,EQ,603.23,100.62,136060,136.90357,3.25,3.23,4.87,2L,2.65,-1.54,-0.96,-3.09,-4.03,-18.48,-31.83,-52.07,-9.82,-74.01,-140.46,-1,-1,-1,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-0.77,-1.95,-2.67,-5.88,-8.08,-20.19,-23.52,0,0,0,0,0,0,0,0,-5.59,-24.31,-36.32,-49.25,-61.14,-5.59,-21.71,-22.8,-34.84,-57.32,-32.37,2.65,2.65,2.65,2.65,2.65,0,19.04,38.47,0,8.76,-3.69,-34.54,-52.86,-25.12,-75.78,0.876946,10,-5.59,-18.09,4.06,-34.59,,,-3.69,-29.76,-13.37,13.15,-42.48,0.956961,13
09-12-2025,NSE:JUNIPER,EQ,5540.31,228.11,175628,400.62503,3.02,2.98,7.02,3L,1.35,-3.45,-4.62,-7.4,-16.28,-20.99,-30.95,-34.69,-7.71,-62.75,-122.83,-1,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-2.67,-3.03,-5.53,-7.29,-11.95,-8.77,-19.05,0,0,0,3.17,0,0,0,0,-8.41,-25.64,-30.11,-40.58,-56.33,-8.41,-13.53,-8.79,-23.27,-52.96,-28.93,1.35,1.35,1.35,1.35,1.35,2.1,19.41,32.18,5.7,19.22,-15.94,-33.66,-35.48,-23.01,-64.52,0.876899,10,-6.4,-4.33,10.53,-22.7,,,-15.94,-15.65,-0.88,5.4,-35.13,0.956438,12
09-12-2025,NSE:KABRAEXTRU,EQ,768.7,230.19,31025,71.41645,4.39,4.32,16.37,,4.61,-2.43,-3.04,-1.45,-0.34,-11.15,-21.2,-22.53,-41.06,-123.49,-37.32,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-0.62,-0.85,-1.46,-3.11,-4.43,-14.88,-16.81,0,0,0,0,0,0,0,0,-3.51,-19.81,-28.89,-59.93,-59.93,-3.51,-20.05,-21.82,-50.9,-43.47,-4.52,5.35,5.35,5.35,5.35,5.35,0.06,13.25,14.49,10.42,74.95,0,-23.91,-23.32,-56.36,-125.26,0.876383,10,1.28,-11.96,-20.41,-30.67,,,0,-23.83,0.89,-29.75,-42.47,0.931932,4
09-12-2025,NSE:HEUBACHIND,EQ,1107.93,438.7,12899,56.58791,2.83,2.78,9.74,L,-0.45,-2.66,-7.11,-8.68,-14.26,-20.67,-35.5,-33.59,-30.01,-24.8,-3.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.86,-3.42,-5.1,-7.73,-11.9,-13.44,-22.34,0,0,0,1.59,0,0,0,1.59,-11.22,-26.53,-26.93,-26.93,-35.18,-11.22,-16.05,-0.99,-13.4,-15.72,-19.1,0.83,0.83,0.83,21.88,0.83,1.96,3.9,12.97,58.45,52.1,-13.92,-38.21,-34.38,-45.31,-26.57,0.876224,10,-11.22,-15.19,3.9,2.73,,,-13.92,-21.63,3.39,-11.95,19.98,0.965356,21
09-12-2025,NSE:DBREALTY,EQ,7570.43,117.32,1144118,1342.27924,4.29,4.2,3.02,L,1.00,-8.3,-14.24,-21.87,-21.55,-31.19,-48.49,-60.77,10.39,-35.7,-52.36,-1,HVQ,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-6.06,-5.67,-11.1,-10.43,-19.5,-9.61,-26.55,0,0,0,19.84,0,0,0,6.35,-23.18,-34.73,-45.52,-45.52,-45.52,-23.18,-23.16,-19.1,-0.62,-48.61,-22.17,1,1,15.21,15.21,1,0,71.08,85.23,2.18,20.46,-21.21,-51.2,-61.56,-4.91,-37.47,0.876044,10,-17.69,-21.39,59.73,13.44,,,-21.21,-25.21,-6.29,29.64,-35.47,0.98612,46
09-12-2025,NSE:BFUTILITIE,BZ,2565.35,583.75,53460,312.07275,3.74,3.74,10.22,L,0.19,-4.15,-10.96,-17.27,-16,-39.74,-36.21,-34.58,-5.58,-60.38,-40.15,-1,-1,HV2Y,HV2Q,HVQ,-1,-1,-1,-1,-1,-1,-4.56,-4.75,-8.88,-11.54,-18.31,-3.92,-21.4,0,0,11.11,7.94,0,0,0,0,-15.87,-31.94,-31.94,-44.79,-47.51,-15.87,-21.05,-6.67,-29.37,-44.58,-15.82,0.19,0.19,0.19,0.19,0.19,0,35.64,34.02,2.18,34.02,-15.66,-38.92,-35.37,-20.88,-62.15,0.875863,9,-11.67,-7.42,22.13,2.58,,,-15.66,-20.47,3.18,6.91,-35.92,0.957487,14
09-12-2025,NSE:AVADHSUGAR,EQ,745.79,355.95,24648,87.73456,2.76,2.73,3.54,L,2.56,-4.64,-7.07,-6.22,-13.47,-23.28,-24.85,-53.67,-6.91,-70.56,-56.13,-1,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-2.34,-3.27,-5.43,-7.34,-11.9,-13.35,-22.28,0,0,0,0,0,0,0,0,-8.68,-20.63,-35.32,-41.75,-56.32,-8.68,-11.45,-22.25,-32.88,-53.3,-25.5,2.56,2.56,2.56,2.56,2.56,0,16.66,48.72,3.47,19.47,-13.13,-27.56,-54.46,-22.21,-72.33,0.874743,9,-8.68,-6.96,14.12,-25.43,,,-13.13,-13.07,-21.11,15.8,-43.56,0.961426,17
09-12-2025,NSE:PIGL,BE,281.15,134.97,65594,88.53222,5,4.89,6.8,L,-4.05,-10.6,-10.68,-14.14,-11.57,-29,-17.06,-21.8,-23.83,-139.68,50.06,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-6.78,-2.24,-8.82,-6.17,-14.12,1.81,-12.53,0,0,20.63,10.32,0,0,6.35,3.17,-14.64,-25.37,-25.37,-67.63,-67.63,-14.64,-16.74,-15.12,-60.57,-59.91,-3.22,0,20.12,20.12,114.41,0,15.66,40.62,26.73,194.52,470.04,-11.23,-19.77,-22.59,-39.13,-141.45,0.874315,9,-7.95,14.95,-8.47,-9.18,,,-11.23,-7.96,-2.07,-16.3,-77.58,0.934043,4
