Symbol,Series,Date,Mkt Cap (₹ Crores),ExchangeTried,Avg_Vol,Price_1D,Price_1M,Price_3M,Price_6M,Price_9M,Price_12M,RS,RS_score
NACLIND,BE,31-08-2025,5595.46,NSE,3.19,277.85,293.25,176.68,59.89,50.11,58.349998,2.0657434295598116,99
CCCL,EQ,31-08-2025,820.25,NSE,11.48,18.37,16.84,20.17,13.2,18.1,1.3,2.0230187834692734,99
BGRENERGY,BE,31-08-2025,1239.88,NSE,5.77,171.82,100.99,112.05,96.02,37.7,54.299999,1.6990721197623286,99
UNITEDPOLY,BE,31-08-2025,732.84,NSE,2.99,31.93,27.65,16.56,15.68,13.686,9.1389999,1.531566924769526,99
APOLLO,EQ,31-08-2025,8738.55,NSE,161.22,262.79,177.77,188.92,115.75,94.29,105,1.4906782994323027,99
GABRIEL,EQ,31-08-2025,16510.43,NSE,5.31,1152.4,1026.1,658.55,480.25,434.25,538.5,1.4635543424643145,99
IZMO,BE,31-08-2025,1003.78,NSE,6.74,671.35,385.05,310.05,296.7,476.7,417.60001,1.4321169351387877,99
GARUDA,EQ,31-08-2025,2019.01,NSE,21.61,216.33,187.15,114.55,108.27,95.34,105,1.4101433448461707,99
JSLL,EQ,31-08-2025,8800.49,NSE,3.5,708.15,555.2,426.45,357.65,386.22,267.87,1.4006497361733834,99
CUPID,EQ,31-08-2025,4573.34,NSE,51.03,172.29,150.92,108.22,68.45,83.14,86.980003,1.3935046441017975,99
MANGCHEFER,EQ,31-08-2025,4079.29,NSE,5.16,345.55,353.75,264.56,145.38,149,133.07001,1.392700662898067,99
MEGASOFT,BE,31-08-2025,984.09,NSE,2.06,133.4,109.24,83.91,61.64,69.08,56.23,1.3893078057258652,99
BLACKBUCK,EQ,31-08-2025,11443.15,NSE,46.27,636.75,468.4,440.1,420.8,253.15,280.9,1.374939444850942,99
PARADEEP,EQ,31-08-2025,17796.34,NSE,99.58,217.42,216.24,172.28,88.1,104.61,86.589996,1.3711999209539434,99
LUMAXTECH,EQ,31-08-2025,7981.95,NSE,2.3,1174.7,1072.6,811.55,559.6,512.8,543.79999,1.3656078220596002,98
CARTRADE,EQ,31-08-2025,11389.08,NSE,4.56,2398,2084.7,1553,1471.3,1341.2,875.04999,1.3430033840291653,98
ZUARI,EQ,31-08-2025,1526.71,NSE,31.37,361.7,248.01,209.03,192.83,222.74,203.77,1.3395531198559325,98
MIRCELECTR,BE,31-08-2025,768.41,NSE,41.4,27.76,16.76,13.90904082,14.30803265,19.36502214,28.22635235,1.3270727842257937,98
COMSYN,EQ,31-08-2025,578.51,NSE,3.19,143.7,134.21,109.43,70.92,68.36,67.650002,1.320114424317202,98
AIIL,EQ,31-08-2025,54775.04,NSE,2.52,3232.9,2825.6,2379.2,1528.9,1569.1,1772.4,1.3165579050343081,98
IXIGO,EQ,31-08-2025,10536.99,NSE,48.34,270.38,231.36,176.28,140.29,140.03,165.94,1.2991640215751268,98
SHAILY,EQ,31-08-2025,10215.82,NSE,3.31,2232,1662,2016.8,1461.6,1102.2,963.59998,1.2922976847469747,98
GODFRYPHLP,EQ,31-08-2025,57063.33,NSE,6.49,11003.5,8942.5,8702.5,5786.35,5771.6,5686.1499,1.291759778910843,98
DATAMATICS,EQ,31-08-2025,5966.49,NSE,5.23,1010.35,938.3,604.9,601.45,552.3,561,1.2870602134441549,97
QPOWER,EQ,31-08-2025,6080.91,NSE,8.37,784.1,789.55,481.9,430,430,430,1.2849424302192163,97
YATRA,EQ,31-08-2025,2369.43,NSE,88.33,151.26,92.71,99.91,77.8,103.77,136.74001,1.2753487163290629,97
STALLION,EQ,31-08-2025,1170.05,NSE,23.2,148.88,121.9,78.12,73.16,120,120,1.2720895604267797,97
ROSSTECH,EQ,31-08-2025,2540.74,NSE,2.82,671.85,576.6,377,297.5,559.7,559.7,1.2625935679454463,97
FLYSBS,SM,31-08-2025,1117.82,NSE,5.32,647.1,427.5,427.5,427.5,427.5,427.5,1.2583556646733818,97
TFCILTD,EQ,31-08-2025,2782.49,NSE,13.66,301.05,275,227.33,153.35,176.75,182.28,1.2485577866358746,97
PAYTM,EQ,31-08-2025,76885.64,NSE,69.69,1207,1073.1,890.45,766.15,886.6,530.40002,1.2391668169808459,97
