Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Off_3M_peak,Off_6M_peak,Off_12M_peak,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
14-09-2025,NSE:LIQUIDBEES,EQ,11725.56,28.1,0.06,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,-2.68,-1.22,-12.61,0.54,1.34,0.984105,44,-2.68,1.5,-11.52,15.04,0.8,0.999042,49
14-09-2025,NSE:LIQUIDIETF,EQ,1663,5.51,0.01,999.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,-2.68,-1.22,-12.61,0.54,1.34,0.984104,44,-2.68,1.5,-11.52,15.04,0.8,0.999041,49
14-09-2025,NSE:LIQUID,EQ,461.06,1.47,0.03,999.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,-2.68,-1.22,-12.61,0.54,1.34,0.984104,44,-2.68,1.5,-11.52,15.04,0.8,0.999041,49
14-09-2025,NSE:LIQUIDETF,EQ,469.43,1.27,,999.99,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,,,-2.68,-1.22,-12.61,0.54,1.34,0.984101,43,-2.68,1.5,-11.52,15.04,0.8,0.99904,49
14-09-2025,NSE:MAMATA,EQ,1022.45,12.03,3.92,450,10.23,8.54,6.36,5.22,22.18,-33.33,-33.33,-14.41,-14.41,-28.57,3.68,4,9.57,-32.79,-31.99,0.98379,43,3.68,0.29,6.37,-56.29,0.8,0.988675,35
14-09-2025,NSE:TOP10ADD,EQ,715.13,1.86,0.91,95.28,1.87,1.55,0.85,-2.58,6.44,-1.71,-3.95,-5.61,-5.61,-12.97,-1.83,-3.8,-6.17,-1.17,-2.61,0.983743,43,-1.83,-1.96,-2.72,6.32,-1.4,0.995748,45
14-09-2025,NSE:LT,EQ,495872.01,13.58,1.44,3579.8,0.73,-0.59,-2.97,-0.21,11.23,-9.59,0.04,-3.08,-3.08,-9.31,-5.65,-1.43,-1.38,-9.05,1.38,0.983686,43,-5.65,4.18,-0.1,-8.42,9.59,1.000757,52
14-09-2025,NSE:PNBGILTS,EQ,1732.6,5.93,3.18,98.84,1.17,2.50,-2.59,4.02,23.65,-21.59,-23.98,-14.36,-14.36,-21.78,-5.27,2.8,11.04,-21.05,-22.64,0.98326,43,-5.27,7.94,8.94,-44.22,-1.16,0.992998,41
14-09-2025,NSE:RTNINDIA,EQ,8433.23,164.38,4.91,56.47,-9.74,-8.66,10.43,-5.86,26.58,-28.56,-38.59,-14.67,-14.67,-31.83,7.75,-7.08,13.97,-28.02,-37.25,0.98311,43,7.75,-16.69,19.13,-60.07,-7,0.990077,37
14-09-2025,NSE:PVRINOX,EQ,11047.5,4.27,2.96,1120.8,-2.28,0.08,2.74,14.83,16.01,-33.15,-39.76,-2.22,-2.22,-35.59,0.06,13.61,3.4,-32.61,-38.42,0.982968,43,0.06,13.93,-10.14,-43.48,-4.17,0.985695,31
14-09-2025,NSE:RAJESHEXPO,EQ,5175.61,4.98,3.44,197.91,8.65,11.52,9.74,2.45,20.09,-22.45,-46.58,-4.4,-6.84,-33.17,7.06,1.23,7.48,-21.91,-45.24,0.982867,43,7.06,-6.58,6.57,-38.21,-18.9,0.979779,24
14-09-2025,NSE:CHAMBLFERT,EQ,21715.26,12.39,2.81,539.25,-2.62,-0.16,0.48,-1.89,-6.45,0.45,6.55,-5.35,-25.79,-25.79,-2.2,-3.11,-19.06,0.99,7.89,0.982759,43,-2.2,-0.89,-16,21.53,6.92,1.003941,56
14-09-2025,NSE:HEXT,EQ,45674.64,8.12,3.82,758.2,4.87,0.06,6.83,-9.70,-2.74,1.68,1.68,-14.9,-14.9,-14.9,4.15,-10.92,-15.35,2.22,3.02,0.982677,43,4.15,-16.24,-5.17,19.33,0.8,0.999226,49
14-09-2025,NSE:RCF,EQ,8220.15,27.04,3.12,152.2,-3.42,2.15,4.36,-3.40,21.30,-17.23,-22.85,-5.71,-7.25,-20.55,1.68,-4.62,8.69,-16.69,-21.51,0.982585,43,1.68,-6.62,12.37,-33.92,-3.99,0.99064,38
