Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
18-11-2025,NSE:MVKAGRO,ST,990.82,652.4,101058,659.30239,1.75,3.04,1.92,,1.99,3.41,20.69,16.32,12.65,55.99,86.85,94.05,93.26,NA,-1,-1,-1,-1,HV2Q,-1,-1,-1,10,-1,-1,5.98,5.07,11.64,11.51,26.17,56.92,192.85,0,0,0,0,0,0,-0.09,-0.09,-0.09,-0.09,NA,-0.09,0,0,0,-53.22,NA,122.78,645.6,1916.69,NA,26.09,185.93,787.64,165.22,10.7,NA,11.56,51.19,82.83,83.75,88.08,4.07191,99,14.49,185.93,676.08,61.43,,,11.56,45.86,70.94,48.24,-7.69,1.432733,99
18-11-2025,NSE:GRETEX,SM,303.92,196,17535,34.3686,0.44,3.52,1.48,,-0.51,3.06,-9.97,-13.27,-28.01,-32.02,57.93,95.03,92.53,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.66,-5.14,-7.42,-6.12,-12.75,40.85,47.49,0,0,0,0,0,0,-24.62,-24.62,-29.05,-29.05,NA,-24.62,-9.18,-6.33,0,-60.37,NA,3.16,126.46,3669.23,NA,3.16,71.61,2436.76,1485.58,87.5,NA,-29.1,-36.82,53.91,84.73,87.35,3.571653,99,-24.62,71.61,2436.76,488.93,,,-29.1,-6.88,68.96,81.63,-44.55,1.769834,99
18-11-2025,NSE:BGRENERGY,BE,2979.55,413.95,361018,1494.43401,5.92,6.46,28.32,M,0.52,3.14,-3.9,-1.91,7.1,72.86,71.88,70.1,90.31,88.83,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,9,-1,1.04,3.02,4.19,16.56,24.87,50.59,152.7,0,0,0,0,0,0,-11.44,-11.44,-11.44,-11.44,-11.44,-11.44,0,-10.83,-19.73,-14.65,-53.04,234.94,327.59,1066.06,1089.51,6.24,297.25,57.37,234.17,255.63,15.23,6.01,68.06,67.86,59.8,85.13,2.411658,99,2.51,276.93,-7.35,177.12,,,6.01,67.03,-2.77,-12.87,73.31,1.449587,99
18-11-2025,NSE:CUPID,EQ,8255.36,313.66,3631360,11390.12378,5.6,5.57,4.57,,1.66,19.27,22.03,24.3,19.07,46.46,69.78,76.92,73.25,61.9,-1,-1,-1,HV2Y,HV2Q,-1,-1,-1,-1,8,-1,10.57,6.56,18.33,11.48,33.67,42.57,132.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-6.14,-47.02,-38.61,88.02,247.93,445.5,445.5,34.28,89.92,192.03,64.85,5.94,13.69,17.98,41.66,65.76,66.62,68.07,1.7913,99,24.5,89.92,139.99,-6.14,,,17.98,30.1,44.37,17.08,-10.16,1.168814,99
18-11-2025,NSE:AKIKO,ST,313.5,294.6,26800,78.9528,3.56,4.32,6,,1.20,5.26,9.71,5.5,18.53,56.08,72.05,70.23,72.88,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,15,-1,4.35,3.49,8.12,6.9,16.13,48.33,124.74,0,0,0,0,0,0,0,0,0,0,NA,0,-12.49,-3.32,-10.88,-6.05,NA,139.51,332.92,333.24,NA,22.75,252.68,90.29,29.89,38.33,NA,17.44,51.28,68.03,59.93,67.7,1.776213,99,22.75,228.99,42.51,7.3,,,17.44,42.33,37.18,-13.04,14.6,1.178284,99
18-11-2025,NSE:APRAMEYA,SM,628.13,331.6,27690,91.82004,4.76,5.28,2.47,,0.44,17.88,15.33,17.67,20.69,51.75,58.97,64.94,81.68,NA,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-1,15,9.96,4.53,15.18,4.89,21.11,37.47,93.68,0,0,0,0,0,0,0,0,0,0,NA,0,-9.31,-11.31,0,-3.97,NA,105.96,129.48,452.67,NA,29.28,73.03,77.29,142.95,107.59,NA,19.6,46.95,54.95,54.64,76.5,1.744427,99,25.99,55.85,40.41,,,,19.6,35.41,15.79,8.01,53.45,1.202744,99
18-11-2025,NSE:MAHASTEEL,BE,1275.64,760.7,56648,430.92134,3.79,3.91,5.44,,-2.00,3.88,20.88,21.87,26.59,54.65,64.99,72.12,71.08,86.68,-1,-1,HVY,HVQ,-1,-1,-1,-1,3,-1,-1,4.64,8.58,14.46,20.39,43.77,33.84,117.3,0,0,0,0,0,0,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-2.42,-6.24,-3.53,-5.55,-2.06,129.47,183.84,311.12,691.57,36.19,69.93,54.92,125.03,120.73,128.89,25.5,49.85,60.97,61.82,65.9,1.725069,99,35.67,52.24,54.92,124.03,,,25.5,34.48,23.62,13.81,2.01,1.159328,99
18-11-2025,NSE:SOMATEX,BE,458.93,141.7,38616,54.71887,2.78,5.73,9.75,S,1.99,10.85,-3.23,19.1,34.93,44.34,67.26,72.91,68.09,78.62,-1,-1,-1,HV2Q,HVQ,HV2Y,-1,-1,-1,-1,-1,6.47,6.94,14.41,22.11,46.88,33.58,121.14,0,0,0,0,0,0,-7.74,-7.74,-7.74,-7.74,-7.74,-7.74,-12.01,-24.74,-29.5,-41.67,-12.37,117.77,235.62,287.37,370.76,57.58,41.71,115.61,38.35,60.92,89.56,33.84,39.54,63.24,62.61,62.91,1.698745,99,57.58,6.93,106.14,36.76,,,33.84,10.72,42,10.73,-12.09,1.147689,99
18-11-2025,NSE:TAKE,BE,428.86,29.37,993559,291.80828,4.43,6.13,14.78,,1.00,15.15,22.57,19.34,33.33,67.52,66.73,60.44,39.5,12.5,-1,-1,HV2Q,HVQ,-1,HVQ,-1,-1,8,-1,-1,10.72,9.7,22.61,27.07,68.14,34.34,156.06,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.46,-56.15,-60.54,-39.66,193.41,252.58,339.01,339.01,42.92,117.56,42.6,46.04,1.04,3.55,32.24,62.72,62.71,50.14,34.32,1.638698,99,42.92,100.41,-13.51,-48.77,,,32.24,47.53,-1.59,-25.48,-47.22,1.143401,99
18-11-2025,NSE:INDOTHAI,BE,5143.69,444.15,949382,4216.68015,4.24,5.21,4.78,,5.00,16.05,12.53,17.46,-1.87,61.08,58.9,52.82,76.02,93.07,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,-1,-1,10.75,3.52,14.8,16.37,37.27,31.76,101.16,0,0,0,0,0,0,-1.21,-1.83,-1.83,-1.83,-1.83,-1.21,0,-18.47,-13.04,-0.19,-2.22,200.22,200.22,324.62,1680.52,21.52,205.83,1.77,631.85,740.01,326.96,-2.96,56.28,54.88,42.52,70.84,1.613865,99,-1.21,121.19,-15.74,570.93,,,-2.96,58.05,-4.8,-21.32,54.88,1.247049,99
