Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:SHALBY,EQ,2100.25,7.83,3.31,219.45,11.56,5.75,17.52,15.56,-8.86,-23.67,5.62,18.99,2.72,-8.02,-19.59,1.0210893367963096,62
07-09-2025,NSE:BDL,EQ,52785,17.58,3.28,1443.4,0.53,-9.92,-33.96,32.12,20.17,9.67,-10.05,-32.49,19.28,21.01,13.75,1.0208387104200678,62
07-09-2025,NSE:KEI,EQ,36329.1,2.26,2.54,4037.7,5.62,5.47,7.18,22.30,-7.49,-11.75,5.34,8.65,9.46,-6.65,-7.67,1.0203033357695523,62
07-09-2025,NSE:SUPREMEIND,EQ,56946.15,1.56,2.51,4577.7,2.33,6.76,5.07,22.83,-4.05,-15.85,6.63,6.54,9.99,-3.21,-11.77,1.0202093742981289,62
07-09-2025,NSE:RTNPOWER,EQ,6632.08,257.29,3.49,12.49,1.60,-1.28,10.41,30.02,-8.33,-26.82,-1.41,11.88,17.18,-7.49,-22.74,1.0201623654289258,62
07-09-2025,NSE:APOLLOTYRE,EQ,29376.59,11.63,2.93,482.8,4.27,8.90,2.40,19.78,-8.01,-3.43,8.77,3.87,6.94,-7.17,0.65,1.0201537080711596,62
07-09-2025,NSE:CENTURYPLY,EQ,16616.32,1.08,3,803.8,7.14,6.74,1.82,10.72,4.88,1.90,6.61,3.29,-2.12,5.72,5.98,1.0200598067171402,62
07-09-2025,NSE:NRBBEARING,EQ,2735.64,1.29,3.37,281.6,-0.16,0.07,4.81,30.11,-8.82,-14.60,-0.06,6.28,17.27,-7.98,-10.52,1.0197263663599507,62
07-09-2025,NSE:AGARWALEYE,EQ,13626.43,3.01,4.72,425.5,-1.63,-7.96,13.54,7.92,5.52,5.52,-8.09,15.01,-4.92,6.36,9.6,1.019654667427224,62
07-09-2025,NSE:GOPAL,EQ,4611.03,1.6,3.98,362.55,-1.54,1.52,1.99,25.97,-21.80,8.99,1.39,3.46,13.13,-20.96,13.07,1.019172308925484,61
