Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
26-09-2025,NSE:MCLOUD,EQ,4821.84,45.99,3.96,79.1,0.06,-4.48,1.68,-2.58,4.84,23.75,NA,NA,0,0,HV2Y,HV2Y,HV2Y,0,-1,-1,-1,-1,-1,-18.72,-18.72,NA,7.56,39.98,NA,-3.34,8.83,18.13,0,0,1.03312,71,-3.34,12.01,10.64,104.5,8.82,1.034203,83
26-09-2025,NSE:BHARTIARTL,EQ,1117555.62,46.01,1.39,1916.6,-0.98,-2.39,0.73,1.85,-5.77,9.71,17.36,8.67,0,0,0,0,0,0,-1,-1,-1,-1,-1,-5.77,-5.77,-5.77,3.58,13.63,25.67,1.09,-1.78,4.09,15.99,16.01,1.033094,71,1.09,-2.98,5.39,12.97,-1.7,1.0151,69
26-09-2025,NSE:MIDHANI,EQ,7638.79,5.19,3.04,384,-2.56,-5.98,-4.31,3.88,-12.64,26.02,10.94,-2.97,0,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-12.14,-17.17,-17.17,6.3,48.61,64.29,3.12,-8.65,20.4,9.57,4.37,1.033008,71,3.12,-12.41,25.08,-15.88,-6.79,1.013262,68
26-09-2025,NSE:SBILIFE,EQ,185056.93,9.27,1.84,1798.8,-0.61,-2.38,-1.75,-1,-2.88,13.43,22.89,-6.75,0,0,0,0,0,0,-1,-1,-1,-1,-1,-4.18,-4.18,-5.24,1.01,23.14,29.83,-1.76,1.11,7.81,21.52,0.59,1.032717,70,-1.76,2.92,6.61,15.43,-29.62,1.008625,62
26-09-2025,NSE:SAFEENTP,SM,1070.74,1.19,4.32,193.75,-2.25,-18.71,-4.67,1.78,18.17,NA,NA,NA,0,0,0,0,0,0,-1,-1,-1,-1,-1,-19.34,NA,NA,16.4,NA,NA,1.02,22.16,0,0,0,1.032657,70,1.02,21.46,90.76,4.5,8.82,1.033185,82
26-09-2025,NSE:NATIONALUM,EQ,38914.55,86.11,2.83,200.58,-2.45,-5.49,-8.83,7.87,4.86,9.93,-6.38,10.14,0,0,0,0,EEP,EEP,-1,-1,-1,-1,-1,-8.12,-8.12,-21.91,11,40.05,40.05,7.11,8.85,4.31,-7.75,17.48,1.03257,70,7.11,1.51,-3.91,-13.61,24.35,1.017823,72
26-09-2025,NSE:BANKINDIA,EQ,54768.59,63.13,2.11,116.33,-2.86,-3.56,-0.87,5.21,-0.38,8.91,12.02,3.39,0,0,0,EEP,EEP,0,-1,-1,-1,-1,-1,-4.2,-10.04,-10.04,6.44,10.36,28.75,4.45,3.61,3.29,10.65,10.73,1.032181,70,4.45,-1.11,0.02,7.91,-0.99,1.010985,65
26-09-2025,NSE:SHREDIGCEM,EQ,1328.61,7.77,2.66,89.31,-0.03,-0.62,-0.81,-7.85,11.68,21.17,5.35,-9.85,0,EEP,EEP,0,0,0,-1,-1,-1,-1,-1,-14.19,-14.19,-14.19,19.25,30.78,39.18,-8.61,15.67,15.55,3.98,-2.51,1.031792,70,-8.61,22.89,1.51,-15.57,-7.25,1.009826,63
26-09-2025,NSE:AVONMORE,EQ,576.22,4.08,5.39,18.7,-2.04,-8.61,-15.45,-4.22,-0.21,2.51,15.72,17.19,0,0,0,HV2Q,HV2Q,HV2Y,-1,-1,-1,-1,-1,-13.98,-19.98,-34.8,8.03,13.61,44.8,-4.98,3.78,-3.11,14.35,24.53,1.031448,70,-4.98,8.63,-6.52,18.05,10.56,1.023255,76
26-09-2025,NSE:SHYAMMETL,EQ,25456.82,1.71,2.5,907.25,-1.42,-0.1,-1.16,0.15,5.69,5.83,17.35,-3.87,0,0,0,0,EEP,EEP,-1,-1,-1,-1,-1,-8.56,-8.56,-8.56,6.67,11.7,30.95,-0.61,9.68,0.21,15.98,3.47,1.031358,70,-0.61,10.33,-9.1,16.74,-16.87,1.010293,64
26-09-2025,NSE:HINDPETRO,EQ,87964.18,28.62,1.85,422.25,-0.30,2.18,5.57,9.59,-3.97,14.4,2.23,4.45,0,0,0,EEP,0,0,-1,0,-1,-1,-1,-6.73,-6.73,-6.73,12.33,19.99,43.74,8.83,0.02,8.78,0.86,11.79,1.031334,70,8.83,-10.22,8.43,-9.72,11.1,1.012356,66
26-09-2025,NSE:INDIGO,EQ,219626.24,6.99,1.57,5561,-2.00,-2.12,-2.99,-2.99,-4.59,9.97,17.06,11.34,0,0,0,EEP,0,0,-1,-1,-1,-1,-1,-9.66,-9.66,-9.66,0,11.47,44.49,-3.75,-0.6,4.35,15.69,18.68,1.030811,70,-3.75,3.23,4.68,12.38,1.92,1.017047,71
26-09-2025,NSE:DMART,EQ,311245.63,4.01,2.31,4517.8,-1.28,-5.7,-2.19,-4.03,4.52,11.49,23.42,-17.26,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-6.45,-6.45,-16.2,14.38,14.5,32.72,-4.79,8.51,5.87,22.05,-9.92,1.030793,70,-4.79,13,-1.94,17.98,-44.3,1.006593,60
26-09-2025,NSE:CENTRUM,EQ,1550.14,2.61,4.19,34.2,-3.74,-7.92,-5.64,-7.19,5.94,26.37,1.02,-5.2,0,0,0,HV2Q,0,HV2Y,-1,-1,-1,-1,-1,-16.24,-16.24,-16.24,1.27,48.37,48.5,-7.95,9.93,20.75,-0.35,2.14,1.030673,70,-7.95,17.03,12.49,-29.93,2.53,1.012265,66
26-09-2025,NSE:DYCL,EQ,2078.63,1.16,3.21,398.05,-2.75,-7.44,-8.22,-7.26,-12.59,30.9,-27.6,28.58,0,HVQ,HVQ,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-20.71,-20.71,-24.91,2.06,56.02,56.02,-8.02,-8.6,25.28,-28.97,35.92,1.03042,70,-8.02,-0.19,29.39,-80.16,52.85,1.065649,94
26-09-2025,NSE:MARINE,EQ,3048.57,4.8,4.31,212.44,-2.04,-3.92,7.36,21.55,-0.04,19.72,-36.09,-7.07,0,0,HV2Y,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-6.29,-11.87,-35.15,28.12,35.32,46.69,20.79,3.95,14.1,-37.46,0.27,1.030263,69,20.79,-22.74,10.52,-65.02,30.14,1.019154,74
26-09-2025,NSE:SSWL,EQ,3880.78,2.77,3.43,229.66,-2.62,-6.25,-5.98,7.78,-19.4,17.2,12.23,8.57,0,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-16.18,-16.25,-16.25,10.06,28.73,33.63,7.02,-15.41,11.58,10.86,15.91,1.030261,69,7.02,-24.69,21.42,-1.51,4.65,1.018616,73
26-09-2025,NSE:KPRMILL,EQ,39100.1,3.87,3.16,1070.9,-0.98,-5.84,5.6,8.29,-6.6,11.79,1.69,12.64,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-13.85,-18.02,-18.02,12.77,19.96,36.13,7.53,-2.61,6.17,0.32,19.98,1.030253,69,7.53,-11.46,8.02,-6.95,19.96,1.0183,73
26-09-2025,NSE:METROBRAND,EQ,35529.02,1.16,3.3,1219,-2.99,-7.56,-5.66,6.1,6.71,12.17,-1.18,-0.89,0,0,0,0,0,EEP,-1,-1,-1,-1,-1,-7.74,-7.74,-7.74,10.77,20.55,20.55,5.34,10.7,6.55,-2.55,6.45,1.030183,69,5.34,5.43,-3.39,-10.7,9.1,1.008793,62
26-09-2025,NSE:KARURVYSYA,EQ,20957.15,13.6,2.34,205.64,-2.02,-5.61,-2.49,-3.21,-4.11,14.5,12.27,10.9,0,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-9.94,-9.94,-9.94,1.32,21.01,32.17,-3.97,-0.12,8.88,10.9,18.24,1.030066,69,-3.97,3.91,8.64,1.89,7.25,1.016493,71
26-09-2025,NSE:SBICARD,EQ,83212.56,10.46,2.46,873.85,-1.48,0.25,2.03,8.04,-13.45,1.68,20.36,9.02,0,0,0,0,0,0,-1,-1,-1,-1,-1,-8.31,-14.08,-14.08,11.05,11.05,31.63,7.28,-9.46,-3.94,18.99,16.36,1.030045,69,7.28,-18.58,4.09,23.51,-5.43,1.01769,72
26-09-2025,NSE:FUSION,EQ,3087.67,4.77,3.53,190.26,-1.45,0.24,2.14,11.26,-8.17,26.31,11.46,-40.46,0,0,0,EEP,EEP,0,-1,5,-1,-1,-1,-4.64,-9.23,-21.63,29.01,43.81,44.16,10.5,-4.18,20.69,10.09,-33.12,1.030017,69,10.5,-17.12,22.63,-15.65,-49.83,0.997633,48
26-09-2025,NSE:HDFCLIFE,EQ,169202.64,28.11,2.08,764.4,-0.08,-2.33,-2,-1.43,-5.57,11.94,18.56,4.83,0,0,0,EEP,EEP,0,-1,-1,-1,-1,-1,-6.13,-6.13,-6.13,3.51,14.78,28.64,-2.19,-1.58,6.32,17.19,12.17,1.029895,69,-2.19,0.7,7.35,12.02,-8.05,1.012798,67
26-09-2025,NSE:APLAPOLLO,EQ,47031.54,4.83,1.88,1660.1,-1.67,-1.87,-2.6,3.6,-5.77,9.1,8.67,14.11,0,0,0,0,0,0,-1,-1,-1,-1,-1,-5.65,-13.58,-13.58,10.32,15.28,27.4,2.84,-1.78,3.48,7.3,21.45,1.029865,69,2.84,-4.94,4.82,4.02,14.78,1.018048,73
26-09-2025,NSE:SPIC,EQ,2054.53,23.68,5.18,92.05,-3.36,-9.07,-16.57,-12.76,3.1,11.96,19.09,5.94,0,HVY,HVY,HV2Q,0,HVQ,-1,-1,-1,-1,-1,-25.02,-25.02,-25.02,9.61,25.1,37.68,-13.52,7.09,6.34,17.72,13.28,1.029744,69,-13.52,18.85,-0.09,12.59,-7.43,1.018147,73
26-09-2025,NSE:TAJGVK,EQ,2708.7,8.27,3.61,412.95,-1.40,-4.14,-4.67,-0.16,1.28,-14,14.32,22.42,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-14.86,-14.86,-19.76,5.02,14.06,43.94,-0.92,5.27,-19.62,12.95,29.76,1.029625,69,-0.92,6.22,-24.72,29.34,18.27,1.032538,82
26-09-2025,NSE:AARTIDRUGS,EQ,4791.68,2.24,3.71,469.95,-7.33,-11.79,-8.45,-0.09,3.56,26.7,-1.27,-13.27,0,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-13.78,-13.78,-13.78,2.58,46.06,46.06,-0.85,7.55,21.08,-2.64,-5.93,1.029146,69,-0.85,8.43,14.76,-33.66,-3.03,1.005866,58
