Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),Price_1D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:KCK,SM,260.77,2.92,7.4,40.65,-3.20,6.52,77.07,-30.90,-3.32,-3.33,7.99,64.23,-30.06,0.76,1.26631768899682,98
07-09-2025,NSE:MARUTI,EQ,35000,5.74,1.87,14895,15.83,16.33,20.94,24.27,16.57,15.7,17.8,8.1,25.11,20.65,1.1056533564569853,93
07-09-2025,NSE:AGARWALTUF,SM,262.47,1.62,5.96,148.9,16.62,9.97,31.53,9.34,9.34,16.49,11.44,18.69,10.18,13.42,1.0875491356373883,89
07-09-2025,NSE:BAJFINANCE,EQ,45000,74.53,2.15,937.6,4.87,0.05,7.98,28.80,20.65,4.74,1.52,-4.86,29.64,24.73,1.0609230090735569,85
07-09-2025,NSE:ULTRACEMCO,EQ,29000,2.61,1.71,12601,2.40,10.70,17.94,5.94,9.33,2.27,12.17,5.1,6.78,13.41,1.0425226868989608,80
07-09-2025,NSE:BHARTIARTL,EQ,65000,91.42,1.41,1895.3,-1.93,1.32,15.80,14.50,17.09,-2.06,2.79,2.96,15.34,21.17,1.0381643893472265,76
07-09-2025,NSE:HINDUNILVR,EQ,60000,17.26,2.14,2633.4,3.75,9.25,17.34,5.72,-5.91,3.62,10.72,4.5,6.56,-1.83,1.0292775455148686,72
07-09-2025,NSE:SRD,EQ,496.57,3.74,4.76,77.62,-3.14,23.87,18.31,3.50,-44.29,-3.27,25.34,5.47,4.34,-40.21,1.0273643173010383,67
07-09-2025,NSE:ASIANPAINT,EQ,32000,13.01,1.71,2579.9,5.55,12.97,16.03,4.28,-22.13,5.42,14.44,3.19,5.12,-18.05,1.0252266930400047,63
07-09-2025,NSE:HDFCBANK,EQ,120000,154.16,1.3,963.4,-2.64,-2.69,11.69,5.22,15.56,-2.77,-1.22,-1.15,6.06,19.64,1.01602873158435,59
07-09-2025,NSE:ICICIBANK,EQ,90000,76.12,1.13,1402.8,-2.97,-4.06,14.01,6.73,12.32,-3.1,-2.59,1.17,7.57,16.4,1.0149478213273926,54
07-09-2025,NSE:SBIN,EQ,65000,67.41,1.14,806.6,0.74,-0.80,13.80,-5.87,-1.93,0.61,0.67,0.96,-5.03,2.15,1.0000996728571385,50
07-09-2025,NSE:KOTAKBANK,EQ,50000,32.39,1.58,1945.5,-2.96,-6.57,1.59,10.05,8.49,-3.09,-5.1,-11.25,10.89,12.57,0.9992798446172917,46
07-09-2025,NSE:RELIANCE,EQ,200000,103.49,1.67,1375,-1.21,-4.98,14.82,3.76,-10.27,-1.34,-3.51,1.98,4.6,-6.19,0.9966657096477407,41
07-09-2025,NSE:LT,EQ,45000,14.5,1.54,3553.6,-2.79,-2.89,10.03,-6.57,-3.64,-2.92,-1.42,-2.81,-5.73,0.44,0.9873358107268105,37
07-09-2025,NSE:ITC,EQ,60000,154.02,1.42,407.35,-1.67,-3.36,2.43,-9.50,-18.19,-1.8,-1.89,-10.41,-8.66,-14.11,0.9695726894042184,33
07-09-2025,NSE:SUNPHARMA,EQ,33000,27.68,1.84,1593.6,-2.42,-5.37,0.53,-12.95,-13.95,-2.55,-3.9,-12.31,-12.11,-9.87,0.9646170010417813,28
07-09-2025,NSE:AXISBANK,EQ,45000,54.85,1.38,1055.9,-1.41,-13.14,4.61,-9.91,-12.59,-1.54,-11.67,-8.23,-9.07,-8.51,0.9643913928517475,24
07-09-2025,NSE:TECHM,EQ,22000,15.6,2.1,1477.9,-0.51,-6.31,-1.03,-18.38,-11.42,-0.64,-4.84,-13.87,-17.54,-7.34,0.9624991409561642,20
07-09-2025,NSE:WIPRO,EQ,25000,78.81,1.9,243.67,-0.92,-2.02,-16.37,-19.69,-9.26,-1.05,-0.55,-29.21,-18.85,-5.18,0.9560839151204106,15
07-09-2025,NSE:INFY,EQ,70000,79.7,1.91,1444.6,-1.09,-8.25,-18.27,-30.98,-35.99,-1.22,-6.78,-31.11,-30.14,-31.91,0.9280296135472222,11
07-09-2025,NSE:HCLTECH,EQ,34000,31.83,1.98,1419,-4.49,-15.41,-10.81,-33.25,-27.32,-4.62,-13.94,-23.65,-32.41,-23.24,0.9244681425761241,7
07-09-2025,NSE:TCS,EQ,145000,27.64,1.53,3048.3,-0.51,-11.02,-14.59,-41.15,-48.31,-0.64,-9.55,-27.43,-40.31,-44.23,0.9189076764875278,2
07-09-2025,NSE:NIFTY,IN,,3121.56,0.79,24741,0.37,-1.06,10.60,1.15,-2.17,0.24,0.41,-2.24,1.99,1.91,,
07-09-2025,NSE:NIFTYJR,IN,,0,1.07,67089.8,0.49,-1.35,14.08,-7.16,-12.29,0.36,0.12,1.24,-6.32,-8.21,,
07-09-2025,NSE:BANKNIFTY,IN,,920.37,0.91,54114.55,-2.30,-4.55,11.09,2.62,4.94,-2.43,-3.08,-1.75,3.46,9.02,,
07-09-2025,NSE:CNXMIDCAP,IN,,0,1.18,57075.2,-0.23,-3.39,15.93,-0.76,-3.64,-0.36,-1.92,3.09,0.08,0.44,,
07-09-2025,NSE:CNX500,IN,,0,0.83,22829.15,0.13,-1.47,12.84,-0.84,-4.08,0,0,0,0,0,,
07-09-2025,NSE:CNXSMALLCAP,IN,,0,1.17,17655.25,-1.19,-5.25,16.96,-7.64,-9.00,-1.32,-3.78,4.12,-6.8,-4.92,,
07-09-2025,NSE:NIFTYMIDSML400,IN,,0,1.06,19649.3,-0.50,-2.37,16.95,-2.66,-4.72,-0.63,-0.9,4.11,-1.82,-0.64,,
07-09-2025,NSE:NIFTY_TOTAL_MKT,IN,,0,0.84,12851.55,0.12,-1.43,13.04,-1.12,-4.13,-0.01,0.04,0.2,-0.28,-0.05,,
07-09-2025,NSE:NIFTY_MICROCAP250,IN,,0,1.17,23561.9,-0.16,-0.44,18.00,-8.79,-5.71,-0.29,1.03,5.16,-7.95,-1.63,,
