Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1d,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
16-09-2025,NSE:DCAL,BE,4158.67,1.63,4.13,266.8,,-5.04,-2.08,-0.30,2.32,22.68,-4.53,25.96,-5.32,-7.55,-11.52,12.98,45.46,62.6,-3.25,0.66,9.39,-5.01,26.65,1.030951,66,-3.25,3.95,9.02,-20.42,30.35,1.032317,81
16-09-2025,NSE:KPIL,EQ,21179.21,2.04,2.58,1284,,1.04,4.71,4.04,6.26,31.58,0.11,-5.59,-1.32,-1.32,-8.78,15.37,49.89,52.76,1.09,4.6,18.29,-0.37,-4.9,1.030328,66,1.09,3.64,15.19,-31.24,-4.52,1.007224,60
16-09-2025,NSE:JKTYRE,EQ,8779.6,6.85,2.96,376.75,,5.49,6.58,17.20,3.68,28.08,-8.52,-11.89,,-4.26,-15.06,20.77,43.11,48.68,14.25,2.02,14.79,-9,-11.2,1.030259,66,14.25,-15,13.52,-36.12,-1.93,1.004572,56
16-09-2025,NSE:GMRAIRPORT,EQ,91176.76,171.68,2.02,92.84,,6.48,6.25,2.23,10.86,20.70,8.92,0.32,-1.94,-1.94,-4.42,15.26,25.17,33.99,-0.72,9.2,7.41,8.44,1.01,1.029932,66,-0.72,10.15,-0.78,-0.09,-8.26,1.006255,58
16-09-2025,NSE:CHEMCON,EQ,763.38,1.26,4.84,236.69,,4.17,8.27,5.37,16.93,23.42,-2.48,-11.16,-5.17,-5.17,-18.34,25.15,42.89,42.89,2.42,15.27,10.13,-2.96,-10.47,1.029881,66,2.42,13.54,-4,-19.06,-7.29,1.002171,52
16-09-2025,NSE:AGARWALTUF,SM,263.79,1.09,4.82,139,,-7.30,-6.47,-0.40,8.74,30.07,-2.19,2.88,-12.44,-12.44,-12.44,21.24,47.25,62.95,-3.35,7.08,16.78,-2.67,3.57,1.02966,66,-3.35,10.43,11.55,-31.37,6.14,1.013222,67
16-09-2025,NSE:SHREDIGCEM,EQ,1437.29,17.5,4.96,89.48,,0.50,-6.25,8.20,12.85,22.75,0.85,-9.97,-14.03,-14.03,-14.03,19.48,33.19,39.44,5.25,11.19,9.46,0.37,-9.28,1.029539,66,5.25,6.39,-0.46,-13.59,-9.73,1.000587,50
16-09-2025,NSE:DEVYANI,EQ,21454.19,48.31,3.3,182.12,,-2.31,3.97,14.79,6.57,14.52,6.87,-3.74,-3.59,-3.59,-17.81,18.7,29.62,29.62,11.84,4.91,1.23,6.39,-3.05,1.029318,66,11.84,-8.31,-3.31,5.82,-10.22,1.002214,52
16-09-2025,NSE:UTIAMC,EQ,16508.71,1.03,2.38,1349.4,,0.64,3.23,1.38,4.81,30.16,-1.27,5.11,-8.54,-8.54,-8.54,9.02,46.27,46.88,-1.57,3.15,16.87,-1.75,5.8,1.029009,66,-1.57,4.81,14.81,-30.24,7.48,1.014115,67
16-09-2025,NSE:TANLA,EQ,8214.98,6.6,2.77,689.2,,1.94,8.56,11.63,1.84,36.59,-1.76,-35.22,-2.12,-2.12,-27.29,14.46,62.95,62.95,8.68,0.18,23.3,-2.24,-34.53,1.028473,66,8.68,-9.74,23.58,-45.72,-31.7,0.998648,48
16-09-2025,NSE:KARURVYSYA,EQ,20532.02,19.45,2.49,211.59,,3.20,0.75,-1.28,2.80,24.04,6.24,13.84,-7.33,-7.33,-7.33,4.32,35.99,35.99,-4.23,1.14,10.75,5.76,14.53,1.027833,66,-4.23,5.36,10.02,-8.65,9.29,1.016352,69
